Step 08 Route B adaptive weighted centerT prototype 1
Prototype scope: keep Route B baseline framing, only replace centerT with adaptive weighted centerT.
Route comparison: baseline_centerT vs adaptive_weighted_centerT.
Common experiment settings:
snr_list=[14 16 18 20 22 24 26 28], Metkl=200, T_snap=260, tol_deg=0.100
sep_factor_list=[8 9 10]
Route B internal settings: K_fbss=56, M_full=48, center_beam_count=37, search_scale_B=4.00
Weighted centerT rule: smoothed coarse MUSIC direct weights with [1 2 1]/4 smoothing and 5% floor.

=== sep_factor = 8, theta_sep = 0.3500 deg ===
SNR=20 dB | baseline raw=54 tol=54 raw_rate=0.270 tol_rate=0.270 RMSE=0.0491 mean_num_peaks=1.27
SNR=20 dB | weighted raw=54 tol=54 raw_rate=0.270 tol_rate=0.270 RMSE=0.0487 mean_num_peaks=1.27
sample metkl=1 | doa_base=[12.93 13.1] doa_weighted=[12.93 13.1] cond_base=8.689e+16 cond_weighted=4.409e+17 weight_minmax=[0.050 1.000]
SNR=22 dB | baseline raw=140 tol=140 raw_rate=0.700 tol_rate=0.700 RMSE=0.0410 mean_num_peaks=1.70
SNR=22 dB | weighted raw=139 tol=139 raw_rate=0.695 tol_rate=0.695 RMSE=0.0405 mean_num_peaks=1.70
sample metkl=1 | doa_base=[12.92 13.14] doa_weighted=[12.92 13.15] cond_base=8.689e+16 cond_weighted=4.117e+17 weight_minmax=[0.050 1.000]
SNR=24 dB | baseline raw=192 tol=192 raw_rate=0.960 tol_rate=0.960 RMSE=0.0318 mean_num_peaks=1.96
SNR=24 dB | weighted raw=192 tol=192 raw_rate=0.960 tol_rate=0.960 RMSE=0.0318 mean_num_peaks=1.96
sample metkl=1 | doa_base=[12.89 13.15] doa_weighted=[12.89 13.15] cond_base=8.689e+16 cond_weighted=4.219e+17 weight_minmax=[0.050 1.000]
SNR=26 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0231 mean_num_peaks=2.00
SNR=26 dB | weighted raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0231 mean_num_peaks=2.00
sample metkl=1 | doa_base=[12.86 13.11] doa_weighted=[12.86 13.11] cond_base=8.689e+16 cond_weighted=4.504e+17 weight_minmax=[0.050 1.000]
SNR=28 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0183 mean_num_peaks=2.00
SNR=28 dB | weighted raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0183 mean_num_peaks=2.00
sample metkl=1 | doa_base=[12.85 13.12] doa_weighted=[12.85 13.12] cond_base=8.689e+16 cond_weighted=4.070e+17 weight_minmax=[0.050 1.000]

SNR90 summary | bw/8 baseline=18 dB weighted=18 dB
SNR90 summary | bw/9 baseline=22 dB weighted=22 dB
SNR90 summary | bw/10 baseline=24 dB weighted=24 dB
