scenario_name,snr_db,mc,target_count,beta,rho,phase,pair_sep,true_az1,true_az2,true_el1,true_el2,coarse_peak_count,coarseAz,coarseEl,selectedCenterAz,selectedCenterColumn,center_error_to_pair_center,center_error_to_strong_target,delta_theta1,delta_theta2,target1_inside_R15,target2_inside_R15,both_inside_R15,target1_inside_R20,target2_inside_R20,both_inside_R20,rangeIdx,dopplerIdx,cfar_detected_flag,cfarCount,cfarBestMetric,two_coarse_peaks_out_of_scope,route_used,confidence_flag,success,false_high,boundary_missed,low_confidence,boundary_unreliable,center_selection_success,runtime_sec,executed_level2_music,executed_refocus,executed_level2_rank1,executed_2dmusic,executed_pair_local,enhance_thetaCenter_deg,enhance_elAssumed_deg,weak_target_truth_flag,anti_phase_truth_flag,large_el_truth_flag
single_target_sanity,8,27,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.00170208737346893,0.00252542259072074,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,12,32691.9188614129,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0544471,1,1,1,0,0,0,0.00252542259072074,0,0,0
single_target_sanity,8,28,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.00186219430881008,-0.00483739464718332,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,12,32710.4887408408,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0479287,1,1,1,0,0,0,-0.00483739464718332,0,0,0
single_target_sanity,8,29,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.000440867759188871,0.000832309159928896,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,13,32633.2008701649,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0489004,1,1,1,0,0,0,0.000832309159928896,0,0,0
single_target_sanity,8,30,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.00335967713951294,0.000897975413583348,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,12,32640.8343770813,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0430389,1,1,1,0,0,0,0.000897975413583348,0,0,0
single_target_sanity,16,1,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.00177818204044013,-0.000753520900054668,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,17,32713.4728579068,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0426508,1,1,1,0,0,0,-0.000753520900054668,0,0,0
single_target_sanity,16,2,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.000733476965613241,0.000577199416434284,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,17,32723.4718242289,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0508552,1,1,1,0,0,0,0.000577199416434284,0,0,0
single_target_sanity,16,3,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.000743947789898888,5.41601035304079e-05,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,18,32676.5406340635,0,low_confidence,low,1,0,0,1,0,1,0.3100195,1,1,1,1,0,0,5.41601035304079e-05,0,0,0
single_target_sanity,16,4,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.00199982191615129,0.000740770632431703,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,20,32726.5208718062,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0453161,1,1,1,0,0,0,0.000740770632431703,0,0,0
single_target_sanity,16,5,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.000549679280145878,0.000334081424631528,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,18,32727.0905031109,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0434316,1,1,1,0,0,0,0.000334081424631528,0,0,0
single_target_sanity,16,6,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.000280393169656094,0.00176008878307658,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,18,32734.6080349203,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0547964,1,1,1,0,0,0,0.00176008878307658,0,0,0
single_target_sanity,16,7,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.00029610363128219,-0.000366077887243509,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,17,32705.9945714512,0,low_confidence,low,1,0,0,1,0,1,0.3244339,1,1,1,1,0,0,-0.000366077887243509,0,0,0
single_target_sanity,16,8,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-2.15033329752495e-05,-0.000413176175768599,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,21,32705.9012188991,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0520906,1,1,1,0,0,0,-0.000413176175768599,0,0,0
single_target_sanity,16,9,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.000269400408087856,-0.000639104848626566,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,19,32648.5939573105,0,low_confidence,low,1,0,0,1,0,1,0.3009963,1,1,1,1,0,0,-0.000639104848626566,0,0,0
single_target_sanity,16,10,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.000418739385434951,0.00211981804288254,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,20,32721.4586465019,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0416661,1,1,1,0,0,0,0.00211981804288254,0,0,0
single_target_sanity,16,11,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.000998980253225608,-0.00102531200955243,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,17,32736.0810748381,0,low_confidence,low,1,0,0,1,0,1,0.3061873,1,1,1,1,0,0,-0.00102531200955243,0,0,0
single_target_sanity,16,12,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.00117435745650748,-0.000622003550531548,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,19,32709.0906041783,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0415359,1,1,1,0,0,0,-0.000622003550531548,0,0,0
single_target_sanity,16,13,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.000471107481513217,0.00054309782317348,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,16,32740.9248484251,0,low_confidence,low,1,0,0,1,0,1,0.2958395,1,1,1,1,0,0,0.00054309782317348,0,0,0
single_target_sanity,16,14,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.00124969595897896,-0.0003615087083799,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,20,32698.0906293386,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0439312,1,1,1,0,0,0,-0.0003615087083799,0,0,0
single_target_sanity,16,15,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.00035848356240695,0.000519891052643954,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,18,32714.4067447485,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0475985,1,1,1,0,0,0,0.000519891052643954,0,0,0
single_target_sanity,16,16,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.000180375706293697,0.000430309326755036,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,17,32650.5084892827,0,low_confidence,low,1,0,0,1,0,1,0.3046029,1,1,1,1,0,0,0.000430309326755036,0,0,0
single_target_sanity,16,17,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.00153044280322327,0.000121402465235026,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,23,32691.3647750483,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0460349,1,1,1,0,0,0,0.000121402465235026,0,0,0
single_target_sanity,16,18,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.00050979778187222,-0.00165803468207757,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,18,32758.6026056938,0,low_confidence,low,1,0,0,1,0,1,0.3008347,1,1,1,1,0,0,-0.00165803468207757,0,0,0
single_target_sanity,16,19,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.000111255306134167,-0.000676484703397273,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,19,32746.591111957,0,low_confidence,low,1,0,0,1,0,1,0.3026073,1,1,1,1,0,0,-0.000676484703397273,0,0,0
single_target_sanity,16,20,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.000461765491593232,0.0016936984836161,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,20,32753.3244665667,0,low_confidence,low,1,0,0,1,0,1,0.2859483,1,1,1,1,0,0,0.0016936984836161,0,0,0
single_target_sanity,16,21,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.000101412781937339,-0.00114535432777434,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,17,32618.0344998464,0,low_confidence,low,1,0,0,1,0,1,0.2884401,1,1,1,1,0,0,-0.00114535432777434,0,0,0
single_target_sanity,16,22,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.000787105635209505,0.00138110505213948,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,19,32715.5242841139,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.046299,1,1,1,0,0,0,0.00138110505213948,0,0,0
single_target_sanity,16,23,1,1,NaN,0,NaN,0,NaN,0,NaN,1,4.32765605714619e-05,0.000463210246635729,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,21,32688.1254373622,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0553043,1,1,1,0,0,0,0.000463210246635729,0,0,0
