trial_index,scenario_name,SNR_dB,old_callable,old_route_name,new_route_name,old_status,new_status,old_confidence,new_confidence,old_az_est,new_az_est,old_el_est,new_el_est,route_agree,status_agree,confidence_agree,az_diff_mean,el_diff_mean,old_success,new_success,old_false_high,new_false_high,old_boundary_missed,new_boundary_missed
78,single_target_sanity,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
79,single_target_sanity,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
80,single_target_sanity,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
81,close_coherent_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
82,close_coherent_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
83,close_coherent_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
84,close_coherent_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
85,close_coherent_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
86,close_coherent_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
87,close_coherent_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
88,close_coherent_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
89,close_coherent_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
90,close_coherent_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
91,medium_beta_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
92,medium_beta_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
93,medium_beta_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
94,medium_beta_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
95,medium_beta_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
96,medium_beta_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
97,medium_beta_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
98,medium_beta_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
99,medium_beta_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
100,medium_beta_pair,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
101,weak_target_boundary,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
102,weak_target_boundary,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
103,weak_target_boundary,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
104,weak_target_boundary,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
105,weak_target_boundary,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
