sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db
8,0.350000,12.825000,13.175000,18,187,186,0.935000,0.930000,0.042801,187,1.935000,18.000000
8,0.350000,12.825000,13.175000,20,200,200,1.000000,1.000000,0.029198,200,2.000000,18.000000
8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.022572,200,2.000000,18.000000
8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016926,200,2.000000,18.000000
8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.012748,200,2.000000,18.000000
8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.010247,200,2.000000,18.000000
8,0.350000,12.825000,13.175000,30,200,200,1.000000,1.000000,0.008185,200,2.000000,18.000000
9,0.311111,12.844444,13.155556,-4,0,0,0.000000,0.000000,NaN,0,1.000000,22.000000
9,0.311111,12.844444,13.155556,-2,0,0,0.000000,0.000000,NaN,0,1.000000,22.000000
9,0.311111,12.844444,13.155556,0,0,0,0.000000,0.000000,NaN,0,1.000000,22.000000
9,0.311111,12.844444,13.155556,2,0,0,0.000000,0.000000,NaN,0,1.000000,22.000000
9,0.311111,12.844444,13.155556,4,0,0,0.000000,0.000000,NaN,0,1.000000,22.000000
9,0.311111,12.844444,13.155556,6,0,0,0.000000,0.000000,NaN,0,1.000000,22.000000
9,0.311111,12.844444,13.155556,8,0,0,0.000000,0.000000,NaN,0,1.000000,22.000000
9,0.311111,12.844444,13.155556,10,0,0,0.000000,0.000000,NaN,0,1.000000,22.000000
9,0.311111,12.844444,13.155556,12,0,0,0.000000,0.000000,NaN,0,1.000000,22.000000
9,0.311111,12.844444,13.155556,14,0,0,0.000000,0.000000,NaN,0,1.000000,22.000000
9,0.311111,12.844444,13.155556,16,15,13,0.075000,0.065000,0.073496,15,1.075000,22.000000
9,0.311111,12.844444,13.155556,18,88,86,0.440000,0.430000,0.048665,88,1.440000,22.000000
9,0.311111,12.844444,13.155556,20,158,158,0.790000,0.790000,0.041152,158,1.790000,22.000000
