stage,case_name,el_b_deg,el_mismatch_deg,snr_db,route_name,raw_success_rate,az_tol_success_rate_abs01,el_tol_success_rate_abs05,joint_tol_success_rate,az_rmse_deg,el_rmse_deg,pair_2d_rmse,peak_count_mean,degraded_rate,route_failure_reason,mean_objective_true_pair,mean_objective_best,objective_margin,objective_true_rank_median,el_hat_mean,el_hat_error_mean,el_hat_error_abs_mean,focused_power_peak_sharpness,lambda1_peak_sharpness,rank1_objective_valley_width_el,rank1_objective_selected_el_rank,el_selection_method,el_common_est_mean,el_common_est_error,same_raw_observation_flag,nonoracle_oracle_gap
B,el0_5,0,5,0,level3_2d_music,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_5,0,5,0,common_el_covfit_old,1,0.32,1,0.32,0.155939145820856,0,0.155939145820856,2,0.68,az_error,0.000136264370280726,0.000132128417553535,4.13595272719074e-06,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,NaN,1,0.68
B,el0_5,0,5,0,common_el_refocus_power,1,1,1,1,0.0289734733039988,0,0.0289734733039988,2,0,ok,4.53950386692665e-07,2.22258624509893e-07,2.31691762182773e-07,NaN,0,0,0,0.019552686855845,0.0200983256591002,NaN,NaN,focused_power,0,0,1,0
B,el0_5,0,5,0,common_el_refocus_2dmusic_peak,1,1,1,1,0.0289734733039988,0,0.0289734733039988,2,0,ok,4.53950386692665e-07,2.22258624509893e-07,2.31691762182773e-07,NaN,0,0,0,NaN,NaN,NaN,NaN,2dmusic_peak,0,0,1,0
B,el0_5,0,5,0,common_el_refocus_rank1_objective,1,1,0.52,0.52,0.0439020355946682,0.645,0.649398335942794,2,0.48,el_error,4.09472676390025e-07,5.42390539730639e-08,3.55233622416961e-07,NaN,-0.135,-0.135,0.645,NaN,NaN,2.95,1,rank1_objective,-0.135,-0.135,1,0.48
B,el0_5,0,5,0,oracle_el_rank1_covfit,1,1,1,1,0.0338701015933514,0.35,0.361098792102953,2,0,ok,0.000136245406108761,0.000131295993809775,4.94941229898606e-06,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0
B,el0_10,0,10,0,level2_rank1_wrong_el_assumed,1,0.14,0,0,0.142465961208989,10,10.0012478635863,2,1,az_error,0.00121713951654822,0.00118338824233097,3.37512742172457e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_10,0,10,0,level2_el_bank_old,1,1,0.44,0.44,0.0351244911013329,0.56,0.571919779283624,2,0.56,el_error,3.95249420717846e-07,1.2022585675161e-07,2.75023563966236e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0.56
B,el0_10,0,10,0,level3_2d_music,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_10,0,10,0,common_el_covfit_old,1,0.32,1,0.32,0.155939145820856,0,0.155939145820856,2,0.68,az_error,0.000136264370280726,0.000132128417553535,4.13595272719074e-06,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,NaN,1,0.68
B,el0_10,0,10,0,common_el_refocus_power,1,1,1,1,0.0289734733039988,0,0.0289734733039988,2,0,ok,4.53950386692665e-07,2.22258624509893e-07,2.31691762182773e-07,NaN,0,0,0,0.019552686855845,0.0200983256591002,NaN,NaN,focused_power,0,0,1,0
B,el0_10,0,10,0,common_el_refocus_2dmusic_peak,1,1,1,1,0.0289734733039988,0,0.0289734733039988,2,0,ok,4.53950386692665e-07,2.22258624509893e-07,2.31691762182773e-07,NaN,0,0,0,NaN,NaN,NaN,NaN,2dmusic_peak,0,0,1,0
B,el0_10,0,10,0,common_el_refocus_rank1_objective,1,1,0.52,0.52,0.0439020355946682,0.645,0.649398335942794,2,0.48,el_error,4.09472676390025e-07,5.42390539730639e-08,3.55233622416961e-07,NaN,-0.135,-0.135,0.645,NaN,NaN,2.95,1,rank1_objective,-0.135,-0.135,1,0.48
B,el0_10,0,10,0,oracle_el_rank1_covfit,1,1,1,1,0.0338701015933514,0.35,0.361098792102953,2,0,ok,0.000136245406108761,0.000131295993809775,4.94941229898606e-06,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0
B,el0_0,0,0,8,level2_rank1_wrong_el_assumed,1,1,1,1,0.0273959288106635,0,0.0273959288106635,2,0,ok,1.13225178053456e-07,2.02509749887344e-08,9.29742030647216e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0
B,el0_0,0,0,8,level2_el_bank_old,1,1,0.12,0.12,0.0241734733039988,1.36,1.36298216000388,2,0.88,el_error,1.26861246606203e-07,2.96926747708936e-09,1.23891979129113e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0.88
B,el0_0,0,0,8,level3_2d_music,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_0,0,0,8,common_el_covfit_old,1,0.56,1,0.56,0.113687914128729,0,0.113687914128729,2,0.44,az_error,1.61671718245432e-05,1.52764901320991e-05,8.90681692444084e-07,6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,NaN,1,0.44
B,el0_0,0,0,8,common_el_refocus_power,1,1,1,1,0.0273959288106635,0,0.0273959288106635,2,0,ok,1.13225178053456e-07,2.02509749887344e-08,9.29742030647216e-08,NaN,0,0,0,0.0202182077773203,0.0203116641665402,NaN,NaN,focused_power,0,0,1,0
B,el0_0,0,0,8,common_el_refocus_2dmusic_peak,1,1,1,1,0.0273959288106635,0,0.0273959288106635,2,0,ok,1.13225178053456e-07,2.02509749887344e-08,9.29742030647216e-08,NaN,0,0,0,NaN,NaN,NaN,NaN,2dmusic_peak,0,0,1,0
B,el0_0,0,0,8,common_el_refocus_rank1_objective,1,1,0.04,0.04,0.0254938932159953,1.64,1.64033194341223,2,0.96,el_error,1.74191009173813e-07,0,1.74191009173813e-07,NaN,-1.6,-1.6,1.64,NaN,NaN,4.795,1,rank1_objective,-1.6,-1.6,1,0.96
B,el0_0,0,0,8,oracle_el_rank1_covfit,1,1,1,1,0.0319891179238938,0.35,0.360396593663348,2,0,ok,1.61421925316651e-05,1.48348523198935e-05,1.30734021177162e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0
