route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,lambda2_proto6_array,lambda2_proto6_beam,lambda2_proto8_array,lambda2_proto8_beam,root_dist_proto6_array,root_dist_proto6_beam,root_dist_proto8_array,root_dist_proto8_beam,cond_number_complex,cond_number_real,max_imag_part_rel
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,28,200,200,200,1.000000,1.000000,1.000000,0.016583,200,2.000000,24.000000,24.000000,13.611988,14.275991,13.611988,4901.070414,0.001570,0.001507,0.001570,0.000000,4.511711e+04,4.511711e+04,4.683769e-17
proto6_array_root_music,7,0.400000,12.800000,13.200000,14,200,199,199,1.000000,0.995000,0.995000,0.046205,200,2.000000,14.000000,14.000000,3.023400,3.171920,3.023400,469.244262,0.004270,0.004068,0.004270,0.032002,1.797261e+03,1.797261e+03,4.768800e-17
proto6_array_root_music,7,0.400000,12.800000,13.200000,16,200,200,200,1.000000,1.000000,1.000000,0.032998,200,2.000000,14.000000,14.000000,4.318242,4.526972,4.318242,636.648116,0.003168,0.003018,0.003168,0.032004,2.854087e+03,2.854087e+03,4.786783e-17
proto6_array_root_music,7,0.400000,12.800000,13.200000,18,200,200,200,1.000000,1.000000,1.000000,0.026651,200,2.000000,14.000000,14.000000,6.346379,6.654824,6.346379,819.739430,0.002425,0.002319,0.002425,0.032001,4.521808e+03,4.521808e+03,4.784852e-17
proto6_array_root_music,7,0.400000,12.800000,13.200000,20,200,200,200,1.000000,1.000000,1.000000,0.019271,200,2.000000,14.000000,14.000000,9.598771,10.064553,9.598771,1000.034715,0.001907,0.001827,0.001907,0.031998,7.150738e+03,7.150738e+03,4.767312e-17
proto6_array_root_music,7,0.400000,12.800000,13.200000,22,200,200,200,1.000000,1.000000,1.000000,0.014895,200,2.000000,14.000000,14.000000,14.688831,15.396332,14.688831,1164.018478,0.001441,0.001378,0.001441,0.031998,1.128220e+04,1.128220e+04,4.796375e-17
proto6_array_root_music,7,0.400000,12.800000,13.200000,24,200,200,200,1.000000,1.000000,1.000000,0.012415,200,2.000000,14.000000,14.000000,22.771042,23.887209,22.771042,1298.270591,0.001182,0.001134,0.001182,0.031997,1.798178e+04,1.798178e+04,4.782178e-17
proto6_array_root_music,7,0.400000,12.800000,13.200000,26,200,200,200,1.000000,1.000000,1.000000,0.009373,200,2.000000,14.000000,14.000000,35.595587,37.341361,35.595587,1400.531858,0.000935,0.000899,0.000935,0.031997,2.845982e+04,2.845982e+04,4.766374e-17
proto6_array_root_music,7,0.400000,12.800000,13.200000,28,200,200,200,1.000000,1.000000,1.000000,0.007489,200,2.000000,14.000000,14.000000,56.043444,58.780075,56.043444,1472.199999,0.000739,0.000711,0.000739,0.031997,4.511904e+04,4.511904e+04,4.782449e-17
proto6_array_root_music,8,0.350000,12.825000,13.175000,14,200,121,98,1.000000,0.605000,0.490000,0.085482,200,2.000000,16.000000,18.000000,2.116900,2.220000,2.116900,533.648789,0.006066,0.005758,0.006066,0.030058,1.792596e+03,1.792596e+03,4.741290e-17
