method_name,method_type,B,beam_count,scenario_name,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,raw_success_rate,az_tol_success_rate,el_pair_tol_success_rate,joint_success_rate,az_rmse_deg,el_rmse_deg,mean_abs_el_sep_error_deg,false_el_split_rate,boundary_hit_rate,projection_loss,mean_corr,max_corr,cond_WHW,cond_best_GHG,mean_num_pairs,mean_truth_manifold_corr,n_trials,overall_joint_success_rate,overall_az_rmse_deg,overall_el_rmse_deg,worst_case_success
greedy_combined,greedy_combined,31,31,hard_phase,0.99,150,1,0.83,0.37,30,1,0,1,0,0.136473440639561,0.0820060973342827,0.130000000000001,0,0,0.15995774465196,0.229502437509627,0.248295251588751,15733.689217795,4.40827121560729,65379,0.30386187479787,3,0.8,0.0627438403966186,0.0824703362623954,0
greedy_combined,greedy_combined,31,31,low_snr_hard,1,150,0.3,0.83,0.37,20,1,1,1,1,0.0680073525436777,0.0743303437365916,0.109999999999999,0,0,0.15995774465196,0.229502437509627,0.248295251588751,15733.689217795,1.35723528621876,65379,0.30386187479787,3,0.8,0.0627438403966186,0.0824703362623954,0
greedy_combined,greedy_combined,31,31,strong_coherent,0.99,5,1,1.27,0.37,30,1,1,1,1,0.0206155281280884,0.0743303437365916,0.109999999999999,0,0,0.15995774465196,0.229502437509627,0.248295251588751,15733.689217795,1.29308198498925,65379,0.1277144620709,3,0.8,0.0627438403966186,0.0824703362623954,0
greedy_combined,greedy_combined,31,31,weak_secondary,0.99,150,0.3,0.83,0.37,30,1,1,1,1,0.0680073525436777,0.0743303437365916,0.109999999999999,0,0,0.15995774465196,0.229502437509627,0.248295251588751,15733.689217795,1.35723528621876,65379,0.30386187479787,3,0.8,0.0627438403966186,0.0824703362623954,0
greedy_lowcorr,greedy_lowcorr,5,5,easy_noncoherent,0,0,1,1.27,0.67,30,1,1,1,1,0.0588898136814925,0.118004237212061,0.190000000000003,0,0,0.891545496715419,0.254187716341376,0.369399751258863,2.11913854451967,4.32091786728059,65379,0.181138165959613,3,0.4,0.0920793187209969,0.100020740140584,0
greedy_lowcorr,greedy_lowcorr,5,5,hard_phase,0.99,150,1,0.83,0.37,30,1,0,1,0,0.136473440639561,0.0955248658727151,0.130000000000001,0,0,0.891545496715419,0.254187716341376,0.369399751258863,2.11913854451967,4.67886443200234,65379,0.312084816721416,3,0.4,0.0920793187209969,0.100020740140584,0
greedy_lowcorr,greedy_lowcorr,5,5,low_snr_hard,1,150,0.3,0.83,0.37,20,1,0,1,0,0.11236102527122,0.0955248658727151,0.130000000000001,0,0,0.891545496715419,0.254187716341376,0.369399751258863,2.11913854451967,3.28989246373336,65379,0.312084816721416,3,0.4,0.0920793187209969,0.100020740140584,0
greedy_lowcorr,greedy_lowcorr,5,5,strong_coherent,0.99,5,1,1.27,0.37,30,1,1,1,1,0.0403112887414925,0.0955248658727151,0.130000000000001,0,0,0.891545496715419,0.254187716341376,0.369399751258863,2.11913854451967,2.32035970374617,65379,0.208507609910557,3,0.4,0.0920793187209969,0.100020740140584,0
greedy_lowcorr,greedy_lowcorr,5,5,weak_secondary,0.99,150,0.3,0.83,0.37,30,1,0,1,0,0.11236102527122,0.0955248658727151,0.130000000000001,0,0,0.891545496715419,0.254187716341376,0.369399751258863,2.11913854451967,3.28989246373336,65379,0.312084816721416,3,0.4,0.0920793187209969,0.100020740140584,0
greedy_lowcorr,greedy_lowcorr,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,1,1,1,1,0.0403112887414925,0.118004237212061,0.190000000000003,0,0,0.879021821104546,0.258143559454305,0.31875125212908,57.2957076030831,4.62762827754301,65379,0.194845613337333,3,0.6,0.0733573454062601,0.0943688675709514,0
greedy_lowcorr,greedy_lowcorr,7,7,hard_phase,0.99,150,1,0.83,0.37,30,1,1,1,1,0.0680073525436777,0.0743303437365916,0.109999999999999,0,0,0.879021821104546,0.258143559454305,0.31875125212908,57.2957076030831,3.70430079361576,65379,0.305382235654614,3,0.6,0.0733573454062601,0.0943688675709514,0
greedy_lowcorr,greedy_lowcorr,7,7,low_snr_hard,1,150,0.3,0.83,0.37,20,1,0,1,0,0.11236102527122,0.0955248658727151,0.130000000000001,0,0,0.879021821104546,0.258143559454305,0.31875125212908,57.2957076030831,3.47934473121837,65379,0.305382235654614,3,0.6,0.0733573454062601,0.0943688675709514,0
