Step 08 Route B adaptive window mapping scan prototype 4d
Scan scope: compare three small-range FWHM-to-window mappings for prototype4d.
snr_list=[16 18 20 22 24], Metkl=200, T_snap=260, tol_deg=0.100
sep_factor_list=[7 8 9 10]
Common Route B settings: K_fbss=56, M_full=48, center_beam_count=37, search_scale_B=4.00, Nfft_spatial=4096
Config config_A_current4b | gamma_search=1.20 gamma_span=1.50 search_upper_ratio=1.60 span_upper_ratio=1.60
Config config_B_moderate_shrink | gamma_search=1.10 gamma_span=1.40 search_upper_ratio=1.50 span_upper_ratio=1.50
Config config_C_strong_shrink | gamma_search=1.05 gamma_span=1.35 search_upper_ratio=1.40 span_upper_ratio=1.40

config_B_moderate_shrink | SNR=22 dB raw=197 tol=197 raw_rate=0.985 tol_rate=0.985 RMSE=0.0314 mean_fwhm=1.9663 mean_search_adapt=1.8661 mean_span_adapt=2.7911 mean_num_peaks=1.99
config_C_strong_shrink | SNR=22 dB raw=197 tol=197 raw_rate=0.985 tol_rate=0.985 RMSE=0.0315 mean_fwhm=1.9663 mean_search_adapt=1.7421 mean_span_adapt=2.6006 mean_num_peaks=1.99
config_A_current4b | SNR=24 dB raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0236 mean_fwhm=1.9501 mean_search_adapt=1.9911 mean_span_adapt=2.9867 mean_num_peaks=2.00
config_B_moderate_shrink | SNR=24 dB raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0236 mean_fwhm=1.9501 mean_search_adapt=1.8667 mean_span_adapt=2.7986 mean_num_peaks=2.00
config_C_strong_shrink | SNR=24 dB raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0236 mean_fwhm=1.9501 mean_search_adapt=1.7422 mean_span_adapt=2.6097 mean_num_peaks=2.00

=== sep_factor = 10, theta_sep = 0.2800 deg ===
config_A_current4b | SNR=16 dB raw=1 tol=1 raw_rate=0.005 tol_rate=0.005 RMSE=0.0570 mean_fwhm=2.0902 mean_search_adapt=1.7920 mean_span_adapt=2.6880 mean_num_peaks=0.95
config_B_moderate_shrink | SNR=16 dB raw=1 tol=1 raw_rate=0.005 tol_rate=0.005 RMSE=0.0616 mean_fwhm=2.0902 mean_search_adapt=1.6800 mean_span_adapt=2.5159 mean_num_peaks=0.95
config_C_strong_shrink | SNR=16 dB raw=1 tol=1 raw_rate=0.005 tol_rate=0.005 RMSE=0.0565 mean_fwhm=2.0902 mean_search_adapt=1.5680 mean_span_adapt=2.3466 mean_num_peaks=0.95
config_A_current4b | SNR=18 dB raw=7 tol=7 raw_rate=0.035 tol_rate=0.035 RMSE=0.0466 mean_fwhm=2.0090 mean_search_adapt=1.7920 mean_span_adapt=2.6880 mean_num_peaks=1.03
config_B_moderate_shrink | SNR=18 dB raw=7 tol=7 raw_rate=0.035 tol_rate=0.035 RMSE=0.0443 mean_fwhm=2.0090 mean_search_adapt=1.6800 mean_span_adapt=2.5183 mean_num_peaks=1.03
config_C_strong_shrink | SNR=18 dB raw=8 tol=8 raw_rate=0.040 tol_rate=0.040 RMSE=0.0485 mean_fwhm=2.0090 mean_search_adapt=1.5680 mean_span_adapt=2.3498 mean_num_peaks=1.04
config_A_current4b | SNR=20 dB raw=57 tol=56 raw_rate=0.285 tol_rate=0.280 RMSE=0.0483 mean_fwhm=1.9502 mean_search_adapt=1.7920 mean_span_adapt=2.6880 mean_num_peaks=1.28
config_B_moderate_shrink | SNR=20 dB raw=57 tol=55 raw_rate=0.285 tol_rate=0.275 RMSE=0.0481 mean_fwhm=1.9502 mean_search_adapt=1.6800 mean_span_adapt=2.5200 mean_num_peaks=1.28
config_C_strong_shrink | SNR=20 dB raw=58 tol=57 raw_rate=0.290 tol_rate=0.285 RMSE=0.0488 mean_fwhm=1.9502 mean_search_adapt=1.5680 mean_span_adapt=2.3520 mean_num_peaks=1.29
config_A_current4b | SNR=22 dB raw=140 tol=140 raw_rate=0.700 tol_rate=0.700 RMSE=0.0401 mean_fwhm=1.9414 mean_search_adapt=1.7920 mean_span_adapt=2.6880 mean_num_peaks=1.70
config_B_moderate_shrink | SNR=22 dB raw=139 tol=139 raw_rate=0.695 tol_rate=0.695 RMSE=0.0399 mean_fwhm=1.9414 mean_search_adapt=1.6800 mean_span_adapt=2.5200 mean_num_peaks=1.70
config_C_strong_shrink | SNR=22 dB raw=139 tol=139 raw_rate=0.695 tol_rate=0.695 RMSE=0.0399 mean_fwhm=1.9414 mean_search_adapt=1.5680 mean_span_adapt=2.3520 mean_num_peaks=1.70
config_A_current4b | SNR=24 dB raw=187 tol=187 raw_rate=0.935 tol_rate=0.935 RMSE=0.0301 mean_fwhm=1.9477 mean_search_adapt=1.7920 mean_span_adapt=2.6880 mean_num_peaks=1.94
config_B_moderate_shrink | SNR=24 dB raw=188 tol=188 raw_rate=0.940 tol_rate=0.940 RMSE=0.0306 mean_fwhm=1.9477 mean_search_adapt=1.6800 mean_span_adapt=2.5200 mean_num_peaks=1.94
config_C_strong_shrink | SNR=24 dB raw=189 tol=189 raw_rate=0.945 tol_rate=0.945 RMSE=0.0306 mean_fwhm=1.9477 mean_search_adapt=1.5680 mean_span_adapt=2.3520 mean_num_peaks=1.95

SNR90 summary | bw/7 config_A_current4b=18 dB config_B_moderate_shrink=18 dB config_C_strong_shrink=18 dB
SNR90 summary | bw/8 config_A_current4b=18 dB config_B_moderate_shrink=20 dB config_C_strong_shrink=18 dB
SNR90 summary | bw/9 config_A_current4b=22 dB config_B_moderate_shrink=22 dB config_C_strong_shrink=22 dB
SNR90 summary | bw/10 config_A_current4b=24 dB config_B_moderate_shrink=24 dB config_C_strong_shrink=24 dB
