stage,case_name,el_b_deg,el_mismatch_deg,snr_db,route_name,raw_success_rate,az_tol_success_rate_abs01,el_tol_success_rate_abs05,joint_tol_success_rate,az_rmse_deg,el_rmse_deg,pair_2d_rmse,peak_count_mean,degraded_rate,route_failure_reason,mean_objective_true_pair,mean_objective_best,objective_margin,objective_true_rank_median,el_common_est_mean,el_common_est_error
B,el0_5,0,5,0,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.0316227766016838,0,0.0316227766016838,2,0,ok,0.000117577854774272,0.00011649394395977,1.08391081450208e-06,15,NaN,NaN
B,el0_5,0,5,8,level2_rank1_fallback_baseline,1,1,0,0,0.0435663167400029,5,5.00028566492761,2,1,el_error,2.86657330990311e-06,2.37574745450367e-06,4.90825855399447e-07,NaN,NaN,NaN
B,el0_5,0,5,8,level2_el_bank_baseline,1,1,0.05,0.05,0.0301887722466676,1.4,1.40200369923039,2,0.95,el_error,1.80151604485764e-07,0,1.80151604485764e-07,NaN,NaN,NaN
B,el0_5,0,5,8,level3_2d_fbss_music_grid,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_5,0,5,8,level3_common_el_rank1_covfit,1,1,1,1,0.0118877224666764,0,0.0118877224666764,2,0,ok,1.80046204628008e-05,1.80046204628008e-05,0,1,0,NaN
B,el0_5,0,5,8,level3_pair_el_local_rank1_covfit,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_5,0,5,8,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.02,0,0.02,2,0,ok,1.80046853322996e-05,1.80046546535899e-05,3.06787096405027e-11,2,NaN,NaN
B,el0_5,0,5,16,level2_rank1_fallback_baseline,1,1,0,0,0.0493214057266735,5,5.00034732337459,2,1,el_error,7.4447508122175e-07,3.87214327652364e-07,3.57260753569386e-07,NaN,NaN,NaN
B,el0_5,0,5,16,level2_el_bank_baseline,1,1,0,0,0.032,2.75,2.75025434283113,2,1,el_error,1.99643649528455e-07,0,1.99643649528455e-07,NaN,NaN,NaN
B,el0_5,0,5,16,level3_2d_fbss_music_grid,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_5,0,5,16,level3_common_el_rank1_covfit,1,1,1,1,0.0918877224666765,0,0.0918877224666765,2,0,ok,2.27580062971466e-06,2.24095414522926e-06,3.48464844853919e-08,3,0,NaN
B,el0_5,0,5,16,level3_pair_el_local_rank1_covfit,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_5,0,5,16,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.04,0,0.04,2,0,ok,2.28438913344342e-06,2.2592105950601e-06,2.51785383833227e-08,3,NaN,NaN
B,el0_10,0,10,0,level2_rank1_fallback_baseline,1,0.1,0,0,0.13132159699617,10,10.0010261508901,2,1,az_error,0.00129834486078293,0.00125566701304925,4.26778477336811e-05,NaN,NaN,NaN
B,el0_10,0,10,0,level2_el_bank_baseline,1,1,0.5,0.5,0.0354336832599971,0.5,0.511249658190487,2,0.5,el_error,5.36356753201526e-07,1.80993592864088e-07,3.55363160337438e-07,NaN,NaN,NaN
B,el0_10,0,10,0,level3_2d_fbss_music_grid,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_10,0,10,0,level3_common_el_rank1_covfit,1,1,1,1,0.0918877224666765,0,0.0918877224666765,2,0,ok,0.000193500234500508,0.000193379463274212,1.20771226295871e-07,3,0,NaN
B,el0_10,0,10,0,level3_pair_el_local_rank1_covfit,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_10,0,10,0,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.04,0.5,0.501597448159378,2,0,ok,0.000193528908612771,0.000191183369723961,2.34553888881067e-06,16,NaN,NaN
B,el0_10,0,10,8,level2_rank1_fallback_baseline,1,0.45,0,0,0.0945805951829614,10,10.0004495349189,2,1,az_error,0.000374027635419761,0.000359736041124513,1.42915942952482e-05,NaN,NaN,NaN
B,el0_10,0,10,8,level2_el_bank_baseline,1,1,0.25,0.25,0.0246224555066647,1.05,1.0548787394563,2,0.75,el_error,9.06078156303793e-08,0,9.06078156303793e-08,NaN,NaN,NaN
B,el0_10,0,10,8,level3_2d_fbss_music_grid,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_10,0,10,8,level3_common_el_rank1_covfit,1,0,1,0,0.268112277533324,0,0.268112277533324,2,1,az_error,2.70013634101905e-05,2.5840411928286e-05,1.16095148190446e-06,12,0,NaN
B,el0_10,0,10,8,level3_pair_el_local_rank1_covfit,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_10,0,10,8,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.0316227766016838,0,0.0316227766016838,2,0,ok,2.69750294393394e-05,2.54684612112803e-05,1.50656822805918e-06,7,NaN,NaN
B,el0_10,0,10,16,level2_rank1_fallback_baseline,1,0.6,0,0,0.0950835465139229,10,10.0004547234334,2,1,az_error,0.000133135362040145,0.00012526788611461,7.86747592553551e-06,NaN,NaN,NaN
B,el0_10,0,10,16,level2_el_bank_baseline,1,1,0,0,0.0234336832599971,2.65,2.65016534159765,2,1,el_error,1.41389099238399e-07,0,1.41389099238399e-07,NaN,NaN,NaN
B,el0_10,0,10,16,level3_2d_fbss_music_grid,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_10,0,10,16,level3_common_el_rank1_covfit,1,0,1,0,0.108112277533324,0,0.108112277533324,2,1,az_error,2.60065046420344e-06,2.57938483663571e-06,2.12656275677277e-08,6,0,NaN
B,el0_10,0,10,16,level3_pair_el_local_rank1_covfit,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_10,0,10,16,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.04,0,0.04,2,0,ok,2.59818464045036e-06,2.58965257764223e-06,8.53206280813174e-09,3,NaN,NaN
