obs_id,chunk_id,total_chunks,run_tag,scenario_name,center_az,trial_id,quant_mode,stage_name,elapsed_sec,num_candidates,num_topK,score_lanes_assumed,comment
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,combined_int18,ranking_compare,0.1575521,7353,10,NaN,ranking and topK comparison
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,combined_int24,score_recompute,0.314988,7353,10,NaN,Step12 quantized score recompute
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,combined_int24,ranking_compare,0.1891087,7353,10,NaN,ranking and topK comparison
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,mixed_Z16_G24_Rz24,score_recompute,0.3453239,7353,10,NaN,Step12 quantized score recompute
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,mixed_Z16_G24_Rz24,ranking_compare,0.1676442,7353,10,NaN,ranking and topK comparison
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,combined_int14,score_recompute,0.3141475,7353,10,NaN,Step12 quantized score recompute
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,combined_int14,ranking_compare,0.162887,7353,10,NaN,ranking and topK comparison
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,W_int18_G24_Z16,score_recompute,0.3318536,7353,10,NaN,Step12 quantized score recompute
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,W_int18_G24_Z16,ranking_compare,0.1646762,7353,10,NaN,ranking and topK comparison
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,double_baseline,score_recompute,0.2969895,7353,10,NaN,Step12 quantized score recompute
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,double_baseline,ranking_compare,0.1529596,7353,10,NaN,ranking and topK comparison
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,float32_all,score_recompute,0.2973403,7353,10,NaN,Step12 quantized score recompute
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,float32_all,ranking_compare,0.1512051,7353,10,NaN,ranking and topK comparison
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,combined_int16,score_recompute,0.2979168,7353,10,NaN,Step12 quantized score recompute
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,combined_int16,ranking_compare,0.15893,7353,10,NaN,ranking and topK comparison
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,combined_int18,score_recompute,0.4247478,7353,10,NaN,Step12 quantized score recompute
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,combined_int18,ranking_compare,0.188844,7353,10,NaN,ranking and topK comparison
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,combined_int24,score_recompute,0.3612309,7353,10,NaN,Step12 quantized score recompute
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,combined_int24,ranking_compare,0.1772208,7353,10,NaN,ranking and topK comparison
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,mixed_Z16_G24_Rz24,score_recompute,0.3430054,7353,10,NaN,Step12 quantized score recompute
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,mixed_Z16_G24_Rz24,ranking_compare,0.1642597,7353,10,NaN,ranking and topK comparison
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,combined_int14,score_recompute,0.3093654,7353,10,NaN,Step12 quantized score recompute
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,combined_int14,ranking_compare,0.1492468,7353,10,NaN,ranking and topK comparison
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,W_int18_G24_Z16,score_recompute,0.2994612,7353,10,NaN,Step12 quantized score recompute
cp04p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,3.75,8,W_int18_G24_Z16,ranking_compare,0.1533029,7353,10,NaN,ranking and topK comparison
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,double_baseline,score_recompute,0.2954117,7353,10,NaN,Step12 quantized score recompute
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,double_baseline,ranking_compare,0.1520774,7353,10,NaN,ranking and topK comparison
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,float32_all,score_recompute,0.3545293,7353,10,NaN,Step12 quantized score recompute
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,float32_all,ranking_compare,0.1736182,7353,10,NaN,ranking and topK comparison
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,combined_int16,score_recompute,0.3317492,7353,10,NaN,Step12 quantized score recompute
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,combined_int16,ranking_compare,0.173998,7353,10,NaN,ranking and topK comparison
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,combined_int18,score_recompute,0.3161726,7353,10,NaN,Step12 quantized score recompute
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,combined_int18,ranking_compare,0.1692627,7353,10,NaN,ranking and topK comparison
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,combined_int24,score_recompute,0.3072274,7353,10,NaN,Step12 quantized score recompute
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,combined_int24,ranking_compare,0.1536811,7353,10,NaN,ranking and topK comparison
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,mixed_Z16_G24_Rz24,score_recompute,0.2938317,7353,10,NaN,Step12 quantized score recompute
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,mixed_Z16_G24_Rz24,ranking_compare,0.158818,7353,10,NaN,ranking and topK comparison
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,combined_int14,score_recompute,0.3213417,7353,10,NaN,Step12 quantized score recompute
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,combined_int14,ranking_compare,0.1589747,7353,10,NaN,ranking and topK comparison
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,W_int18_G24_Z16,score_recompute,0.3366219,7353,10,NaN,Step12 quantized score recompute
cp04p00_large_el_pair_t0008,38,120,formal_tps30,large_el_pair,3.75,8,W_int18_G24_Z16,ranking_compare,0.1874298,7353,10,NaN,ranking and topK comparison
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,double_baseline,score_recompute,0.3365837,7353,10,NaN,Step12 quantized score recompute
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,double_baseline,ranking_compare,0.1641875,7353,10,NaN,ranking and topK comparison
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,float32_all,score_recompute,0.3486174,7353,10,NaN,Step12 quantized score recompute
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,float32_all,ranking_compare,0.1704336,7353,10,NaN,ranking and topK comparison
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,combined_int16,score_recompute,0.324714,7353,10,NaN,Step12 quantized score recompute
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,combined_int16,ranking_compare,0.1659103,7353,10,NaN,ranking and topK comparison
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,combined_int18,score_recompute,0.306766,7353,10,NaN,Step12 quantized score recompute
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,combined_int18,ranking_compare,0.1530148,7353,10,NaN,ranking and topK comparison
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,combined_int24,score_recompute,0.4337547,7353,10,NaN,Step12 quantized score recompute
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,combined_int24,ranking_compare,0.292645,7353,10,NaN,ranking and topK comparison
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,mixed_Z16_G24_Rz24,score_recompute,0.4263151,7353,10,NaN,Step12 quantized score recompute
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,mixed_Z16_G24_Rz24,ranking_compare,0.2332435,7353,10,NaN,ranking and topK comparison
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,combined_int14,score_recompute,0.5673276,7353,10,NaN,Step12 quantized score recompute
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,combined_int14,ranking_compare,0.3595364,7353,10,NaN,ranking and topK comparison
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,W_int18_G24_Z16,score_recompute,0.4379604,7353,10,NaN,Step12 quantized score recompute
cp08p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,7.5,8,W_int18_G24_Z16,ranking_compare,0.166831,7353,10,NaN,ranking and topK comparison
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,double_baseline,score_recompute,0.3213726,7353,10,NaN,Step12 quantized score recompute
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,double_baseline,ranking_compare,0.1475002,7353,10,NaN,ranking and topK comparison
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,float32_all,score_recompute,0.3192516,7353,10,NaN,Step12 quantized score recompute
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,float32_all,ranking_compare,0.1724185,7353,10,NaN,ranking and topK comparison
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,combined_int16,score_recompute,0.356274,7353,10,NaN,Step12 quantized score recompute
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,combined_int16,ranking_compare,0.1657076,7353,10,NaN,ranking and topK comparison
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,combined_int18,score_recompute,0.3483937,7353,10,NaN,Step12 quantized score recompute
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,combined_int18,ranking_compare,0.1757069,7353,10,NaN,ranking and topK comparison
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,combined_int24,score_recompute,0.3491919,7353,10,NaN,Step12 quantized score recompute
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,combined_int24,ranking_compare,0.1677646,7353,10,NaN,ranking and topK comparison
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,mixed_Z16_G24_Rz24,score_recompute,0.3269527,7353,10,NaN,Step12 quantized score recompute
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,mixed_Z16_G24_Rz24,ranking_compare,0.1597152,7353,10,NaN,ranking and topK comparison
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,combined_int14,score_recompute,0.325955,7353,10,NaN,Step12 quantized score recompute
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,combined_int14,ranking_compare,0.1584729,7353,10,NaN,ranking and topK comparison
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,W_int18_G24_Z16,score_recompute,0.3150866,7353,10,NaN,Step12 quantized score recompute
cp08p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,7.5,8,W_int18_G24_Z16,ranking_compare,0.1594714,7353,10,NaN,ranking and topK comparison
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,double_baseline,score_recompute,0.3561827,7353,10,NaN,Step12 quantized score recompute
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,double_baseline,ranking_compare,0.1599522,7353,10,NaN,ranking and topK comparison
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,float32_all,score_recompute,0.3124784,7353,10,NaN,Step12 quantized score recompute
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,float32_all,ranking_compare,0.1597428,7353,10,NaN,ranking and topK comparison
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,combined_int16,score_recompute,0.326617,7353,10,NaN,Step12 quantized score recompute
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,combined_int16,ranking_compare,0.1603063,7353,10,NaN,ranking and topK comparison
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,combined_int18,score_recompute,0.3323499,7353,10,NaN,Step12 quantized score recompute
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,combined_int18,ranking_compare,0.2144853,7353,10,NaN,ranking and topK comparison
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,combined_int24,score_recompute,0.3541197,7353,10,NaN,Step12 quantized score recompute
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,combined_int24,ranking_compare,0.1655503,7353,10,NaN,ranking and topK comparison
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,mixed_Z16_G24_Rz24,score_recompute,0.3143064,7353,10,NaN,Step12 quantized score recompute
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,mixed_Z16_G24_Rz24,ranking_compare,0.1653792,7353,10,NaN,ranking and topK comparison
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,combined_int14,score_recompute,0.315478,7353,10,NaN,Step12 quantized score recompute
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,combined_int14,ranking_compare,0.1738637,7353,10,NaN,ranking and topK comparison
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,W_int18_G24_Z16,score_recompute,0.3042974,7353,10,NaN,Step12 quantized score recompute
cp08p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,7.5,8,W_int18_G24_Z16,ranking_compare,0.1572352,7353,10,NaN,ranking and topK comparison
cp15p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,15,8,double_baseline,score_recompute,0.3162532,7353,10,NaN,Step12 quantized score recompute
cp15p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,15,8,double_baseline,ranking_compare,0.1661173,7353,10,NaN,ranking and topK comparison
cp15p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,15,8,float32_all,score_recompute,0.3151414,7353,10,NaN,Step12 quantized score recompute
cp15p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,15,8,float32_all,ranking_compare,0.1548245,7353,10,NaN,ranking and topK comparison
cp15p00_weak_secondary_t0008,38,120,formal_tps30,weak_secondary,15,8,combined_int16,score_recompute,0.3057289,7353,10,NaN,Step12 quantized score recompute
