route_name,N_arc,K_fbss,bw_eq_deg,edge_offset_deg,steering_mismatch_pct,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,lambda2_over_noise,degraded_sample_count,measured_snr_gain_db
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,16,1.000000,0.000000,0.000000,0.348317,28.000000,24.000000,-0.007322,0.141950,1.362343,4,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,18,1.000000,0.000000,0.055000,0.253314,28.000000,24.000000,0.001480,0.185959,1.626226,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,20,1.000000,0.015000,0.330000,0.197435,28.000000,24.000000,-0.011901,0.151870,2.058792,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,22,1.000000,0.170000,0.820000,0.125646,28.000000,24.000000,-0.013079,0.104006,2.743580,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,24,1.000000,0.505000,0.995000,0.082763,28.000000,24.000000,-0.012668,0.074242,3.841112,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,26,1.000000,0.870000,1.000000,0.060341,28.000000,24.000000,-0.015781,0.061557,5.568586,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,28,1.000000,0.990000,1.000000,0.048306,28.000000,24.000000,-0.016464,0.054252,8.318036,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,30,1.000000,0.995000,1.000000,0.042075,28.000000,24.000000,-0.016157,0.048845,12.660534,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,-4,0.880000,0.000000,0.000000,27.143015,NaN,NaN,-0.577119,16.852033,1.072766,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,-2,0.885000,0.000000,0.000000,28.472678,NaN,NaN,-3.256823,20.411159,1.072574,200,15.051500
