route_name,N_arc,K_fbss,bw_eq_deg,edge_offset_deg,steering_mismatch_pct,sep_factor,snr_db,tol_success_rate_abs01,rmse_deg,snr90_db,mean_bias_deg,max_bias_deg,degraded_sample_count,measured_snr_gain_db
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,5,24,0.000000,0.227298,NaN,-0.030886,0.252651,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,30,1.000000,0.028196,22.000000,-0.013566,0.036694,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,5,30,0.770000,0.077888,NaN,-0.018233,0.093408,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,5,30,0.000000,0.228777,NaN,-0.027441,0.253886,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,-4,0.000000,28.171015,28.000000,1.897714,18.453072,200,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,7,-4,0.000000,27.942519,NaN,-0.958865,16.996640,200,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,7,-4,0.000000,24.804650,NaN,0.061896,13.041686,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,14,0.000000,1.964569,28.000000,-0.137894,0.329172,23,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,7,14,0.000000,17.168848,NaN,0.353478,8.195804,184,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,7,14,0.000000,22.951231,NaN,-0.984010,13.057224,199,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,18,0.000000,0.253314,28.000000,0.001480,0.185959,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,7,18,0.000000,0.386018,NaN,-0.018744,0.084496,2,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,7,18,0.000000,13.507842,NaN,0.731937,5.874387,179,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,24,0.505000,0.082763,28.000000,-0.012668,0.074242,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,7,24,0.000000,0.188898,NaN,-0.023687,0.196309,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,7,24,0.000000,0.158412,NaN,-0.024801,0.132661,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,28,0.990000,0.048306,28.000000,-0.016464,0.054252,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,7,28,0.035000,0.158455,NaN,-0.017507,0.166532,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,7,28,0.000000,0.158821,NaN,-0.027264,0.176996,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,30,0.995000,0.042075,28.000000,-0.016157,0.048845,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,7,30,0.015000,0.137928,NaN,-0.018722,0.150717,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,7,30,0.000000,0.159957,NaN,-0.029652,0.182611,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,-4,0.000000,27.143015,NaN,-0.577119,16.852033,200,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,10,-4,0.000000,26.219163,NaN,0.434160,15.370249,200,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,10,-4,0.000000,25.501653,NaN,-0.241331,13.859443,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,14,0.000000,26.087417,NaN,-0.129068,14.913268,200,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,10,14,0.000000,27.535764,NaN,0.059886,15.858094,200,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,10,14,0.000000,24.609215,NaN,0.358731,13.988960,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,18,0.000000,16.234022,NaN,-0.371960,7.436726,157,15.051500
