config_name,split_name,run_phase,scenario_name,adaptive_policy_name,adaptive_confidence,adaptive_boundary_flag,failure_reason,row_id,config_id,trial_id,seed,bias_case_id,az_center_bias_deg,el_center_bias_deg,truth_az1,truth_az2,truth_el1,truth_el2,true_orientation,full_success,fixed_success,adaptive_success,full_rmse,fixed_rmse,adaptive_rmse,full_num_pairs,fixed_num_pairs,adaptive_num_pairs,adaptive_num_pairs_coarse,adaptive_num_pairs_refine,adaptive_vs_fixed_pair_count_ratio,fixed_full_grid_match,adaptive_full_grid_match,fixed_topK_miss,adaptive_topK_miss,fixed_boundary_hit,adaptive_boundary_hit,H_norm,gap_13,gap_17,boundary_risk,cond_risk,U_search,U_confidence,adaptive_topK,az_window_scale,el_window_scale
C07_topK_only,validation,config_scan,easy_noncoherent,EASY,high,,,43,7,4,20611613,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,17154,12204,7353,4851,0.711437565582371,1,1,0,0,0,0,0.994786261761568,0.00287423903445837,0.0087694307083399,0,0.0166354136958332,0.0522482092006876,0.36281412550231,2,0.75,0.75
C08_safe_default,validation,config_scan,easy_noncoherent,NORMAL,medium,,,44,8,4,20611613,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,17154,17154,7353,9801,1,1,1,0,0,0,0,0.994786261761568,0.00287423903445837,0.0087694307083399,0,0.0166354136958332,0.207936156900516,0.422694105386859,3,1,1
C09_gap_low,validation,config_scan,easy_noncoherent,EASY,high,,,45,9,4,20611613,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,17154,12743,7353,5390,0.74285880844118,1,0,0,0,0,0,0.994786261761568,0.00287423903445837,0.0087694307083399,0,0.0166354136958332,0.025,0.352334045040507,2,0.65,0.65
C10_easy_top1_window075,validation,config_scan,easy_noncoherent,NORMAL,medium,,,46,10,4,20611613,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,17154,17154,7353,9801,1,1,1,0,0,0,0,0.994786261761568,0.00287423903445837,0.0087694307083399,0,0.0166354136958332,0.0522482092006876,0.36281412550231,3,1,1
C11_default_plus_low_conf,validation,config_scan,easy_noncoherent,NORMAL,medium,,,47,11,4,20611613,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,17154,17154,7353,9801,1,1,1,0,0,0,0,0.994786261761568,0.00287423903445837,0.0087694307083399,0,0.0166354136958332,0.0522482092006876,0.36281412550231,3,1,1
C12_balanced_candidate,validation,config_scan,easy_noncoherent,EASY,high,,,48,12,4,20611613,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0676904720030824,131461,17154,12743,7353,5390,0.74285880844118,1,0,0,0,0,0,0.994786261761568,0.00287423903445837,0.0087694307083399,0,0.0166354136958332,0.0522482092006876,0.36281412550231,2,0.7,0.7
C01_normal_only_control,calibration,config_scan,easy_noncoherent,NORMAL,medium,,,49,1,5,20611614,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,18612,18612,7353,11259,1,1,1,0,0,0,0,0.997545673656294,0.00282606838611735,0.00718068053324502,0,0.014161674087216,0.675,0.602681404301507,3,1,1
C02_easy_conservative,calibration,config_scan,easy_noncoherent,NORMAL,medium,,,50,2,5,20611614,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,18612,18612,7353,11259,1,1,1,0,0,0,0,0.997545673656294,0.00282606838611735,0.00718068053324502,0,0.014161674087216,0.0626851830079081,0.367175705458395,3,1,1
C03_easy_moderate,calibration,config_scan,easy_noncoherent,EASY,high,,,51,3,5,20611614,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,18612,12743,7353,5390,0.684665807006233,1,0,0,0,0,0,0.997545673656294,0.00282606838611735,0.00718068053324502,0,0.014161674087216,0.0626851830079081,0.367175705458395,2,0.65,0.65
C04_easy_aggressive,calibration,config_scan,easy_noncoherent,EASY,high,,,52,4,5,20611614,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,18612,11126,7353,3773,0.597786374382119,1,0,0,0,0,0,0.997545673656294,0.00282606838611735,0.00718068053324502,0,0.014161674087216,0.0626851830079081,0.367175705458395,1,0.65,0.65
C05_easy_very_aggressive,calibration,config_scan,easy_noncoherent,EASY,high,,,53,5,5,20611614,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0282488937836506,131461,18612,9729,7353,2376,0.522727272727273,1,1,0,0,0,0,0.997545673656294,0.00282606838611735,0.00718068053324502,0,0.014161674087216,0.0626851830079081,0.367175705458395,1,0.6,0.6
C06_no_window_expand,calibration,config_scan,easy_noncoherent,EASY,high,,,54,6,5,20611614,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,18612,12743,7353,5390,0.684665807006233,1,0,0,0,0,0,0.997545673656294,0.00282606838611735,0.00718068053324502,0,0.014161674087216,0.0626851830079081,0.367175705458395,2,0.65,0.65
C07_topK_only,calibration,config_scan,easy_noncoherent,EASY,high,,,55,7,5,20611614,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,18612,12204,7353,4851,0.655705996131528,1,1,0,0,0,0,0.997545673656294,0.00282606838611735,0.00718068053324502,0,0.014161674087216,0.0626851830079081,0.367175705458395,2,0.75,0.75
C08_safe_default,calibration,config_scan,easy_noncoherent,NORMAL,medium,,,56,8,5,20611614,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,18612,18612,7353,11259,1,1,1,0,0,0,0,0.997545673656294,0.00282606838611735,0.00718068053324502,0,0.014161674087216,0.215763887255931,0.426052130169173,3,1,1
C09_gap_low,calibration,config_scan,easy_noncoherent,EASY,high,,,57,9,5,20611614,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,18612,12743,7353,5390,0.684665807006233,1,0,0,0,0,0,0.997545673656294,0.00282606838611735,0.00718068053324502,0,0.014161674087216,0.025,0.352681404301507,2,0.65,0.65
C10_easy_top1_window075,calibration,config_scan,easy_noncoherent,NORMAL,medium,,,58,10,5,20611614,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,18612,18612,7353,11259,1,1,1,0,0,0,0,0.997545673656294,0.00282606838611735,0.00718068053324502,0,0.014161674087216,0.0626851830079081,0.367175705458395,3,1,1
C11_default_plus_low_conf,calibration,config_scan,easy_noncoherent,NORMAL,medium,,,59,11,5,20611614,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,18612,18612,7353,11259,1,1,1,0,0,0,0,0.997545673656294,0.00282606838611735,0.00718068053324502,0,0.014161674087216,0.0626851830079081,0.367175705458395,3,1,1
C12_balanced_candidate,calibration,config_scan,easy_noncoherent,EASY,high,,,60,12,5,20611614,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0676904720030824,131461,18612,12743,7353,5390,0.684665807006233,1,0,0,0,0,0,0.997545673656294,0.00282606838611735,0.00718068053324502,0,0.014161674087216,0.0626851830079081,0.367175705458395,2,0.7,0.7
C01_normal_only_control,validation,config_scan,easy_noncoherent,NORMAL,medium,,,61,1,6,20611615,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,17154,17154,7353,9801,1,1,1,0,0,0,0,0.995369299533934,0.00284961872698274,0.00814548338399648,0,0.0166354136958332,0.675,0.602538108260835,3,1,1
C02_easy_conservative,validation,config_scan,easy_noncoherent,NORMAL,medium,,,62,2,6,20611615,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,17154,17154,7353,9801,1,1,1,0,0,0,0,0.995369299533934,0.00284961872698274,0.00814548338399648,0,0.0166354136958332,0.0575826091537396,0.365069881012274,3,1,1
C03_easy_moderate,validation,config_scan,easy_noncoherent,EASY,high,,,63,3,6,20611615,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,17154,12743,7353,5390,0.74285880844118,1,0,0,0,0,0,0.995369299533934,0.00284961872698274,0.00814548338399648,0,0.0166354136958332,0.0575826091537396,0.365069881012274,2,0.65,0.65
C04_easy_aggressive,validation,config_scan,easy_noncoherent,EASY,high,,,64,4,6,20611615,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,17154,11126,7353,3773,0.648595079864755,1,0,0,0,0,0,0.995369299533934,0.00284961872698274,0.00814548338399648,0,0.0166354136958332,0.0575826091537396,0.365069881012274,1,0.65,0.65
