search_method,scenario_name,topK,coarse_az_step,coarse_el_step,fine_az_step,fine_el_step,config_name,coarse_config_name,refine_config_name,sweep_phase,local_az_half_width,local_el_center_half_width,az_center_bias_deg,el_center_bias_deg,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,B,W_method,search_param_mode,full_el_sep_deg_list_text,coarse_el_sep_deg_list_text,fine_el_sep_deg_list_text,joint_success_rate,az_rmse_mean,el_rmse_mean,combined_rmse_mean,boundary_hit_rate,mean_num_pairs,mean_full_num_pairs,mean_coarse_num_pairs,mean_refine_num_pairs,mean_reduction_ratio_vs_full,full_grid_match_rate,topK_miss_rate,full_success_test_fail_rate,el_sep_match_rate_vs_full,max_score_mean,cond_best_GHG_mean,n_trials,overall_joint_success_rate,overall_az_rmse_mean,overall_el_rmse_mean,overall_combined_rmse_mean,worst_case_success,overall_boundary_hit_rate,overall_mean_num_pairs,overall_mean_reduction_ratio_vs_full,overall_full_grid_match_rate,overall_topK_miss_rate,overall_el_sep_match_rate_vs_full
coarse_to_fine,hard_phase,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,-0.2,0,0.99,150,1,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0285078105935821,0.0502493781056035,0.0578533686203362,0,19255.5,131461,7353,11902.5,6.83735873587359,1,0,0,1,159525.613430952,2.02384020990422,10,1,0.0267540218448181,0.0561960354981793,0.0624526188471318,1,0,18917.1,6.96331682739074,1,0,1
coarse_to_fine,low_snr_hard,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,-0.2,0,1,150,0.3,0.83,0.37,20,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0320156211871654,0.0622898609210975,0.0702569733601288,0,18724.5,131461,7353,11371.5,7.02105507043065,1,0,0,1,96149.0318715565,1.84220472417942,10,1,0.0267540218448181,0.0561960354981793,0.0624526188471318,1,0,18917.1,6.96331682739074,1,0,1
coarse_to_fine,strong_coherent,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,-0.2,0,0.99,5,1,1.27,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280887,0.0502493781056035,0.0543139024560003,0,19998,131461,7353,12645,6.57370737073707,1,0,0,1,195799.184059727,1.31854245985507,10,1,0.0267540218448181,0.0561960354981793,0.0624526188471318,1,0,18917.1,6.96331682739074,1,0,1
coarse_to_fine,weak_secondary,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,-0.2,0,0.99,150,0.3,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0320156211871654,0.0622898609210975,0.0702569733601288,0,18724.5,131461,7353,11371.5,7.02105507043065,1,0,0,1,96235.9456227776,1.84220472417942,10,1,0.0267540218448181,0.0561960354981793,0.0624526188471318,1,0,18917.1,6.96331682739074,1,0,1
full_fine,easy_noncoherent,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,-0.2,0,0,0,1,1.27,0.67,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280887,0.0559016994374931,0.0595818764390636,0,131461,131461,0,0,1,1,0,0,1,203788.377051468,1.36524913305289,10,1,0.0267540218448181,0.056196035498179,0.0624526188471315,1,0,131461,1,1,0,1
full_fine,hard_phase,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,-0.2,0,0.99,150,1,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0285078105935821,0.0502493781056035,0.0578533686203362,0,131461,131461,0,0,1,1,0,0,1,159525.613430952,2.02384020990422,10,1,0.0267540218448181,0.056196035498179,0.0624526188471315,1,0,131461,1,1,0,1
full_fine,low_snr_hard,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,-0.2,0,1,150,0.3,0.83,0.37,20,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0320156211871654,0.0622898609210975,0.0702569733601288,0,131461,131461,0,0,1,1,0,0,1,96149.0318715565,1.84220472417942,10,1,0.0267540218448181,0.056196035498179,0.0624526188471315,1,0,131461,1,1,0,1
full_fine,strong_coherent,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,-0.2,0,0.99,5,1,1.27,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280887,0.0502493781056035,0.0543139024560003,0,131461,131461,0,0,1,1,0,0,1,195799.184059727,1.31854245985507,10,1,0.0267540218448181,0.056196035498179,0.0624526188471315,1,0,131461,1,1,0,1
full_fine,weak_secondary,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,-0.2,0,0.99,150,0.3,0.83,0.37,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0320156211871654,0.0622898609210975,0.0702569733601288,0,131461,131461,0,0,1,1,0,0,1,96235.9456227776,1.84220472417942,10,1,0.0267540218448181,0.056196035498179,0.0624526188471315,1,0,131461,1,1,0,1
coarse_to_fine,easy_noncoherent,3,0.16,0.24,0.08,0.12,default_config,default_coarse,default_refine,single,0.32,0.48,0,-0.2,0,0,1,1.27,0.67,30,7,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,0.0206155281280884,0.0460977222864654,0.0504975246918113,0,16758,131461,7353,9405,7.84467120181406,1,0,0,1,204144.799423352,1.29522106897832,10,0.94,0.0405874247344483,0.0417856531114643,0.059930781458074,0.7,0,17512.9,7.51983722049265,1,0,1
