trial_index,rng_seed,scenario_name,SNR_dB,az_sep_deg,beta,rho,phase_deg,az_truth,el_truth,route_name,status,confidence,az_est,el_est,success,false_high,boundary_missed,reject_reason,light_route_name,light_status,light_confidence,music_peak_count,music_peak_sep_deg,music_peak2_ratio,music_reliable_flag,common_el_proxy_flag,common_el_proxy_failure_reason,refocus_score,refocus_score_gap,refocus_best_az_pair,refocus_truth_az_error,refocus_candidate_correct_but_rejected,truth_pair_in_refocus_top1,truth_pair_in_refocus_top3,truth_pair_in_refocus_top5,rank1_score,rank1_score_gap,rank1_residual,rank1_best_az_pair,rank1_truth_az_error,rank1_route_reliable,rank1_candidate_correct_but_rejected,truth_pair_in_rank1_top1,truth_pair_in_rank1_top3,truth_pair_in_rank1_top5,low_cost_boundary_flag,boundary_unreliable_flag,final_step87_route,final_confidence_flag,final_failure_reason,rank1_failure_reason,runtime_sec
23,909724,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,0,471254545.650821,[-0.1 0.1],0.0250000000000057,1,1,1,1,0,471254545.650821,0,[-0.1 0.1],0.0250000000000057,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1842776
24,909725,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],boundary_unreliable,rejected,low,[],[],0,0,0,boundary_unreliable,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,1.67142471005683e-07,0.340488597215676,[-0.12 0.12],0.0449999999999875,1,1,1,1,1.67142471005683e-07,0.340488597215676,1.67142471005683e-07,[-0.12 0.12],0.0449999999999875,1,1,1,1,1,1,1,boundary_unreliable,low,boundary_unreliable,ok,0.1850575
25,909726,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,0,517629643.109434,[-0.1 0.1],0.0250000000000057,1,1,1,1,0,517629643.109434,0,[-0.1 0.1],0.0250000000000057,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1893866
26,909727,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,3.98410832328263e-07,0.0363579709701917,[-0.12 0.12],0.0449999999999875,1,1,1,1,3.98410832328263e-07,0.0363579709701917,3.98410832328263e-07,[-0.12 0.12],0.0449999999999875,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1862135
27,909728,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,5.12663199527924e-07,0.510784231368091,[-0.08 0.08],0.00499999999999545,1,1,1,1,5.12663199527924e-07,0.510784231368091,5.12663199527924e-07,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1920224
28,909729,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,1.65382879161169e-07,1.31826463937792,[-0.08 0.08],0.00499999999999545,1,1,1,1,1.65382879161169e-07,1.31826463937792,1.65382879161169e-07,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1833957
29,909730,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],boundary_unreliable,rejected,low,[],[],0,0,0,boundary_unreliable,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,5.5162926682704e-07,0.502844182525406,[-0.16 0.16],0.085000000000008,1,0,1,1,5.5162926682704e-07,0.502844182525406,5.5162926682704e-07,[-0.16 0.16],0.085000000000008,1,1,0,1,1,1,1,boundary_unreliable,low,boundary_unreliable,ok,0.191993
30,909731,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,1.25058450490758e-07,1.26923992821514,[-0.08 0.08],0.00499999999999545,1,1,1,1,1.25058450490758e-07,1.26923992821514,1.25058450490758e-07,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.188133
31,909732,close_coherent_pair,8,0.15,1,1,60,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,2.95517927105217e-07,1.16775108673413,[-0.08 0.08],0.00499999999999545,1,1,1,1,2.95517927105217e-07,1.16775108673413,2.95517927105217e-07,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1913061
32,909733,close_coherent_pair,8,0.15,1,1,60,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,3.51563623175347e-07,0.857077205636733,[-0.08 0.08],0.00499999999999545,1,1,1,1,3.51563623175347e-07,0.857077205636733,3.51563623175347e-07,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.2162031
33,909734,close_coherent_pair,8,0.15,1,1,60,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,6.84298677843062e-07,0.356460743755284,[-0.08 0.08],0.00499999999999545,1,1,1,1,6.84298677843062e-07,0.356460743755284,6.84298677843062e-07,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1903167
34,909735,close_coherent_pair,8,0.15,1,1,60,[-0.075 0.075],[0 0],boundary_unreliable,rejected,low,[],[],0,0,0,boundary_unreliable,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,2.82196702884708e-06,0.00506626095944239,[-0.08 0.08],0.00499999999999545,1,1,1,1,2.82196702884708e-06,0.00506626095944239,2.82196702884708e-06,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,1,1,boundary_unreliable,low,boundary_unreliable,ok,0.1868857
35,909736,close_coherent_pair,8,0.15,1,1,60,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,5.2488914540837e-07,0.502322195397409,[-0.08 0.08],0.00499999999999545,1,1,1,1,5.2488914540837e-07,0.502322195397409,5.2488914540837e-07,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1888494
36,909737,close_coherent_pair,8,0.15,1,1,60,[-0.075 0.075],[0 0],boundary_unreliable,rejected,low,[],[],0,0,0,boundary_unreliable,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,1.15147760007845e-07,0.0998183596651412,[-0.12 0.12],0.0449999999999875,1,1,1,1,1.15147760007845e-07,0.0998183596651412,1.15147760007845e-07,[-0.12 0.12],0.0449999999999875,1,1,1,1,1,1,1,boundary_unreliable,low,boundary_unreliable,ok,0.1935046
37,909738,close_coherent_pair,8,0.15,1,1,60,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,9.88674454465513e-07,0.132098101717279,[-0.08 0.08],0.00499999999999545,1,1,1,1,9.88674454465513e-07,0.132098101717279,9.88674454465513e-07,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1870477
38,909739,close_coherent_pair,8,0.15,1,1,60,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,6.14948460582983e-08,0.93159831817962,[-0.1 0.1],0.0250000000000057,1,1,1,1,6.14948460582983e-08,0.93159831817962,6.14948460582983e-08,[-0.1 0.1],0.0250000000000057,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1861449
39,909740,close_coherent_pair,8,0.15,1,1,60,[-0.075 0.075],[0 0],boundary_unreliable,rejected,low,[],[],0,0,0,boundary_unreliable,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,1.88333148062476e-07,0.139737166979448,[-0.08 0.08],0.00499999999999545,1,1,1,1,1.88333148062476e-07,0.139737166979448,1.88333148062476e-07,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,1,1,boundary_unreliable,low,boundary_unreliable,ok,0.1900908
40,909741,close_coherent_pair,8,0.15,1,1,60,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,6.95748263568695e-07,0.44253094377986,[-0.12 0.12],0.0449999999999875,1,1,1,1,6.95748263568695e-07,0.44253094377986,6.95748263568695e-07,[-0.12 0.12],0.0449999999999875,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1884765
41,909742,close_coherent_pair,8,0.15,1,1,60,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,2.9594676469447e-07,1.02307217168362,[-0.08 0.08],0.00499999999999545,1,1,1,1,2.9594676469447e-07,1.02307217168362,2.9594676469447e-07,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.233013
42,909743,close_coherent_pair,8,0.15,1,1,60,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,0,294781741.196122,[-0.08 0.08],0.00499999999999545,1,1,1,1,0,294781741.196122,0,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.2091227
43,909744,close_coherent_pair,8,0.15,1,1,60,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,3.55729507410124e-07,0.223384611594509,[-0.08 0.08],0.00499999999999545,1,1,1,1,3.55729507410124e-07,0.223384611594509,3.55729507410124e-07,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.2151956
44,909745,close_coherent_pair,8,0.15,1,1,60,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,1.939489643362e-07,1.4577857895387,[-0.08 0.08],0.00499999999999545,1,1,1,1,1.939489643362e-07,1.4577857895387,1.939489643362e-07,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.2131828
