sweep_phase,config_name,coarse_config_name,refine_config_name,topK,coarse_az_step,coarse_el_step,fine_az_step,fine_el_step,local_az_half_width,local_el_center_half_width,coarse_el_sep_list_text,fine_el_sep_list_text,full_fine_success,coarse_to_fine_success,full_fine_rmse,coarse_to_fine_rmse,full_fine_worst_case_success,coarse_to_fine_worst_case_success,full_fine_mean_num_pairs,coarse_to_fine_mean_num_pairs,coarse_mean_num_pairs,refine_mean_num_pairs,complexity_reduction_ratio,topK_miss_rate,boundary_hit_rate,el_sep_match_rate_vs_full,full_grid_match_rate,screening_score,screening_pass,final_pass,selected_for_confirmation
screening,coarse_016_024_minsep__topK10__refine_mid_finer,coarse_016_024_minsep,refine_mid_finer,10,0.16,0.24,0.04,0.06,0.24,0.36,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,47266.5333333333,7353,39913.5333333333,2.78127018693988,0.4,0,0.6,0,0.644424318052088,0,0,0
screening,coarse_016_024_minsep__topK10__refine_safe_compact,coarse_016_024_minsep,refine_safe_compact,10,0.16,0.24,0.08,0.12,0.32,0.48,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,17637,7353,10284,7.45370527867551,0.4,0,0.6,0.6,0.687237221664758,0,0,0
screening,coarse_016_024_minsep__topK10__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,10,0.16,0.24,0.08,0.12,0.32,0.48,"[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0773108977289522,1,1,131461,23408.6,7353,16055.6,5.61592747964423,0,0,1,1,1.07494214909676,1,0,0
screening,coarse_016_024_minsep__topK10__refine_small_compact,coarse_016_024_minsep,refine_small_compact,10,0.16,0.24,0.08,0.12,0.16,0.24,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,10119.3333333333,7353,2766.33333333333,12.9910731932275,0.4,0,0.6,0.6,0.71136450296446,0,0,0
screening,coarse_016_024_minsep__topK10__refine_stage1_safe,coarse_016_024_minsep,refine_stage1_safe,10,0.16,0.24,0.04,0.06,0.32,0.48,"[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,120862.333333333,7353,113509.333333333,1.08769205735451,0,0,0.6,0,1.0036505957199,0,0,0
screening,coarse_016_024_minsep__topK3__refine_mid_compact,coarse_016_024_minsep,refine_mid_compact,3,0.16,0.24,0.08,0.12,0.24,0.36,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,11328.5333333333,7353,3975.53333333333,11.6044148109788,0.4,0,0.6,0.6,0.706462324468244,0,0,0
screening,coarse_016_024_minsep__topK3__refine_mid_finer,coarse_016_024_minsep,refine_mid_finer,3,0.16,0.24,0.04,0.06,0.24,0.36,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,33530.6666666667,7353,26177.6666666667,3.92061993001432,0.4,0,0.6,0,0.659335474326987,0,0,0
screening,coarse_016_024_minsep__topK3__refine_safe_compact,coarse_016_024_minsep,refine_safe_compact,3,0.16,0.24,0.08,0.12,0.32,0.48,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,14955.6,7353,7602.6,8.79008531921153,0.4,0,0.6,0.6,0.694399309048708,0,0,0
screening,coarse_016_024_minsep__topK3__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,3,0.16,0.24,0.08,0.12,0.32,0.48,"[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0773108977289522,1,1,131461,19244.4,7353,11891.4,6.83113009498867,0,0,1,1,1.0834492556305,1,0,1
screening,coarse_016_024_minsep__topK3__refine_small_compact,coarse_016_024_minsep,refine_small_compact,3,0.16,0.24,0.08,0.12,0.16,0.24,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,8993.33333333333,7353,1640.33333333333,14.6176056338028,0.4,0,0.6,0.6,0.71648762409401,0,0,0
screening,coarse_016_024_minsep__topK3__refine_stage1_safe,coarse_016_024_minsep,refine_stage1_safe,3,0.16,0.24,0.04,0.06,0.32,0.48,"[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,89529.8666666667,7353,82176.8666666667,1.46834799262518,0,0,0.6,0,1.01668289938407,0,0,0
screening,coarse_016_024_minsep__topK5__refine_mid_compact,coarse_016_024_minsep,refine_mid_compact,5,0.16,0.24,0.08,0.12,0.24,0.36,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,12333.7333333333,7353,4980.73333333333,10.6586543139141,0.4,0,0.6,0.6,0.702770237721095,0,0,0
