trial_global_id,trial_id,seed,method_name,method_type,B,beam_count,scenario_name,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,source_corr_empirical,az_hat_1,az_hat_2,el_hat_1,el_hat_2,az_true_1,az_true_2,el_true_1,el_true_2,raw_success,az_tol_success,el_pair_tol_success,joint_pair_tol_success,az_rmse_deg,el_rmse_deg,az_center_error_deg,az_sep_error_deg,el_center_error_deg,el_sep_error_deg,abs_el_sep_error_deg,estimated_el_sep_deg,true_el_sep_deg,false_el_split,boundary_hit,projection_loss,mean_corr,max_corr,cond_WHW,cond_best_GHG,max_score,num_pairs,tie_count,truth_manifold_corr,N_elem,L,phase_factor,phase_sign,az_bound_min,az_bound_max,el_bound_min,el_bound_max
749,29,20765652,greedy_combined_B25,greedy_combined,25,25,low_snr_hard,1,150,0.3,0.83,0.37,20,1,7.54,8.5,10.12,10.6,7.585,8.415,10.125,10.495,1,1,1,1,0.0680073525436777,0.0743303437365916,0.0199999999999996,0.130000000000001,0.0499999999999989,0.109999999999999,0.109999999999999,0.48,0.370000000000001,0,0,0.214896060872821,0.23437193895026,0.253290059817721,4096.252116804,1.3749693811225,114460.500681513,65379,1,0.308597504854796,2080,64,2,1,6.5,9.5,8.8,11.2
750,30,20765653,greedy_combined_B25,greedy_combined,25,25,low_snr_hard,1,150,0.3,0.83,0.37,20,1,7.54,8.5,10.12,10.6,7.585,8.415,10.125,10.495,1,1,1,1,0.0680073525436777,0.0743303437365916,0.0199999999999996,0.130000000000001,0.0499999999999989,0.109999999999999,0.109999999999999,0.48,0.370000000000001,0,0,0.214896060872821,0.23437193895026,0.253290059817721,4096.252116804,1.3749693811225,114501.626663295,65379,1,0.308597504854796,2080,64,2,1,6.5,9.5,8.8,11.2
751,1,20861624,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.0633658906679392,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,203102.566444433,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
752,2,20861625,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.0434359735701906,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,203083.793235445,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
753,3,20861626,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.0591602446730763,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,205388.856381107,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
754,4,20861627,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.0528731987570612,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,204351.176554274,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
755,5,20861628,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.0484487729482527,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,202995.535195445,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
756,6,20861629,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.203417725408831,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,211182.559440672,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
757,7,20861630,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.257511200889778,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,195084.641057478,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
758,8,20861631,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.129746962412994,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,202979.919880136,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
