route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_theta_search_adapt_deg,mean_routeB_beam_span_adapt_deg
fft_guided_centerT,9,0.311111,12.844444,13.155556,16,11,10,0.055000,0.050000,0.053631,11,0.945000,22.000000,-0.357392,13.224978,2.134858,0.661328,1.986282,2.979422
fft_guided_centerT,9,0.311111,12.844444,13.155556,18,80,78,0.400000,0.390000,0.054553,80,1.375000,22.000000,-0.229767,4.168507,1.977797,0.265928,1.990305,2.985458
fft_guided_centerT,9,0.311111,12.844444,13.155556,20,164,164,0.820000,0.820000,0.043073,164,1.820000,22.000000,0.003395,0.184517,1.965681,0.140217,1.990902,2.986354
fft_guided_centerT,9,0.311111,12.844444,13.155556,22,197,197,0.985000,0.985000,0.030423,197,1.985000,22.000000,-0.010713,0.149882,1.944860,0.116863,1.991111,2.986667
fft_guided_centerT,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.023814,200,2.000000,22.000000,-0.000383,0.109567,1.950221,0.090753,1.991111,2.986667
fft_guided_centerT,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.018151,200,2.000000,22.000000,0.001644,0.086394,1.937049,0.066387,1.991111,2.986667
fft_guided_centerT,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.013848,200,2.000000,22.000000,-0.002264,0.068265,1.936411,0.055138,1.991111,2.986667
fft_guided_centerT,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,0.755000,24.000000,-5.506668,21.273561,2.194153,0.640647,1.789192,2.683788
fft_guided_centerT,10,0.280000,12.860000,13.140000,16,1,1,0.005000,0.005000,0.044291,1,0.905000,24.000000,-1.292545,10.645811,2.059819,0.540109,1.792000,2.688000
fft_guided_centerT,10,0.280000,12.860000,13.140000,18,13,11,0.065000,0.055000,0.074417,13,1.040000,24.000000,0.307738,4.680274,2.025902,0.459536,1.792000,2.688000
fft_guided_centerT,10,0.280000,12.860000,13.140000,20,59,57,0.295000,0.285000,0.047093,59,1.290000,24.000000,-0.003566,0.179377,1.960498,0.146912,1.792000,2.688000
fft_guided_centerT,10,0.280000,12.860000,13.140000,22,144,144,0.720000,0.720000,0.040855,144,1.720000,24.000000,-0.006312,0.130945,1.951327,0.102199,1.792000,2.688000
fft_guided_centerT,10,0.280000,12.860000,13.140000,24,191,191,0.955000,0.955000,0.030540,191,1.955000,24.000000,-0.007341,0.108913,1.947206,0.082952,1.792000,2.688000
fft_guided_centerT,10,0.280000,12.860000,13.140000,26,199,199,0.995000,0.995000,0.022665,199,1.995000,24.000000,0.005547,0.084904,1.934771,0.062397,1.792000,2.688000
fft_guided_centerT,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.017986,200,2.000000,24.000000,0.002658,0.071765,1.931784,0.052353,1.792000,2.688000
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,14,138,136,0.690000,0.680000,3.812628,138,1.630000,16.000000,-3.711231,20.826249,2.227827,0.601786,2.503737,3.755605
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,16,187,186,0.935000,0.930000,3.200039,187,1.920000,16.000000,-0.758354,9.690754,2.069671,0.367349,2.432690,3.649035
