trial_index,scenario_name,SNR_dB,backend_light_status,backend_ref_status,backend_light_route,backend_ref_route,backend_light_confidence,backend_ref_confidence,backend_light_az_est,backend_ref_az_est,backend_light_el_est,backend_ref_el_est,backend_light_success,backend_ref_success,backend_light_false_high,backend_ref_false_high,backend_light_boundary_missed,backend_ref_boundary_missed,backend_light_reject_reason,backend_ref_reject_reason,backend_ref_blocker_if_any,runtime_light_sec,runtime_ref_sec
47,near_antiphase_boundary,8,rejected,rejected,boundary_unreliable,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,boundary evidence has higher priority than success,frontend_boundary_unreliable,none,0.0124435,0.0012949
48,near_antiphase_boundary,8,rejected,rejected,boundary_unreliable,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,boundary evidence has higher priority than success,frontend_boundary_unreliable,none,0.01269,0.0012817
49,near_antiphase_boundary,8,rejected,rejected,boundary_unreliable,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,boundary evidence has higher priority than success,frontend_boundary_unreliable,none,0.013337,0.0014966
50,near_antiphase_boundary,8,rejected,rejected,boundary_unreliable,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,boundary evidence has higher priority than success,frontend_boundary_unreliable,none,0.0135757,0.0014419
51,large_el_pair,8,success,success,local_2d_pair_refinement,local_2d_pair_refinement,medium,medium,[-0.3 0.26],[-0.22 0.22],[0 5],[-0.5 5],1,1,0,0,0,0,,ok,none,0.2883069,0.3343495
52,large_el_pair,8,success,success,local_2d_pair_refinement,local_2d_pair_refinement,medium,medium,[-0.26 0.26],[-0.26 0.22],[0 5],[0 4.5],1,1,0,0,0,0,,ok,none,0.2696119,0.2971491
53,large_el_pair,8,success,success,local_2d_pair_refinement,local_2d_pair_refinement,medium,medium,[-0.3 0.3],[-0.3 0.22],[0 5],[0 4.5],1,1,0,0,0,0,,ok,none,0.2588627,0.2876409
54,large_el_pair,8,success,success,local_2d_pair_refinement,local_2d_pair_refinement,medium,medium,[-0.3 0.3],[-0.3 0.3],[0 5],[0 4.5],1,1,0,0,0,0,,ok,none,0.2523589,0.2949559
55,large_el_pair,8,success,success,local_2d_pair_refinement,local_2d_pair_refinement,medium,medium,[-0.26 0.3],[-0.3 0.22],[0 5],[0 4.5],1,1,0,0,0,0,,ok,none,0.2603325,0.308191
56,large_el_pair,8,success,success,local_2d_pair_refinement,local_2d_pair_refinement,medium,medium,[-0.26 0.26],[-0.3 0.22],[0 5],[-0.5 5],1,1,0,0,0,0,,ok,none,0.2544557,0.2856127
57,large_el_pair,8,success,success,local_2d_pair_refinement,local_2d_pair_refinement,medium,medium,[-0.3 0.26],[-0.22 0.22],[0 5],[-0.5 5],1,1,0,0,0,0,,ok,none,0.2645064,0.2969873
58,large_el_pair,8,success,success,local_2d_pair_refinement,local_2d_pair_refinement,medium,medium,[-0.26 0.3],[-0.3 0.3],[0 5],[0 5],1,1,0,0,0,0,,ok,none,0.2469894,0.284464
59,large_el_pair,8,success,success,local_2d_pair_refinement,local_2d_pair_refinement,medium,medium,[-0.26 0.26],[-0.26 0.22],[0 5],[-0.5 5],1,1,0,0,0,0,,ok,none,0.2544274,0.2909075
60,large_el_pair,8,success,success,local_2d_pair_refinement,local_2d_pair_refinement,medium,medium,[-0.26 0.26],[-0.3 0.3],[0 5],[-0.5 5],1,1,0,0,0,0,,ok,none,0.2542997,0.2835111
61,two_separated_coarse_peaks,8,rejected,rejected,frontend_reject,frontend_reject,low,low,[],[],[],[],1,1,0,0,0,0,front-end resolved two separated coarse peaks; route is out of current scope,front-end resolved two separated coarse peaks; route is out of current scope,none,0.0007204,0.0002356
62,two_separated_coarse_peaks,8,rejected,rejected,frontend_reject,frontend_reject,low,low,[],[],[],[],1,1,0,0,0,0,front-end resolved two separated coarse peaks; route is out of current scope,front-end resolved two separated coarse peaks; route is out of current scope,none,0.0004144,0.0001444
63,two_separated_coarse_peaks,8,rejected,rejected,frontend_reject,frontend_reject,low,low,[],[],[],[],1,1,0,0,0,0,front-end resolved two separated coarse peaks; route is out of current scope,front-end resolved two separated coarse peaks; route is out of current scope,none,0.0017471,8.58e-05
64,two_separated_coarse_peaks,8,rejected,rejected,frontend_reject,frontend_reject,low,low,[],[],[],[],1,1,0,0,0,0,front-end resolved two separated coarse peaks; route is out of current scope,front-end resolved two separated coarse peaks; route is out of current scope,none,0.0001656,4.46e-05
65,two_separated_coarse_peaks,8,rejected,rejected,frontend_reject,frontend_reject,low,low,[],[],[],[],1,1,0,0,0,0,front-end resolved two separated coarse peaks; route is out of current scope,front-end resolved two separated coarse peaks; route is out of current scope,none,0.0001608,4e-05
66,two_separated_coarse_peaks,8,rejected,rejected,frontend_reject,frontend_reject,low,low,[],[],[],[],1,1,0,0,0,0,front-end resolved two separated coarse peaks; route is out of current scope,front-end resolved two separated coarse peaks; route is out of current scope,none,0.0002021,7.04e-05
67,two_separated_coarse_peaks,8,rejected,rejected,frontend_reject,frontend_reject,low,low,[],[],[],[],1,1,0,0,0,0,front-end resolved two separated coarse peaks; route is out of current scope,front-end resolved two separated coarse peaks; route is out of current scope,none,0.0002458,7.23e-05
68,two_separated_coarse_peaks,8,rejected,rejected,frontend_reject,frontend_reject,low,low,[],[],[],[],1,1,0,0,0,0,front-end resolved two separated coarse peaks; route is out of current scope,front-end resolved two separated coarse peaks; route is out of current scope,none,0.0002143,6.59e-05
69,two_separated_coarse_peaks,8,rejected,rejected,frontend_reject,frontend_reject,low,low,[],[],[],[],1,1,0,0,0,0,front-end resolved two separated coarse peaks; route is out of current scope,front-end resolved two separated coarse peaks; route is out of current scope,none,0.0001613,4.06e-05
70,two_separated_coarse_peaks,8,rejected,rejected,frontend_reject,frontend_reject,low,low,[],[],[],[],1,1,0,0,0,0,front-end resolved two separated coarse peaks; route is out of current scope,front-end resolved two separated coarse peaks; route is out of current scope,none,0.0001628,4.51e-05
71,center_wraparound_case,8,rejected,rejected,low_confidence,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,boundary_unreliable,none,0.0134992,0.2507034
72,center_wraparound_case,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0135767,0.2499093
73,center_wraparound_case,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0126137,0.2501468
74,center_wraparound_case,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0124842,0.2489102
75,center_wraparound_case,8,rejected,rejected,low_confidence,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,boundary_unreliable,none,0.0116727,0.2478966
76,center_wraparound_case,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0133375,0.2561851
77,center_wraparound_case,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.013082,0.2492373
78,center_wraparound_case,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0128054,0.2490211
79,center_wraparound_case,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0127375,0.2474519
80,center_wraparound_case,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.01192,0.2467055
