trial_id,scenario_name,snr_db,mc,target_source,double_route,quant_route,double_confidence,quant_confidence,route_flip_type,first_divergent_stage,first_divergent_metric,double_metric_value,quant_metric_value,threshold_value,double_distance_to_threshold,quant_distance_to_threshold,threshold_crossed_flag,near_threshold_double_flag,near_threshold_quant_flag,metric_scale_ratio,az_est_diff_vs_double,el_est_diff_vs_double,output_equivalent,boundary_score_if_any,rank1_score_gap_ratio,rank1_residual_norm,refocus_power_sharpness,stage_refocus_margin_rel,refocus_rank1_score_gap_ratio,refocus_rank1_residual_norm,refocus_rank1_pair_sep_est,refocus_common_el_sharpness
997,weak_target_boundary,16,7,step89c_worst80,common_el_refocus_power_rank1,common_el_refocus_power_rank1,medium,medium,common_el_refocus_power_rank1->common_el_refocus_power_rank1,output_only,az_est_diff_vs_double,0,0.0799999999999998,0.05,1,0.599999999999997,1,0,0,NaN,0.0799999999999998,0,0,0.0107322339989823,NaN,NaN,0.0791414212800814,0.0791414212800814,0.0606811208693306,6.93993941911065e-07,0.32,0.0790289227488471
128,close_coherent_pair,8,8,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0600000000000001,0.05,1,0.200000000000001,1,0,0,NaN,0.0600000000000001,0,0,0.0128087483087534,2.07451717847155,1.2318765904527e-07,0.0789753001352997,0.0789753001352997,2.07451717847155,1.2318765904527e-07,0.2,0.0789753001352997
258,close_coherent_pair,8,18,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0600000000000001,0.05,1,0.200000000000001,1,0,0,NaN,0.0600000000000001,0,0,0.0144506315293053,0.0406698113559481,4.65198381361497e-07,0.0788439494776556,0.0788439494776556,0.0406698113559481,4.65198381361497e-07,0.42,0.0788439494776556
339,close_coherent_pair,16,9,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0600000000000001,0.05,1,0.200000000000001,1,0,0,NaN,0.0600000000000001,0,0,0.00634041912347515,0.249705925469498,1.74674873926612e-07,0.079492766470122,0.079492766470122,0.249705925469498,1.74674873926612e-07,0.4,0.079492766470122
601,medium_beta_pair,8,1,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0600000000000001,0.05,1,0.200000000000001,1,0,0,NaN,0.0600000000000001,0,0,0.0135148262927324,0.110789403318013,1.57486694678745e-06,0.0789188138965814,0.0789188138965814,0.110789403318013,1.57486694678745e-06,0.58,0.0788121832364638
635,medium_beta_pair,16,5,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0600000000000001,0.05,1,0.200000000000001,1,0,0,NaN,0.0600000000000001,0,0,0.010037686981711,0.139800456869761,2.19681588035698e-06,0.0791969850414631,0.0791969850414631,0.139800456869761,2.19681588035698e-06,0.62,0.0791969850414631
649,medium_beta_pair,16,19,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0600000000000001,0.05,1,0.200000000000001,1,0,0,NaN,0.0600000000000001,0,0,0.00822704282679842,0.102525685869909,1.49644996771993e-06,0.0793418365738561,0.0793418365738561,0.102525685869909,1.49644996771993e-06,0.58,0.0793418365738561
964,weak_target_boundary,8,4,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0600000000000001,0.05,1,0.200000000000001,1,0,0,NaN,0.0600000000000001,0,0,0.0124907658636025,0.0211406217629227,1.56482524349082e-06,0.0790007387309118,0.0790007387309118,0.0211406217629227,1.56482524349082e-06,0.28,0.0790007387309118
1002,weak_target_boundary,16,12,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0600000000000001,0.05,1,0.200000000000001,1,0,0,NaN,0.0600000000000001,0,0,0.00902877604813078,0.703260837809538,2.7098071567942e-07,0.0792776979161495,0.0792776979161495,0.703260837809538,2.7098071567942e-07,0.4,0.0792776979161495
11,single_target_sanity,8,11,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0599999999999998,0.05,1,0.199999999999997,1,0,0,NaN,0.0599999999999998,0,0,0.0129855954629169,0.0430135289862432,8.79299237214712e-07,0.0789611523629666,0.0789611523629666,0.0430135289862432,8.79299237214712e-07,0.12,0.0789611523629666
