route_name,manifold_type,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,degraded_sample_count,num_peaks_found,lambda2_over_noise
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,4,1.000000,0.090000,1.000000,0.152391,12.000000,2.000000,-0.011674,0.096199,0,2.000000,1.821570
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,6,1.000000,0.375000,1.000000,0.101598,12.000000,2.000000,-0.010884,0.064749,0,2.000000,2.358787
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,8,1.000000,0.620000,1.000000,0.075036,12.000000,2.000000,-0.016223,0.057509,0,2.000000,3.232692
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,10,1.000000,0.895000,1.000000,0.052939,12.000000,2.000000,-0.014333,0.049083,0,2.000000,4.595423
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,12,1.000000,0.985000,1.000000,0.045148,12.000000,2.000000,-0.016740,0.046217,0,2.000000,6.802734
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,14,1.000000,1.000000,1.000000,0.038444,12.000000,2.000000,-0.015901,0.043344,0,2.000000,10.229503
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,16,1.000000,1.000000,1.000000,0.033775,12.000000,2.000000,-0.013158,0.039252,0,2.000000,15.662417
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,18,1.000000,1.000000,1.000000,0.031617,12.000000,2.000000,-0.014141,0.039306,0,2.000000,24.350190
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,20,1.000000,1.000000,1.000000,0.029776,12.000000,2.000000,-0.013955,0.038573,0,2.000000,38.153700
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,22,1.000000,1.000000,1.000000,0.029023,12.000000,2.000000,-0.013929,0.038139,0,2.000000,59.733380
