stress_group,case_name,stress_value,beta,el_a_deg,el_b_deg,el_assumed_deg,phase_offset_deg,rho,route_name,K_phi,P_phi,sep_factor,theta_sep_deg,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_pair_sep_error,mean_pair_center_error,snr90_abs01,snr90_abs01_label,snr90_rel025,snr90_rel025_label,failure_rate,model_mismatch_flag
elevation_difference,elB_0p5,0.5,1,0,0.5,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,0,1,1,0.98,0.0255645878,0.03952754449,0.001725,-4,<= -4 dB,-4,<= -4 dB,0,true
elevation_difference,elB_0p5,0.5,1,0,0.5,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,4,1,1,0.99,0.021005521,0.0325265267,0.0017,-4,<= -4 dB,-4,<= -4 dB,0,true
elevation_difference,elB_0p5,0.5,1,0,0.5,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,8,1,1,1,0.01645005678,0.0262510178,0.0012,-4,<= -4 dB,-4,<= -4 dB,0,true
elevation_difference,elB_1,1,1,0,1,0,0,1,center_real,28,38,10,0.2637754449,-4,0.02,0,0,0.967541864,1.216224555,0.7477544493,8,8 dB,8,8 dB,1,true
elevation_difference,elB_1,1,1,0,1,0,0,1,center_real,28,38,10,0.2637754449,0,0,0,0,NaN,NaN,NaN,8,8 dB,8,8 dB,1,true
elevation_difference,elB_1,1,1,0,1,0,0,1,center_real,28,38,10,0.2637754449,4,0.49,0.42,0.25,0.06527750285,0.05703451964,0.04324297401,8,8 dB,8,8 dB,0.58,true
elevation_difference,elB_1,1,1,0,1,0,0,1,center_real,28,38,10,0.2637754449,8,0.99,0.99,0.96,0.03327992469,0.02862084555,0.0245310586,8,8 dB,8,8 dB,0.01,true
elevation_difference,elB_1,1,1,0,1,0,0,1,min_den_fb,28,38,10,0.2637754449,-4,0.02,0,0,0.967541864,1.216224555,0.7477544493,8,8 dB,8,8 dB,1,true
elevation_difference,elB_1,1,1,0,1,0,0,1,min_den_fb,28,38,10,0.2637754449,0,0,0,0,NaN,NaN,NaN,8,8 dB,8,8 dB,1,true
elevation_difference,elB_1,1,1,0,1,0,0,1,min_den_fb,28,38,10,0.2637754449,4,0.49,0.42,0.25,0.06545057861,0.05703451964,0.04334501483,8,8 dB,8,8 dB,0.58,true
elevation_difference,elB_1,1,1,0,1,0,0,1,min_den_fb,28,38,10,0.2637754449,8,0.99,0.99,0.96,0.0332900657,0.0285703405,0.02455631112,8,8 dB,8,8 dB,0.01,true
elevation_difference,elB_1,1,1,0,1,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,-4,1,0.99,0.83,0.03976830114,0.06317245551,0.014275,-4,<= -4 dB,0,0 dB,0.01,true
elevation_difference,elB_1,1,1,0,1,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,0,1,1,0.98,0.02865759371,0.04029796441,0.01425,-4,<= -4 dB,0,0 dB,0,true
elevation_difference,elB_1,1,1,0,1,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,4,1,1,0.99,0.02406883476,0.02979491101,0.014525,-4,<= -4 dB,0,0 dB,0,true
elevation_difference,elB_1,1,1,0,1,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,8,1,1,0.97,0.02669599995,0.03693880423,0.0147,-4,<= -4 dB,0,0 dB,0,true
elevation_difference,elB_2,2,1,0,2,0,0,1,center_real,28,38,10,0.2637754449,-4,0.03,0,0,0.2557266003,0.3478912217,0.1797455507,4,4 dB,8,8 dB,1,true
elevation_difference,elB_2,2,1,0,2,0,0,1,center_real,28,38,10,0.2637754449,0,0.33,0.19,0.16,0.07774245728,0.08093694594,0.04750771059,4,4 dB,8,8 dB,0.81,true
elevation_difference,elB_2,2,1,0,2,0,0,1,center_real,28,38,10,0.2637754449,4,0.98,0.91,0.76,0.04656423909,0.05082470035,0.0289710222,4,4 dB,8,8 dB,0.09,true
elevation_difference,elB_2,2,1,0,2,0,0,1,center_real,28,38,10,0.2637754449,8,1,1,0.99,0.03352612592,0.05472455507,0.01333231365,4,4 dB,8,8 dB,0,true
elevation_difference,elB_2,2,1,0,2,0,0,1,min_den_fb,28,38,10,0.2637754449,-4,0.03,0,0,0.2557266003,0.3478912217,0.1797455507,4,4 dB,8,8 dB,1,true
elevation_difference,elB_2,2,1,0,2,0,0,1,min_den_fb,28,38,10,0.2637754449,0,0.33,0.19,0.16,0.07779444409,0.08078543078,0.04758346816,4,4 dB,8,8 dB,0.81,true
elevation_difference,elB_2,2,1,0,2,0,0,1,min_den_fb,28,38,10,0.2637754449,4,0.98,0.91,0.76,0.04659531013,0.05082470035,0.0289710222,4,4 dB,8,8 dB,0.09,true
elevation_difference,elB_2,2,1,0,2,0,0,1,min_den_fb,28,38,10,0.2637754449,8,1,1,0.99,0.03359324528,0.05487455507,0.01335731365,4,4 dB,8,8 dB,0,true
elevation_difference,elB_2,2,1,0,2,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,-4,1,0,0,0.1239882847,0.08661940211,0.112425,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_2,2,1,0,2,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,0,1,0,0,0.1177508946,0.05716838432,0.112475,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_2,2,1,0,2,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,4,1,0,0,0.1159615212,0.04616634872,0.112525,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_2,2,1,0,2,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,8,1,0,0,0.1151079489,0.03953676863,0.11245,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_5,5,1,0,5,0,0,1,center_real,28,38,10,0.2637754449,-4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_5,5,1,0,5,0,0,1,center_real,28,38,10,0.2637754449,0,0.01,0,0,1.565067299,1.966224555,1.217754449,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_5,5,1,0,5,0,0,1,center_real,28,38,10,0.2637754449,4,0.03,0,0,0.5659635965,0.5612245551,0.4167514831,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_5,5,1,0,5,0,0,1,center_real,28,38,10,0.2637754449,8,0.49,0.01,0,0.1966499918,0.07812373442,0.1806012065,NaN,NaN,NaN,NaN,0.99,true
elevation_difference,elB_5,5,1,0,5,0,0,1,min_den_fb,28,38,10,0.2637754449,-4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_5,5,1,0,5,0,0,1,min_den_fb,28,38,10,0.2637754449,0,0.01,0,0,1.565067299,1.966224555,1.217754449,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_5,5,1,0,5,0,0,1,min_den_fb,28,38,10,0.2637754449,4,0.03,0,0,0.5671819847,0.5628912217,0.4175848164,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_5,5,1,0,5,0,0,1,min_den_fb,28,38,10,0.2637754449,8,0.5,0.01,0,0.1959457547,0.07858575084,0.1797942714,NaN,NaN,NaN,NaN,0.99,true
