candidate_index,vector_slot,beam_index,real_value,imag_value
6415,1,3,-1.76835146096648,8.13805457447137
6415,1,4,4.16856221971211,-0.705422223129268
6415,1,5,0.409708359002307,1.47004390263682
6415,1,6,7.63904229140752,-5.22974683853333
6415,1,7,-1.02452880751574,0.999097768080325
6415,2,1,1.0581741296626,5.66832322349061
6415,2,2,20.1673372718427,30.4483814123212
6415,2,3,0.3431808881509,-0.107504817613332
6415,2,4,2.32207552496306,1.78402752480025
6415,2,5,1.87872957725152,-1.75973258540737
6415,2,6,-4.50723085809473,-2.24937098097658
6415,2,7,5.86633023165409,1.50462901695161
4704,1,1,33.5144675173252,-6.41836122070091
4704,1,2,-5.12711633220792,5.60661401722525
4704,1,3,8.59583811183235,14.874487134707
4704,1,4,-1.01089015684791,1.67343519691398
4704,1,5,1.05097183875232,0.584847718268674
4704,1,6,1.6852175441238,-4.68289888937135
4704,1,7,0.70246355069686,-2.78831486535617
4704,2,1,9.77606676306173,11.0775762887131
4704,2,2,34.4440782571741,10.5714704252029
4704,2,3,2.25126491140518,-2.95257774510884
4704,2,4,3.48084519552245,0.368390236495666
4704,2,5,0.350765027050983,-5.9840814217805
4704,2,6,-6.79883842441746,1.6979605615325
4704,2,7,-0.626703646295473,0.189986371674361
4192,1,1,34.3080552333037,12.1708922648985
4192,1,2,-9.55123515612658,2.03563803968966
4192,1,3,-0.259234065291354,10.5217235951957
4192,1,4,2.87259270048302,-0.952445273290626
4192,1,5,0.636878387743431,1.29184721055116
4192,1,6,6.03122811452444,-5.72381847107012
4192,1,7,-0.189043145866628,0.519301901878444
4192,2,1,7.68968048914977,2.76956877155229
4192,2,2,37.0236240977164,-8.58965061816391
4192,2,3,0.496044891995728,-5.25734016206221
4192,2,4,-0.272927346668265,0.126963987600312
4192,2,5,-0.821570723217348,-1.89781743267772
4192,2,6,-2.18485134163592,2.15594450892268
4192,2,7,-3.92871763117025,5.72436369849415
4362,1,1,35.6461113543454,2.74115469957273
4362,1,2,-7.64233231920627,4.34321250436546
4362,1,3,3.45855012119234,13.4492783278837
4362,1,4,0.744901902255164,-0.295433103087814
4362,1,5,0.896662008832397,0.960248013275048
4362,1,6,3.65490679174223,-5.63825560845938
