double_route,quant_mode,trial_count,in_scope_trial_count,eval_count,route_agreement_vs_double,confidence_agreement_vs_double,output_equivalent_rate,output_equivalent_strict_rate,output_equivalent_relaxed_rate,success_gap_vs_double,false_high_rate,boundary_missed_rate,max_az_diff,mean_abs_az_diff,max_el_diff,mean_abs_el_diff,changed_route_count,changed_confidence_count,dominant_changed_from_route,dominant_changed_to_route,dominant_failure_hypothesis,mean_ywork_snr_quant_db,mean_steering_rel_err_aligned
low_confidence,ywork_int16_only,157,157,157,0.796178343949045,0.796178343949045,0.796178343949045,0.796178343949045,0.796178343949045,0.121019108280255,0,0,0,0,0.00610523976968321,0.000382682958953139,32,32,low_confidence,level2_rank1_fallback,boundary_case,93.761021333963,0
low_confidence,combined_int16,157,157,157,0.43312101910828,0.484076433121019,0.484076433121019,0.484076433121019,0.484076433121019,0.305732484076433,0,0,0,0,0.00727158340652086,0.000923418277611132,89,81,low_confidence,level2_rank1_fallback,boundary_case,93.761021333963,0.000157891847008353
low_confidence,combined_int18,157,157,157,0.668789808917197,0.668789808917197,0.668789808917197,0.668789808917197,0.668789808917197,0.159235668789809,0,0,0,0,0.00727158340652086,0.000510087320368167,52,52,low_confidence,level2_rank1_fallback,boundary_case,105.802948096542,3.93139320165931e-05
low_confidence,combined_int24,157,157,157,0.847133757961783,0.847133757961783,0.847133757961783,0.847133757961783,0.847133757961783,0.10828025477707,0,0,0,0,0.00541423682785909,0.000227666055196137,24,24,low_confidence,level2_rank1_fallback,boundary_case,141.92715073626,6.16011433816925e-07
boundary_unreliable,double_baseline,129,129,129,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0
boundary_unreliable,float32_all,129,129,129,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,151.892230905825,2.74648417956103e-08
boundary_unreliable,coeff_int16_only,129,129,129,0.914728682170543,0.922480620155039,0.922480620155039,0.922480620155039,0.922480620155039,0.0155038759689922,0,0,0.94,0.0253125,0.00271142296263788,8.38968260040663e-05,11,10,boundary_unreliable,common_el_refocus_power_rank1,boundary_case,Inf,0.000157891847008353
boundary_unreliable,ywork_int16_only,129,129,129,0.961240310077519,0.961240310077519,0.961240310077519,0.961240310077519,0.961240310077519,0.0155038759689922,0,0,0.78,0.0252713178294574,0.00329090006213949,6.97468895784514e-05,5,5,boundary_unreliable,common_el_refocus_power_rank1,boundary_case,92.627531160897,0
boundary_unreliable,combined_int16,129,129,129,0.930232558139535,0.937984496124031,0.937984496124031,0.937984496124031,0.937984496124031,0.0155038759689922,0,0,0.94,0.0225,0.00148563229506895,4.55112024212007e-05,9,8,boundary_unreliable,common_el_refocus_power_rank1,boundary_case,92.627531160897,0.000157891847008353
boundary_unreliable,combined_int18,129,129,129,0.937984496124031,0.937984496124031,0.937984496124031,0.937984496124031,0.937984496124031,0.0310077519379845,0,0,0.78,0.029922480620155,0.00320613032490735,6.04826769307165e-05,8,8,boundary_unreliable,common_el_refocus_power_rank1,boundary_case,104.666763957336,3.93139320165931e-05
boundary_unreliable,combined_int24,129,129,129,0.953488372093023,0.953488372093023,0.953488372093023,0.953488372093023,0.953488372093023,0.0310077519379845,0,0,0.76,0.0228125,0.00211791480314793,3.15664762298166e-05,6,6,boundary_unreliable,common_el_refocus_power_rank1,boundary_case,140.791150752075,6.16011433816925e-07
common_el_refocus_power_rank1,double_baseline,205,205,205,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0
common_el_refocus_power_rank1,float32_all,205,205,205,1,1,1,1,1,0,0,0,0.02,9.75609756097561e-05,0,0,0,0,,,,151.92070744173,2.74648417956103e-08
common_el_refocus_power_rank1,coeff_int16_only,205,205,205,0.960975609756098,0.960975609756098,0.936585365853659,0.88780487804878,0.960975609756098,-0.0390243902439024,0,0,0.82,0.0267317073170732,0.00143463642647577,1.87852975700932e-05,8,8,common_el_refocus_power_rank1,boundary_unreliable,rank1_objective_flat,Inf,0.000157891847008353
common_el_refocus_power_rank1,ywork_int16_only,205,205,205,0.985365853658537,0.985365853658537,0.970731707317073,0.95609756097561,0.985365853658537,-0.0146341463414634,0,0,0.38,0.00692682926829268,0.00155126807189187,1.5257960688433e-05,3,3,common_el_refocus_power_rank1,boundary_unreliable,rank1_objective_flat,93.1972984054556,0
