route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_coarse_deg,std_fft_center_error_coarse_deg,mean_fft_center_error_refined_deg,std_fft_center_error_refined_deg
fft_guided_centerT_parabolic,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016094,200,2.000000,20.000000,0.002502,0.108889,0.001866,0.108382
fft_guided_centerT_parabolic,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.012980,200,2.000000,20.000000,0.002493,0.086160,0.003588,0.085105
fft_guided_centerT_parabolic,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.011343,200,2.000000,20.000000,0.005542,0.068203,0.006415,0.067839
fft_guided_centerT_parabolic,9,0.311111,12.844444,13.155556,14,2,2,0.010000,0.010000,0.064260,2,0.750000,22.000000,-2.480933,19.420776,-2.481515,19.419317
fft_guided_centerT_parabolic,9,0.311111,12.844444,13.155556,16,12,11,0.060000,0.055000,0.055699,12,0.960000,22.000000,-0.357392,13.224978,-0.357164,13.227630
fft_guided_centerT_parabolic,9,0.311111,12.844444,13.155556,18,77,74,0.385000,0.370000,0.054552,77,1.360000,22.000000,-0.229767,4.168507,-0.228962,4.169950
fft_guided_centerT_parabolic,9,0.311111,12.844444,13.155556,20,163,163,0.815000,0.815000,0.043079,163,1.815000,22.000000,0.003395,0.184517,0.002413,0.183866
fft_guided_centerT_parabolic,9,0.311111,12.844444,13.155556,22,197,197,0.985000,0.985000,0.030287,197,1.985000,22.000000,-0.010713,0.149882,-0.010616,0.148669
fft_guided_centerT_parabolic,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.023581,200,2.000000,22.000000,-0.000383,0.109567,-0.000221,0.109393
fft_guided_centerT_parabolic,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.018379,200,2.000000,22.000000,0.001644,0.086394,0.002137,0.086141
fft_guided_centerT_parabolic,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.013689,200,2.000000,22.000000,-0.002264,0.068265,-0.001933,0.068045
fft_guided_centerT_parabolic,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,0.755000,24.000000,-5.506668,21.273561,-5.506392,21.273298
fft_guided_centerT_parabolic,10,0.280000,12.860000,13.140000,16,1,1,0.005000,0.005000,0.040441,1,0.905000,24.000000,-1.292545,10.645811,-1.293668,10.646039
fft_guided_centerT_parabolic,10,0.280000,12.860000,13.140000,18,12,10,0.060000,0.050000,0.074997,12,1.030000,24.000000,0.307738,4.680274,0.307705,4.679976
fft_guided_centerT_parabolic,10,0.280000,12.860000,13.140000,20,60,58,0.300000,0.290000,0.047391,60,1.295000,24.000000,-0.003566,0.179377,-0.003454,0.179261
fft_guided_centerT_parabolic,10,0.280000,12.860000,13.140000,22,144,144,0.720000,0.720000,0.040262,144,1.720000,24.000000,-0.006312,0.130945,-0.005168,0.129849
fft_guided_centerT_parabolic,10,0.280000,12.860000,13.140000,24,190,190,0.950000,0.950000,0.030012,190,1.950000,24.000000,-0.007341,0.108913,-0.006270,0.109575
fft_guided_centerT_parabolic,10,0.280000,12.860000,13.140000,26,199,199,0.995000,0.995000,0.022182,199,1.995000,24.000000,0.005547,0.084904,0.004115,0.085174
fft_guided_centerT_parabolic,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.018089,200,2.000000,24.000000,0.002658,0.071765,0.002498,0.070607
