route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,mean_az_a_est,mean_az_b_est,lambda2_over_noise,degraded_sample_count,measured_snr_gain_db
cylindrical_singlelayer_proto10_baseline,2,2.725000,-1.362500,1.362500,28,200,200,200,1.000000,1.000000,1.000000,0.033425,200,2.000000,18.000000,8.000000,-0.010643,0.040975,-1.342811,1.321525,41.527536,0,0.000000
cylindrical_singlelayer_proto10_baseline,2,2.725000,-1.362500,1.362500,30,200,200,200,1.000000,1.000000,1.000000,0.033120,200,2.000000,18.000000,8.000000,-0.011792,0.041866,-1.344218,1.320634,65.272998,0,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,-4,179,0,0,0.895000,0.000000,0.000000,27.828892,179,1.790000,26.000000,18.000000,-0.703862,16.995819,-17.904152,16.496428,1.071622,200,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,-2,168,0,0,0.840000,0.000000,0.000000,31.379065,168,1.680000,26.000000,18.000000,-2.255314,20.835245,-21.743579,17.232950,1.072619,200,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,0,172,0,0,0.860000,0.000000,0.000000,29.174370,172,1.720000,26.000000,18.000000,-2.078005,19.335121,-20.243455,16.087445,1.074474,200,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,2,168,0,0,0.840000,0.000000,0.000000,29.297800,168,1.680000,26.000000,18.000000,0.258344,17.630288,-18.021933,18.538622,1.070987,199,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,4,175,0,0,0.875000,0.000000,0.000000,28.550445,175,1.750000,26.000000,18.000000,-0.396613,17.165412,-18.073745,17.280519,1.071564,199,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,6,177,0,0,0.885000,0.000000,0.000000,28.456000,177,1.770000,26.000000,18.000000,-2.039082,18.182918,-19.091251,15.013087,1.071717,198,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,8,176,0,0,0.880000,0.000000,0.000000,26.189456,176,1.760000,26.000000,18.000000,-0.431339,14.625522,-15.533856,14.671178,1.075935,198,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,10,185,0,0,0.925000,0.000000,0.000000,21.474999,185,1.850000,26.000000,18.000000,2.135785,12.471776,-9.108539,13.380109,1.079983,182,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,12,197,0,3,0.985000,0.000000,0.015000,15.610970,197,1.970000,26.000000,18.000000,-0.545943,6.400752,-7.309085,6.217198,1.111941,117,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,14,200,0,24,1.000000,0.000000,0.120000,3.145588,200,2.000000,26.000000,18.000000,-0.026938,0.071215,-0.890993,0.837118,1.192376,11,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,16,200,0,149,1.000000,0.000000,0.745000,0.315313,200,2.000000,26.000000,18.000000,-0.009096,0.206117,-0.720409,0.702216,1.354678,0,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,18,200,8,200,1.000000,0.040000,1.000000,0.191218,200,2.000000,26.000000,18.000000,-0.036964,0.143247,-0.839015,0.765087,1.629499,0,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,20,200,37,200,1.000000,0.185000,1.000000,0.125979,200,2.000000,26.000000,18.000000,-0.016853,0.083827,-0.858212,0.824506,2.043909,0,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,22,200,103,200,1.000000,0.515000,1.000000,0.083237,200,2.000000,26.000000,18.000000,-0.002582,0.050827,-0.862671,0.857507,2.733444,0,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,24,200,160,200,1.000000,0.800000,1.000000,0.062084,200,2.000000,26.000000,18.000000,-0.011438,0.049033,-0.882177,0.859300,3.799215,0,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,26,200,188,200,1.000000,0.940000,1.000000,0.048380,200,2.000000,26.000000,18.000000,-0.016863,0.048741,-0.893319,0.859593,5.511638,0,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,28,200,198,200,1.000000,0.990000,1.000000,0.041172,200,2.000000,26.000000,18.000000,-0.014677,0.043247,-0.894441,0.865087,8.220605,0,0.000000
cylindrical_singlelayer_proto10_baseline,3,1.816667,-0.908333,0.908333,30,200,200,200,1.000000,1.000000,1.000000,0.035419,200,2.000000,26.000000,18.000000,-0.013823,0.040613,-0.895366,0.867720,12.475079,0,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,-4,179,0,0,0.895000,0.000000,0.000000,28.692690,179,1.790000,NaN,30.000000,0.862723,18.135073,-16.954627,18.680073,1.072462,200,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,-2,172,0,0,0.860000,0.000000,0.000000,26.716240,172,1.720000,NaN,30.000000,0.379578,16.121561,-15.907406,16.666561,1.071761,200,0.000000
