route_name,sep_factor,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks,mean_bias_deg,max_bias_deg,mean_az_a_est,mean_az_b_est,degraded_sample_count,measured_snr_gain_db
cylindrical_multilayer_coherent_proto14_main,5,30,1.000000,1.000000,1.000000,0.028196,2.000000,-0.013566,0.036694,-0.535438,0.508306,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,5,30,1.000000,1.000000,1.000000,0.037835,2.000000,-0.011797,0.040554,-0.528040,0.504446,0,8.308688
cylindrical_singlelayer_proto10_baseline,7,-4,0.850000,0.000000,0.000000,30.984794,1.700000,-0.913255,19.732604,-20.121890,18.295380,200,0.000000
cylindrical_multilayer_coherent_proto14_main,7,-4,0.875000,0.000000,0.000000,28.171015,1.750000,1.897714,18.453072,-15.046930,18.842358,200,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,7,-4,0.830000,0.000000,0.000000,26.994346,1.660000,0.467162,16.387404,-15.842366,16.776690,200,8.308688
cylindrical_singlelayer_proto10_baseline,7,10,0.850000,0.000000,0.000000,26.877415,1.700000,-1.512848,17.298815,-17.688100,14.662405,200,0.000000
cylindrical_multilayer_coherent_proto14_main,7,10,0.930000,0.000000,0.000000,21.713839,1.860000,0.491934,11.695567,-11.100986,12.084853,191,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,7,10,0.870000,0.000000,0.000000,28.101765,1.740000,0.383452,16.727243,-16.349625,17.116529,200,8.308688
cylindrical_singlelayer_proto10_baseline,7,24,0.900000,0.000000,0.000000,23.812669,1.800000,1.275665,14.128650,-11.966606,14.517935,195,0.000000
cylindrical_multilayer_coherent_proto14_main,7,24,1.000000,0.505000,0.995000,0.082763,2.000000,-0.012668,0.074242,-0.340380,0.315044,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,7,24,1.000000,0.000000,0.015000,0.284973,2.000000,-0.007344,0.178039,-0.225935,0.211247,1,8.308688
cylindrical_singlelayer_proto10_baseline,7,28,0.995000,0.000000,0.000000,7.496803,1.990000,0.563273,2.416699,-1.679438,2.805985,78,0.000000
cylindrical_multilayer_coherent_proto14_main,7,28,1.000000,0.990000,1.000000,0.048306,2.000000,-0.016464,0.054252,-0.367961,0.335034,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,7,28,1.000000,0.080000,0.670000,0.147280,2.000000,-0.012218,0.124302,-0.289419,0.264983,0,8.308688
cylindrical_singlelayer_proto10_baseline,7,30,1.000000,0.000000,0.000000,2.701166,2.000000,0.114188,0.115185,-0.274100,0.502476,7,0.000000
cylindrical_multilayer_coherent_proto14_main,7,30,1.000000,0.995000,1.000000,0.042075,2.000000,-0.016157,0.048845,-0.372755,0.340441,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,7,30,1.000000,0.400000,0.945000,0.093391,2.000000,-0.016756,0.086278,-0.336521,0.303008,0,8.308688
cylindrical_singlelayer_proto10_baseline,10,-4,0.890000,0.000000,0.000000,28.409973,1.780000,-0.234080,16.999104,-17.271604,16.803443,200,0.000000
cylindrical_multilayer_coherent_proto14_main,10,-4,0.880000,0.000000,0.000000,27.143015,1.760000,-0.577119,16.852033,-17.124533,15.970294,200,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,10,-4,0.895000,0.000000,0.000000,27.630758,1.790000,-0.797692,17.398912,-17.671412,16.076028,200,8.308688
cylindrical_singlelayer_proto10_baseline,10,10,0.885000,0.000000,0.000000,28.530696,1.770000,3.326372,20.225701,-13.845456,20.498201,200,0.000000
cylindrical_multilayer_coherent_proto14_main,10,10,0.835000,0.000000,0.000000,26.462177,1.670000,-1.248112,16.466548,-16.739048,14.242824,200,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,10,10,0.915000,0.000000,0.000000,28.521899,1.830000,-0.364276,17.213601,-17.486101,16.757548,200,8.308688
cylindrical_singlelayer_proto10_baseline,10,24,0.905000,0.000000,0.000000,26.637349,1.810000,1.832569,17.354079,-13.961442,17.626579,200,0.000000
cylindrical_multilayer_coherent_proto14_main,10,24,1.000000,0.000000,0.000000,0.224641,2.000000,-0.020990,0.143537,-0.170943,0.128963,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,10,24,0.920000,0.000000,0.000000,17.152883,1.840000,0.833965,8.507482,-7.112053,8.779982,173,8.308688
cylindrical_singlelayer_proto10_baseline,10,30,0.845000,0.000000,0.000000,26.054673,1.690000,2.395059,17.252692,-12.735075,17.525192,200,0.000000
cylindrical_multilayer_coherent_proto14_main,10,30,1.000000,0.170000,0.525000,0.120344,2.000000,-0.012919,0.110476,-0.187862,0.162024,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,10,30,1.000000,0.000000,0.000000,0.249167,2.000000,-0.018962,0.122587,-0.187838,0.149913,0,8.308688
pure_ula_root_music_64ch_proto6_replay,7,14,1.000000,0.955000,0.955000,0.049629,2.000000,0.002364,0.020919,12.820919,13.183808,0,NaN
pure_ula_root_music_64ch_proto6_replay,7,24,1.000000,1.000000,1.000000,0.011527,2.000000,0.000697,0.001767,12.801767,13.199627,0,NaN
pure_ula_root_music_64ch_proto6_replay,7,28,1.000000,1.000000,1.000000,0.007037,2.000000,0.000116,0.000671,12.800671,13.199561,0,NaN
pure_ula_root_music_64ch_proto6_replay,8,14,1.000000,0.570000,0.430000,0.086561,2.000000,0.001554,0.044230,12.869230,13.133878,0,NaN
pure_ula_root_music_64ch_proto6_replay,8,16,1.000000,0.940000,0.840000,0.052016,2.000000,-0.002610,0.025543,12.845323,13.149457,0,NaN
pure_ula_root_music_64ch_proto6_replay,8,24,1.000000,1.000000,1.000000,0.017177,2.000000,0.000916,0.003123,12.828123,13.173709,0,NaN
pure_ula_root_music_64ch_proto6_replay,8,28,1.000000,1.000000,1.000000,0.009763,2.000000,-0.000271,0.001379,12.825837,13.173621,0,NaN
pure_ula_root_music_64ch_proto6_replay,9,14,1.000000,0.095000,0.020000,0.119800,2.000000,0.000849,0.065755,12.910200,13.091498,0,NaN
pure_ula_root_music_64ch_proto6_replay,9,18,1.000000,0.910000,0.665000,0.056769,2.000000,0.001764,0.028926,12.873371,13.130157,0,NaN
pure_ula_root_music_64ch_proto6_replay,9,24,1.000000,1.000000,1.000000,0.020572,2.000000,-0.002063,0.007177,12.847495,13.148379,0,NaN
pure_ula_root_music_64ch_proto6_replay,9,28,1.000000,1.000000,1.000000,0.013618,2.000000,-0.000400,0.002270,12.845915,13.153285,0,NaN
pure_ula_root_music_64ch_proto6_replay,10,14,1.000000,0.000000,0.000000,0.155201,2.000000,0.000481,0.026169,12.886169,13.114793,0,NaN
pure_ula_root_music_64ch_proto6_replay,10,20,1.000000,0.915000,0.550000,0.057729,2.000000,0.002835,0.033030,12.893030,13.112640,0,NaN
pure_ula_root_music_64ch_proto6_replay,10,24,1.000000,1.000000,0.985000,0.029138,2.000000,-0.002119,0.010654,12.866416,13.129346,0,NaN
pure_ula_root_music_64ch_proto6_replay,10,28,1.000000,1.000000,1.000000,0.017255,2.000000,-0.000126,0.003233,12.862981,13.136767,0,NaN
