route_name,sep_factor,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks,mean_bias_deg,max_bias_deg,mean_az_a_est,mean_az_b_est,degraded_sample_count
cylindrical_grid_music_baseline,3,24,1.000000,0.675000,1.000000,0.072779,2.000000,-0.014858,0.071767,-0.866283,0.836567,0
cylindrical_root_music_proto10,3,24,1.000000,0.840000,1.000000,0.059760,2.000000,-0.015288,0.053766,-0.885143,0.854567,0
pure_ula_root_music_reference,3,24,1.000000,1.000000,1.000000,0.005767,2.000000,0.000436,0.000577,-0.907756,0.908629,0
cylindrical_grid_music_baseline,3,26,1.000000,0.865000,1.000000,0.057401,2.000000,-0.016758,0.061067,-0.880783,0.847267,0
cylindrical_root_music_proto10,3,26,1.000000,0.960000,1.000000,0.048418,2.000000,-0.016984,0.048876,-0.893425,0.859457,0
pure_ula_root_music_reference,3,26,1.000000,1.000000,1.000000,0.004585,2.000000,0.000067,0.000131,-0.908203,0.908337,0
cylindrical_grid_music_baseline,3,28,1.000000,0.975000,1.000000,0.047315,2.000000,-0.013883,0.052867,-0.883233,0.855467,0
cylindrical_root_music_proto10,3,28,1.000000,1.000000,1.000000,0.039639,2.000000,-0.014207,0.043317,-0.893431,0.865017,0
pure_ula_root_music_reference,3,28,1.000000,1.000000,1.000000,0.003394,2.000000,0.000074,0.000162,-0.908172,0.908319,0
cylindrical_grid_music_baseline,3,30,1.000000,0.995000,1.000000,0.041278,2.000000,-0.011983,0.046967,-0.885333,0.861367,0
cylindrical_root_music_proto10,3,30,1.000000,1.000000,1.000000,0.034470,2.000000,-0.012116,0.038807,-0.893757,0.869526,0
pure_ula_root_music_reference,3,30,1.000000,1.000000,1.000000,0.002828,2.000000,0.000056,0.000062,-0.908272,0.908383,0
cylindrical_grid_music_baseline,5,-4,0.000000,0.000000,0.000000,NaN,1.000000,NaN,NaN,NaN,NaN,200
cylindrical_root_music_proto10,5,-4,0.860000,0.000000,0.000000,27.818448,1.720000,-2.356157,19.263857,-19.808857,15.096544,200
pure_ula_root_music_reference,5,-4,0.885000,0.000000,0.000000,25.427791,1.770000,-0.947943,15.775869,-16.320869,14.424984,197
cylindrical_grid_music_baseline,5,14,0.000000,0.000000,0.000000,NaN,1.000000,NaN,NaN,NaN,NaN,200
cylindrical_root_music_proto10,5,14,0.900000,0.000000,0.000000,27.290941,1.800000,0.013591,15.642629,-16.160446,16.187629,200
pure_ula_root_music_reference,5,14,1.000000,0.920000,1.000000,0.051365,2.000000,0.001551,0.009107,-0.535893,0.538996,0
cylindrical_grid_music_baseline,5,24,0.000000,0.000000,0.000000,NaN,1.000000,NaN,NaN,NaN,NaN,200
cylindrical_root_music_proto10,5,24,1.000000,0.000000,0.010000,0.442313,2.000000,-0.018178,0.224411,-0.356944,0.320589,5
pure_ula_root_music_reference,5,24,1.000000,1.000000,1.000000,0.015760,2.000000,-0.000568,0.000574,-0.545574,0.544437,0
cylindrical_grid_music_baseline,5,30,0.825000,0.050000,0.805000,0.164188,1.825000,-0.007000,0.148152,-0.410848,0.396848,35
