route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,mean_az_a_est,mean_az_b_est,lambda2_over_noise,degraded_sample_count
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,-2,1,0,0,0.005000,0.000000,0.000000,1.847552,1,1.005000,28.000000,18.000000,1.631667,2.498333,-0.143333,3.406667,NaN,200
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,0,1,0,0,0.005000,0.000000,0.000000,1.886756,1,1.005000,28.000000,18.000000,-1.673333,2.545000,-3.453333,0.106667,NaN,200
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,2,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,28.000000,18.000000,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,4,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,28.000000,18.000000,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,6,1,0,0,0.005000,0.000000,0.000000,1.855240,1,1.005000,28.000000,18.000000,-1.653333,2.495000,-3.403333,0.096667,NaN,200
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,8,2,0,0,0.010000,0.000000,0.000000,1.064643,2,1.010000,28.000000,18.000000,0.041667,0.358333,-1.183333,1.266667,NaN,200
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,10,1,0,1,0.005000,0.000000,0.005000,0.292085,1,1.005000,28.000000,18.000000,0.046667,0.335000,-0.573333,0.666667,NaN,199
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,12,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,28.000000,18.000000,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,14,12,0,12,0.060000,0.000000,0.060000,0.339076,12,1.060000,28.000000,18.000000,-0.037083,0.316667,-0.665833,0.591667,NaN,188
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,16,87,0,78,0.435000,0.000000,0.390000,0.312916,87,1.435000,28.000000,18.000000,-0.024885,0.290517,-0.667586,0.617816,NaN,113
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,18,186,1,186,0.930000,0.005000,0.930000,0.227603,186,1.930000,28.000000,18.000000,-0.006828,0.195860,-0.726129,0.712473,NaN,14
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,20,200,7,200,1.000000,0.035000,1.000000,0.155268,200,2.000000,28.000000,18.000000,-0.017083,0.134767,-0.807733,0.773567,NaN,0
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,22,200,52,200,1.000000,0.260000,1.000000,0.100080,200,2.000000,28.000000,18.000000,-0.010858,0.086367,-0.843683,0.821967,NaN,0
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,24,200,135,200,1.000000,0.675000,1.000000,0.072779,200,2.000000,28.000000,18.000000,-0.014858,0.071767,-0.866283,0.836567,NaN,0
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,26,200,173,200,1.000000,0.865000,1.000000,0.057401,200,2.000000,28.000000,18.000000,-0.016758,0.061067,-0.880783,0.847267,NaN,0
