experiment_stage,route_name,K_phi,P_phi,subarray_span_deg,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count_abs01,tol_success_count_rel025,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,rmse_valid_count,mean_num_peaks,lambda2_over_noise_mean,degraded_count,degraded_rate,snr90_abs01,snr90_rel025
kphi_scan,level2_ula_root_music_65col_baseline,24,42,43.125000000,10,0.263775445,-0.131887722,0.131887722,30,100,80,10,1.000000000,0.800000000,0.100000000,0.074714558,100,2.000000000,5.898036193,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,24,100,89,80,1.000000000,0.890000000,0.800000000,0.073345856,100,2.000000000,7.826740194,0,0.000000000,28.000000000,28.000000000
kphi_scan,level2_ula_root_music_65col_baseline,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,28,100,100,98,1.000000000,1.000000000,0.980000000,0.071890291,100,2.000000000,18.031259313,0,0.000000000,28.000000000,28.000000000
kphi_scan,level2_ula_root_music_65col_baseline,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,30,100,100,99,1.000000000,1.000000000,0.990000000,0.071743369,100,2.000000000,27.741032131,0,0.000000000,28.000000000,28.000000000
kphi_scan,level2_ula_root_music_65col_baseline,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,24,100,34,1,1.000000000,0.340000000,0.010000000,0.087739211,100,2.000000000,2.580688674,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,28,100,45,0,1.000000000,0.450000000,0.000000000,0.087980259,100,2.000000000,5.069156967,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,30,100,42,0,1.000000000,0.420000000,0.000000000,0.092277256,100,2.000000000,7.455811400,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,32,34,58.125000000,7,0.376822064,-0.188411032,0.188411032,24,100,48,35,1.000000000,0.480000000,0.350000000,0.088421164,100,2.000000000,9.155516293,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,32,34,58.125000000,7,0.376822064,-0.188411032,0.188411032,28,100,74,48,1.000000000,0.740000000,0.480000000,0.086790247,100,2.000000000,21.294327911,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,32,34,58.125000000,7,0.376822064,-0.188411032,0.188411032,30,100,75,52,1.000000000,0.750000000,0.520000000,0.086248206,100,2.000000000,32.766461654,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,32,34,58.125000000,10,0.263775445,-0.131887722,0.131887722,24,100,23,1,1.000000000,0.230000000,0.010000000,0.092176702,100,2.000000000,2.893708787,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,32,34,58.125000000,10,0.263775445,-0.131887722,0.131887722,28,100,8,0,1.000000000,0.080000000,0.000000000,0.099102724,100,2.000000000,5.860828827,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,32,34,58.125000000,10,0.263775445,-0.131887722,0.131887722,30,100,3,0,1.000000000,0.030000000,0.000000000,0.106027394,100,2.000000000,8.708486694,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,40,26,73.125000000,7,0.376822064,-0.188411032,0.188411032,24,100,0,0,1.000000000,0.000000000,0.000000000,0.142053418,100,2.000000000,9.911874412,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,40,26,73.125000000,7,0.376822064,-0.188411032,0.188411032,28,100,0,0,1.000000000,0.000000000,0.000000000,0.149082444,100,2.000000000,23.203163317,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,40,26,73.125000000,7,0.376822064,-0.188411032,0.188411032,30,100,0,0,1.000000000,0.000000000,0.000000000,0.147724799,100,2.000000000,35.810592834,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,40,26,73.125000000,10,0.263775445,-0.131887722,0.131887722,24,100,5,0,1.000000000,0.050000000,0.000000000,0.099599748,100,2.000000000,3.054712852,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,40,26,73.125000000,10,0.263775445,-0.131887722,0.131887722,28,100,1,0,1.000000000,0.010000000,0.000000000,0.106769111,100,2.000000000,6.309450234,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,40,26,73.125000000,10,0.263775445,-0.131887722,0.131887722,30,100,0,0,1.000000000,0.000000000,0.000000000,0.112902921,100,2.000000000,9.425828284,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,48,18,88.125000000,7,0.376822064,-0.188411032,0.188411032,24,100,0,0,1.000000000,0.000000000,0.000000000,0.161498376,100,2.000000000,7.598692321,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,48,18,88.125000000,7,0.376822064,-0.188411032,0.188411032,28,100,0,0,1.000000000,0.000000000,0.000000000,0.174069916,100,2.000000000,17.653902865,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,48,18,88.125000000,7,0.376822064,-0.188411032,0.188411032,30,100,0,0,1.000000000,0.000000000,0.000000000,0.174225561,100,2.000000000,27.369015553,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,48,18,88.125000000,10,0.263775445,-0.131887722,0.131887722,24,100,0,0,1.000000000,0.000000000,0.000000000,0.106526668,100,2.000000000,2.489551093,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,48,18,88.125000000,10,0.263775445,-0.131887722,0.131887722,28,100,0,0,1.000000000,0.000000000,0.000000000,0.109799899,100,2.000000000,4.912506588,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,48,18,88.125000000,10,0.263775445,-0.131887722,0.131887722,30,100,0,0,1.000000000,0.000000000,0.000000000,0.116181078,100,2.000000000,7.237281950,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,56,10,103.125000000,7,0.376822064,-0.188411032,0.188411032,24,100,0,0,1.000000000,0.000000000,0.000000000,0.157834682,100,2.000000000,3.583001263,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,56,10,103.125000000,7,0.376822064,-0.188411032,0.188411032,28,100,0,0,1.000000000,0.000000000,0.000000000,0.174549295,100,2.000000000,7.695736452,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,56,10,103.125000000,7,0.376822064,-0.188411032,0.188411032,30,100,0,0,1.000000000,0.000000000,0.000000000,0.176920189,100,2.000000000,11.701293332,0,0.000000000,NaN,NaN
