route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_raw_search_ratio_4e,mean_piecewise_search_ratio_4e,mean_piecewise_span_ratio_4e,mean_theta_search_4e_deg,mean_routeB_beam_span_4e_deg,lambda2_over_noise_array,root_dist_array_mean,root_dist_beam_mean,lambda2_over_noise_pre_tp,lambda2_over_noise_post_tp,toeplitz_residual_norm
5.434426e-03,baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,22,149,149,138,0.745000,0.745000,0.690000,0.037977,149,1.745000,24.000000,24.000000,0.000319,0.153267,1.935035,0.104913,2.073252,1.344650,1.299829,1.506008,2.183712,4.079351,0.003227,0.007662,4.079351,27.164347
5.406835e-03,baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,24,192,192,190,0.960000,0.960000,0.950000,0.031441,192,1.960000,24.000000,24.000000,-0.007846,0.116337,1.942164,0.087172,2.080890,1.346178,1.301305,1.507719,2.186193,5.949359,0.002536,0.007720,5.949359,42.996351
5.277019e-03,baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,26,200,200,200,1.000000,1.000000,1.000000,0.022891,200,2.000000,24.000000,24.000000,0.006395,0.084077,1.942970,0.068265,2.081754,1.346351,1.301472,1.507913,2.186474,8.903572,0.001964,0.007748,8.903572,69.550189
5.245185e-03,baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,28,200,200,200,1.000000,1.000000,1.000000,0.016470,200,2.000000,24.000000,24.000000,-0.004470,0.068935,1.932890,0.055998,2.070953,1.344191,1.299384,1.505494,2.182966,13.616929,0.001564,0.007663,13.616929,115.833210
5.246200e-03,proto4e_fft_piecewise_grid_music,7,0.400000,12.800000,13.200000,14,116,113,113,0.580000,0.565000,0.565000,0.052000,116,1.465000,18.000000,18.000000,-2.898960,24.353150,2.301557,0.733353,1.726168,1.262087,1.220018,2.019340,2.928043,3.022733,0.004277,0.006737,3.022733,9.947375
1.055566e-02,proto4e_fft_piecewise_grid_music,7,0.400000,12.800000,13.200000,16,175,174,174,0.875000,0.870000,0.870000,0.037469,175,1.815000,18.000000,18.000000,-1.915773,14.930052,2.149299,0.524678,1.611974,1.244563,1.203077,1.991300,2.887385,4.316900,0.003179,0.006752,4.316900,15.638069
1.054539e-02,proto4e_fft_piecewise_grid_music,7,0.400000,12.800000,13.200000,18,197,197,197,0.985000,0.985000,0.985000,0.028183,197,1.975000,18.000000,18.000000,-0.349113,4.358756,1.979881,0.210562,1.484910,1.224298,1.183488,1.958877,2.840371,6.346290,0.002428,0.006678,6.346290,24.443078
1.038771e-02,proto4e_fft_piecewise_grid_music,7,0.400000,12.800000,13.200000,20,200,200,200,1.000000,1.000000,1.000000,0.020430,200,2.000000,18.000000,18.000000,-0.004748,0.188028,1.975659,0.161659,1.481744,1.225095,1.184258,1.960151,2.842220,9.594657,0.001903,0.006665,9.594657,38.703488
1.026353e-02,proto4e_fft_piecewise_grid_music,7,0.400000,12.800000,13.200000,22,200,200,200,1.000000,1.000000,1.000000,0.015417,200,2.000000,18.000000,18.000000,0.007268,0.139308,1.961941,0.119489,1.471456,1.223317,1.182539,1.957307,2.838095,14.685249,0.001443,0.006710,14.685249,62.377950
1.022242e-02,proto4e_fft_piecewise_grid_music,7,0.400000,12.800000,13.200000,24,200,200,200,1.000000,1.000000,1.000000,0.013039,200,2.000000,18.000000,18.000000,-0.013281,0.106083,1.955207,0.081686,1.466405,1.223204,1.182431,1.957127,2.837834,22.770779,0.001189,0.006649,22.770779,101.827301
