route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_raw_search_ratio_4b,mean_piecewise_search_ratio,mean_piecewise_span_ratio,region_low_rate,region_mid_rate,region_high_rate,search_upper_clip_rate,span_upper_clip_rate,mean_theta_search_adapt_deg,mean_routeB_beam_span_adapt_deg
fft_guided_centerT,7,0.400000,12.800000,13.200000,22,200,200,1.000000,1.000000,0.016496,200,2.000000,18.000000,-0.013943,0.139976,1.949376,0.106236,1.462032,1.221885,1.181155,0.000000,0.070000,0.930000,0.000000,0.000000,1.955016,2.834773
fft_guided_centerT,7,0.400000,12.800000,13.200000,24,200,200,1.000000,1.000000,0.012025,200,2.000000,18.000000,-0.005298,0.123031,1.946961,0.089982,1.460220,1.221841,1.181113,0.000000,0.050000,0.950000,0.000000,0.000000,1.954945,2.834671
fft_guided_centerT,7,0.400000,12.800000,13.200000,26,200,200,1.000000,1.000000,0.009821,200,2.000000,18.000000,-0.000560,0.091606,1.955029,0.069434,1.466271,1.223188,1.182415,0.000000,0.010000,0.990000,0.000000,0.000000,1.957100,2.837795
fft_guided_centerT,7,0.400000,12.800000,13.200000,28,200,200,1.000000,1.000000,0.008341,200,2.000000,18.000000,0.000790,0.069593,1.940912,0.057233,1.455684,1.221137,1.180432,0.000000,0.000000,1.000000,0.000000,0.000000,1.953819,2.833037
fft_guided_centerT,8,0.350000,12.825000,13.175000,14,18,15,0.090000,0.075000,0.064383,18,0.885000,18.000000,-4.443871,24.789261,2.292028,1.141504,1.964595,1.289685,1.246695,0.000000,0.020000,0.980000,0.090000,0.000000,1.805559,2.618060
fft_guided_centerT,8,0.350000,12.825000,13.175000,16,104,97,0.520000,0.485000,0.051424,104,1.460000,18.000000,-2.533962,13.629762,2.116748,0.564210,1.814356,1.284997,1.242164,0.000000,0.000000,1.000000,0.045000,0.000000,1.798996,2.608544
fft_guided_centerT,8,0.350000,12.825000,13.175000,18,184,184,0.920000,0.920000,0.040963,184,1.905000,18.000000,-0.587092,6.312983,2.006091,0.306765,1.719507,1.271874,1.229478,0.000000,0.000000,1.000000,0.005000,0.000000,1.780623,2.581904
fft_guided_centerT,8,0.350000,12.825000,13.175000,20,199,199,0.995000,0.995000,0.029740,199,1.995000,18.000000,-0.015956,0.175879,2.000136,0.168676,1.714402,1.272880,1.230451,0.000000,0.000000,1.000000,0.000000,0.000000,1.782033,2.583947
fft_guided_centerT,8,0.350000,12.825000,13.175000,22,199,199,0.995000,0.995000,0.024218,199,1.995000,18.000000,0.004048,0.146247,1.963294,0.112839,1.682824,1.266565,1.224346,0.000000,0.000000,1.000000,0.000000,0.000000,1.773191,2.571126
fft_guided_centerT,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016641,200,2.000000,18.000000,0.005220,0.115482,1.957498,0.102485,1.677856,1.265571,1.223385,0.000000,0.000000,1.000000,0.000000,0.000000,1.771800,2.569109
