stage,route_name,K_phi,P_phi,sep_factor,theta_sep_deg,snr_db,phase_offset_deg,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,degraded_rate,snr90_abs01,snr90_rel025,mean_pair_sep_est,std_pair_sep_est,mean_pair_sep_bias,mean_abs_pair_sep_error,mean_pair_center_est,std_pair_center_est,mean_pair_center_bias,mean_abs_pair_center_error,objective_true_rank_median,objective_true_rank_p90,objective_margin_true_vs_best,objective_valley_sep_width_mean,objective_valley_center_width_mean
ksnr_scan,center_real,28,38,7,0.376822064,28,0.000000000,0.980000000,0.900000000,0.860000000,0.081317743,0.020000000,28.000000000,30.000000000,0.215612245,0.019183131,-0.161209819,0.161209819,0.000459836,0.004818121,0.000459836,0.003668277,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,28,38,7,0.376822064,30,0.000000000,1.000000000,1.000000000,0.980000000,0.078353845,0.000000000,28.000000000,30.000000000,0.220800000,0.012859238,-0.156022064,0.156022064,-0.000154449,0.003498571,-0.000154449,0.002581424,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,28,38,10,0.263775445,18,0.000000000,0.020000000,0.000000000,0.000000000,0.359879590,0.980000000,NaN,NaN,0.645000000,0.000000000,0.381224555,0.381224555,-0.305254449,0.000000000,-0.305254449,0.305254449,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,28,38,10,0.263775445,20,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,28,38,10,0.263775445,22,0.000000000,0.080000000,0.040000000,0.040000000,0.172451662,0.920000000,NaN,NaN,0.308750000,0.161994406,0.044974555,0.156250000,-0.018379449,0.149450818,-0.018379449,0.105752225,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,28,38,10,0.263775445,24,0.000000000,0.140000000,0.140000000,0.080000000,0.055105924,0.860000000,NaN,NaN,0.167857143,0.031493440,-0.095918302,0.095918302,0.001174122,0.022073624,0.001174122,0.016392222,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,28,38,10,0.263775445,26,0.000000000,0.120000000,0.120000000,0.080000000,0.061344198,0.880000000,NaN,NaN,0.142500000,0.015478480,-0.121275445,0.121275445,0.003495551,0.003750000,0.003495551,0.003665184,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,28,38,10,0.263775445,28,0.000000000,0.060000000,0.060000000,0.040000000,0.057282055,0.940000000,NaN,NaN,0.161666667,0.040276820,-0.102108778,0.102108778,0.011412217,0.011785113,0.011412217,0.014915184,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,28,38,10,0.263775445,30,0.000000000,0.040000000,0.040000000,0.000000000,0.076928776,0.960000000,NaN,NaN,0.110000000,0.000000000,-0.153775445,0.153775445,-0.000254449,0.002500000,-0.000254449,0.002500000,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,16,50,7,0.376822064,18,0.000000000,0.020000000,0.000000000,0.000000000,0.239908948,0.980000000,26.000000000,28.000000000,0.515000000,0.000000000,0.138177936,0.138177936,0.229745551,0.000000000,0.229745551,0.229745551,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,16,50,7,0.376822064,20,0.000000000,0.160000000,0.080000000,0.080000000,0.088065840,0.840000000,26.000000000,28.000000000,0.230625000,0.049964831,-0.146197064,0.146197064,0.012558051,0.040377854,0.012558051,0.027314725,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,16,50,7,0.376822064,22,0.000000000,0.520000000,0.300000000,0.220000000,0.081529702,0.480000000,26.000000000,28.000000000,0.247692308,0.047641102,-0.129129756,0.129129756,-0.002946757,0.043616131,-0.002946757,0.031730769,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,16,50,7,0.376822064,24,0.000000000,0.940000000,0.640000000,0.540000000,0.073724736,0.060000000,26.000000000,28.000000000,0.251808511,0.033965338,-0.125013554,0.125013554,0.008362572,0.034203741,0.008362572,0.025483191,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,16,50,7,0.376822064,26,0.000000000,0.940000000,0.900000000,0.840000000,0.063150515,0.060000000,26.000000000,28.000000000,0.262127660,0.022685282,-0.114694405,0.114694405,0.001926402,0.023810070,0.001926402,0.018367305,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,16,50,7,0.376822064,28,0.000000000,1.000000000,1.000000000,0.980000000,0.059215092,0.000000000,26.000000000,28.000000000,0.263500000,0.015628500,-0.113322064,0.113322064,0.002295551,0.015153300,0.002295551,0.012309288,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,16,50,7,0.376822064,30,0.000000000,1.000000000,1.000000000,1.000000000,0.056776067,0.000000000,26.000000000,28.000000000,0.265900000,0.010520932,-0.110922064,0.110922064,-0.001204449,0.010884507,-0.001204449,0.008311068,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,16,50,10,0.263775445,18,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
