route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_outer_iter_used,mean_refine_iter_target1,mean_refine_iter_target2,mean_residual_power_final,fftii_init_two_stage_cancel_rate,fftii_init_single_peak_fallback_rate,fftii_fail_init_rate
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,14,107,103,103,0.535000,0.515000,0.515000,0.053661,107,1.365000,18.000000,18.000000,-2.848838,24.348209,2.301376,0.733528,2.945000,6.120000,6.090000,5.176227e-04,0.000000,1.000000,0.000000
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,16,172,171,171,0.860000,0.855000,0.855000,0.037702,172,1.785000,18.000000,18.000000,-2.204339,14.715321,2.140171,0.519538,3.035000,6.325000,6.280000,3.312764e-04,0.010000,0.990000,0.000000
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,18,191,191,191,0.955000,0.955000,0.955000,0.028266,191,1.945000,18.000000,18.000000,-0.349452,4.358760,1.979402,0.210218,2.650000,5.390000,5.395000,2.125668e-04,0.010000,0.990000,0.000000
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,20,200,200,200,1.000000,1.000000,1.000000,0.020192,200,2.000000,18.000000,18.000000,-0.005258,0.187331,1.977425,0.162730,2.935000,5.875000,5.935000,1.334393e-04,0.000000,1.000000,0.000000
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,22,200,200,200,1.000000,1.000000,1.000000,0.015992,200,2.000000,18.000000,18.000000,0.005572,0.140025,1.961525,0.118399,2.840000,5.705000,5.645000,8.371001e-05,0.000000,1.000000,0.000000
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,24,200,200,200,1.000000,1.000000,1.000000,0.012935,200,2.000000,18.000000,18.000000,-0.013451,0.106130,1.956789,0.081629,2.895000,5.775000,5.705000,5.239737e-05,0.000000,1.000000,0.000000
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,26,200,200,200,1.000000,1.000000,1.000000,0.009933,200,2.000000,18.000000,18.000000,-0.001409,0.091105,1.937089,0.069122,2.590000,5.105000,5.080000,3.343534e-05,0.000000,1.000000,0.000000
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,28,200,200,200,1.000000,1.000000,1.000000,0.008125,200,2.000000,18.000000,18.000000,0.000451,0.070294,1.939688,0.053374,2.565000,5.040000,5.025000,2.170093e-05,0.000000,1.000000,0.000000
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,14,27,24,22,0.135000,0.120000,0.110000,0.060948,27,0.945000,18.000000,18.000000,-3.588093,19.628904,2.273440,0.690157,2.965000,6.350000,6.150000,5.389686e-04,0.000000,1.000000,0.000000
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,16,106,99,87,0.530000,0.495000,0.435000,0.055377,106,1.470000,18.000000,18.000000,-1.226205,12.914972,2.121924,0.648885,2.750000,5.595000,5.755000,3.421271e-04,0.005000,0.995000,0.000000
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,18,186,185,183,0.930000,0.925000,0.915000,0.041150,186,1.930000,18.000000,18.000000,-0.012872,0.214622,2.005953,0.216369,2.870000,5.930000,5.850000,2.150577e-04,0.000000,1.000000,0.000000
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,20,197,197,197,0.985000,0.985000,0.985000,0.029436,197,1.985000,18.000000,18.000000,-0.001005,0.200772,1.978940,0.165680,2.665000,5.335000,5.330000,1.366664e-04,0.005000,0.995000,0.000000
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,22,200,200,200,1.000000,1.000000,1.000000,0.021108,200,2.000000,18.000000,18.000000,-0.010554,0.130240,1.954953,0.099258,2.615000,5.130000,5.210000,8.577120e-05,0.000000,1.000000,0.000000
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,24,200,200,200,1.000000,1.000000,1.000000,0.016968,200,2.000000,18.000000,18.000000,0.014379,0.105459,1.941197,0.087167,2.585000,5.080000,5.125000,5.484677e-05,0.000000,1.000000,0.000000
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,26,200,200,200,1.000000,1.000000,1.000000,0.014257,200,2.000000,18.000000,18.000000,0.009791,0.089140,1.939506,0.070916,2.500000,4.955000,4.935000,3.461214e-05,0.000000,1.000000,0.000000
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,28,200,200,200,1.000000,1.000000,1.000000,0.010205,200,2.000000,18.000000,18.000000,0.001301,0.075017,1.940773,0.056312,2.510000,4.900000,4.925000,2.184211e-05,0.000000,1.000000,0.000000
fft_guided_centerT_proto4,9,0.311111,12.844444,13.155556,14,0,0,0,0.000000,0.000000,0.000000,NaN,0,0.760000,22.000000,22.000000,-0.922439,23.466434,2.369063,1.578311,2.430000,5.130000,5.595000,5.443131e-04,0.000000,1.000000,0.000000
fft_guided_centerT_proto4,9,0.311111,12.844444,13.155556,16,9,9,5,0.045000,0.045000,0.025000,0.056539,9,0.995000,22.000000,22.000000,-2.112235,11.324596,2.062416,0.350626,2.740000,5.845000,5.850000,3.459371e-04,0.000000,1.000000,0.000000
fft_guided_centerT_proto4,9,0.311111,12.844444,13.155556,18,86,85,74,0.430000,0.425000,0.370000,0.052510,86,1.410000,22.000000,22.000000,-0.165074,2.460907,1.990243,0.190469,2.635000,5.400000,5.320000,2.185204e-04,0.000000,1.000000,0.000000
fft_guided_centerT_proto4,9,0.311111,12.844444,13.155556,20,167,167,157,0.835000,0.835000,0.785000,0.042689,167,1.835000,22.000000,22.000000,0.011867,0.165969,1.953508,0.141979,2.580000,5.230000,5.145000,1.392561e-04,0.000000,1.000000,0.000000
