candidate_index,az1,az2,el1,el2,el_center,el_sep,orientation,iAz1,iAz2,iEl1,iEl2,candidate_id
3862,-0.54,0.58,9.64,10.36,10,0.72,1,7,14,14,26,p_-0.540000_+9.640000__+0.580000_+10.360000__sep_+0.720000
3863,-0.54,0.74,9.64,10.36,10,0.72,1,7,15,14,26,p_-0.540000_+9.640000__+0.740000_+10.360000__sep_+0.720000
4729,-0.38,0.74,9.88,10.6,10.24,0.72,1,8,15,18,30,p_-0.380000_+9.880000__+0.740000_+10.600000__sep_+0.720000
2940,-1.34,1.06,9.4,10.12,9.76,0.72,1,2,17,10,22,p_-1.340000_+9.400000__+1.060000_+10.120000__sep_+0.720000
3795,-1.34,1.06,9.64,10.36,10,0.72,1,2,17,14,26,p_-1.340000_+9.640000__+1.060000_+10.360000__sep_+0.720000
4633,-1.5,1.06,9.88,10.6,10.24,0.72,1,1,17,18,30,p_-1.500000_+9.880000__+1.060000_+10.600000__sep_+0.720000
4634,-1.5,1.22,9.88,10.6,10.24,0.72,1,1,18,18,30,p_-1.500000_+9.880000__+1.220000_+10.600000__sep_+0.720000
2941,-1.34,1.22,9.4,10.12,9.76,0.72,1,2,18,10,22,p_-1.340000_+9.400000__+1.220000_+10.120000__sep_+0.720000
2052,1.22,1.38,9.7,9.34,9.52,0.36,-1,18,19,15,9,p_+1.220000_+9.700000__+1.380000_+9.340000__sep_+0.360000
3796,-1.34,1.22,9.64,10.36,10,0.72,1,2,18,14,26,p_-1.340000_+9.640000__+1.220000_+10.360000__sep_+0.720000
4652,-1.34,1.38,9.88,10.6,10.24,0.72,1,2,19,18,30,p_-1.340000_+9.880000__+1.380000_+10.600000__sep_+0.720000
4651,-1.34,1.22,9.88,10.6,10.24,0.72,1,2,18,18,30,p_-1.340000_+9.880000__+1.220000_+10.600000__sep_+0.720000
3797,-1.34,1.38,9.64,10.36,10,0.72,1,2,19,14,26,p_-1.340000_+9.640000__+1.380000_+10.360000__sep_+0.720000
3778,-1.5,1.06,9.64,10.36,10,0.72,1,1,17,14,26,p_-1.500000_+9.640000__+1.060000_+10.360000__sep_+0.720000
3436,-1.5,1.06,9.82,10.18,10,0.36,1,1,17,17,23,p_-1.500000_+9.820000__+1.060000_+10.180000__sep_+0.360000
2923,-1.5,1.06,9.4,10.12,9.76,0.72,1,1,17,10,22,p_-1.500000_+9.400000__+1.060000_+10.120000__sep_+0.720000
3813,-1.18,1.38,9.64,10.36,10,0.72,1,3,19,14,26,p_-1.180000_+9.640000__+1.380000_+10.360000__sep_+0.720000
4650,-1.34,1.06,9.88,10.6,10.24,0.72,1,2,17,18,30,p_-1.340000_+9.880000__+1.060000_+10.600000__sep_+0.720000
4291,-1.5,1.06,10.06,10.42,10.24,0.36,1,1,17,21,27,p_-1.500000_+10.060000__+1.060000_+10.420000__sep_+0.360000
4635,-1.5,1.38,9.88,10.6,10.24,0.72,1,1,19,18,30,p_-1.500000_+9.880000__+1.380000_+10.600000__sep_+0.720000
2924,-1.5,1.22,9.4,10.12,9.76,0.72,1,1,18,10,22,p_-1.500000_+9.400000__+1.220000_+10.120000__sep_+0.720000
5507,-1.34,1.38,10.12,10.84,10.48,0.72,1,2,19,22,34,p_-1.340000_+10.120000__+1.380000_+10.840000__sep_+0.720000
3779,-1.5,1.22,9.64,10.36,10,0.72,1,1,18,14,26,p_-1.500000_+9.640000__+1.220000_+10.360000__sep_+0.720000
3437,-1.5,1.22,9.82,10.18,10,0.36,1,1,18,17,23,p_-1.500000_+9.820000__+1.220000_+10.180000__sep_+0.360000
3454,-1.34,1.22,9.82,10.18,10,0.36,1,2,18,17,23,p_-1.340000_+9.820000__+1.220000_+10.180000__sep_+0.360000
2957,-1.18,1.22,9.4,10.12,9.76,0.72,1,3,18,10,22,p_-1.180000_+9.400000__+1.220000_+10.120000__sep_+0.720000
4668,-1.18,1.38,9.88,10.6,10.24,0.72,1,3,19,18,30,p_-1.180000_+9.880000__+1.380000_+10.600000__sep_+0.720000
4667,-1.18,1.22,9.88,10.6,10.24,0.72,1,3,18,18,30,p_-1.180000_+9.880000__+1.220000_+10.600000__sep_+0.720000
2922,-1.5,0.9,9.4,10.12,9.76,0.72,1,1,16,10,22,p_-1.500000_+9.400000__+0.900000_+10.120000__sep_+0.720000
3794,-1.34,0.9,9.64,10.36,10,0.72,1,2,16,14,26,p_-1.340000_+9.640000__+0.900000_+10.360000__sep_+0.720000
4308,-1.34,1.06,10.06,10.42,10.24,0.36,1,2,17,21,27,p_-1.340000_+10.060000__+1.060000_+10.420000__sep_+0.360000
3453,-1.34,1.06,9.82,10.18,10,0.36,1,2,17,17,23,p_-1.340000_+9.820000__+1.060000_+10.180000__sep_+0.360000
3812,-1.18,1.22,9.64,10.36,10,0.72,1,3,18,14,26,p_-1.180000_+9.640000__+1.220000_+10.360000__sep_+0.720000
3470,-1.18,1.22,9.82,10.18,10,0.36,1,3,18,17,23,p_-1.180000_+9.820000__+1.220000_+10.180000__sep_+0.360000
3777,-1.5,0.9,9.64,10.36,10,0.72,1,1,16,14,26,p_-1.500000_+9.640000__+0.900000_+10.360000__sep_+0.720000
