trial_index,scenario_name,quant_mode,candidate_count,topK_default,top1_same_flag,topK_order_same_flag,topK_set_same_flag,topK_jaccard,topK_miss_count,topK_miss_rate,selected_candidate_same_flag,score_rank_spearman,score_rank_kendall_if_easy,score_gap_top1_top2_baseline,score_gap_top1_top2_quant,score_gap_norm_baseline,score_gap_norm_quant,score_gap_abs_error,score_gap_rel_error,score_margin_bin,argmax_changed_flag,score_gap_sign_flip_flag,reliable_margin_flag,reliable_top1_same_flag,reliable_topK_same_flag,candidate_score_max_abs_diff,candidate_score_p95_abs_diff,candidate_score_rel_l2_error,same_policy_flag,same_estimate_flag,same_confidence_flag,same_fallback_flag,boundary_state_same_flag,false_high_rate_if_available,boundary_missed_rate_if_available,az_rmse_gap_if_available,el_rmse_gap_if_available,W_scale,Gcache_scale,Z_scale,Rz_scale,score_scale,W_clip_rate,Gcache_clip_rate,Z_clip_rate,Rz_clip_rate,score_clip_rate,max_clip_rate,max_overflow_rate,W_relative_error,Gcache_relative_error,Z_relative_error,Rz_relative_error,score_relative_error
1,easy_noncoherent,mixed_Z16_G24_Rz24,7353,10,1,1,1,1,0,0,1,0.999999999275566,NaN,473.309382773063,473.345290516794,0.00110155011042039,0.00110163334358072,0.0359077437315136,7.58652691842585e-05,reliable,0,0,1,1,1,0.286775126936845,0.189121181872906,8.32516044410802e-07,1,1,1,1,1,NaN,NaN,0,0,NaN,4.81111649577584e-06,0.00147545670076468,0.0136386921127581,0.0256388955972697,0,0,0,0,0,0,0,0,1.20552980091729e-07,2.74838479460062e-05,2.6550712411818e-07,6.22606169694653e-08
1,easy_noncoherent,combined_int14,7353,10,1,1,1,1,0,0,1,0.999999873405166,NaN,473.309382773063,472.622972889192,0.00110155011042039,0.00109997555609876,0.68640988387051,0.00145023510805748,reliable,0,0,1,1,1,96.1265921857848,23.8847626670031,0.000106656397855418,1,1,1,1,1,NaN,NaN,0,0,4.09344945261897e-06,0.00492718452979009,0.00590236886804747,13.9675438860987,26.2568318271771,0,0,0,0,0,0,0,7.59786814574564e-05,0.000125043022251653,0.000108117732523213,0.000221771796130407,6.3662667600669e-05
1,easy_noncoherent,Gcache_int24_only,7353,10,1,1,1,1,0,0,1,0.999999999969815,NaN,473.309382773063,473.309769786661,0.00110155011042039,0.00110155101454327,0.000387013598810881,8.17675737893501e-07,reliable,0,0,1,1,1,0.12846905074548,0.0150809394399403,6.68691716690217e-08,1,1,1,1,1,NaN,NaN,0,0,NaN,4.81111649577584e-06,NaN,NaN,NaN,0,0,0,0,0,0,0,0,1.20552980091729e-07,0,0,0
1,easy_noncoherent,W_int18_G24_Z16,7353,10,1,1,1,1,0,0,1,0.999999999335936,NaN,473.309382773063,473.345424017753,0.00110155011042039,0.00110163334358071,0.0360412446898408,7.61473277345138e-05,reliable,0,0,1,1,1,0.360921557206893,0.214954574534204,9.93872543836683e-07,1,1,1,1,1,NaN,NaN,0,0,2.55811311933242e-07,4.81111658991996e-06,0.00147545669705965,NaN,0.0256389028283911,0,0,0,0,0,0,0,4.75555370558934e-06,1.21162671873752e-07,2.74812530841115e-05,0,6.21866465007891e-08
2,strong_coherent,double_baseline,7353,10,1,1,1,1,0,0,1,1,NaN,459.186864600837,459.186864600837,0.00115180714071182,0.00115180714071182,0,0,reliable,0,0,1,1,1,0,0,0,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0
2,strong_coherent,float32_all,7353,10,1,1,1,1,0,0,1,0.999999999909446,NaN,459.186864600837,459.171875,0.00115180714071182,0.00115176890217693,0.0149896008369979,3.26437927400821e-05,reliable,0,0,1,1,1,0.514299890375696,0.143562717013992,8.1881267241723e-07,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0
2,strong_coherent,W_int16_only,7353,10,1,1,1,1,0,0,1,0.999999999879261,NaN,459.186864600837,459.190938217682,0.00115180714071182,0.00115181728705769,0.00407361684483476,8.87137058760573e-06,reliable,0,0,1,1,1,0.220939964739955,0.0809617076592986,3.6544342756963e-07,1,1,1,1,1,NaN,NaN,0,0,1.02326866867281e-06,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1.89921494063163e-05,0,0,0,0
2,strong_coherent,Gcache_int16_only,7353,10,1,1,1,1,0,0,1,0.999999987141297,NaN,459.186864600837,458.808829150017,0.00115180714071182,0.00115085818642631,0.37803545081988,0.000823271482620696,reliable,0,0,1,1,1,24.1448226799694,5.44045359000302,2.44258362044687e-05,1,1,1,1,1,NaN,NaN,0,0,NaN,0.00123168326408523,NaN,NaN,NaN,0,0,0,0,0,0,0,0,3.11345193977878e-05,0,0,0
2,strong_coherent,Z_int16_only,7353,10,1,1,1,1,0,0,1,0.999999999818892,NaN,459.186864600837,459.15043472228,0.00115180714071182,0.00115171434128658,0.0364298785571009,7.93356286198838e-05,reliable,0,0,1,1,1,0.369088511331938,0.324415389011847,1.63787723225526e-06,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,0.00131780872167937,NaN,NaN,0,0,0,0,0,0,0,0,0,2.51084006461186e-05,0,0
2,strong_coherent,Rz_int18_only,7353,10,1,1,1,1,0,0,1,0.999999999185012,NaN,459.186864600837,459.186334638594,0.00115180714071182,0.00115180530150151,0.00052996224258095,1.15413197422717e-06,reliable,0,0,1,1,1,0.961472624001544,0.5383353344223,2.31430436189275e-06,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,NaN,0.890191269458978,NaN,0,0,0,0,0,0,0,0,0,0,1.19127988187189e-05,0
2,strong_coherent,combined_int16,7353,10,1,1,1,1,0,0,1,0.999999981858967,NaN,459.186864600837,456.778891233174,0.00115180714071182,0.00114575535831593,2.40797336766263,0.00524399444604288,reliable,0,0,1,1,1,27.677376431915,6.82816851865209,3.07572959518572e-05,1,1,1,1,1,NaN,NaN,0,0,1.02326866867281e-06,0.0012316833403547,0.00131780902169428,3.56085813146984,6.09038521644214,0,0,0,0,0,0,0,1.89921494063163e-05,3.11406035697417e-05,2.5095442214051e-05,4.77587325364047e-05,1.52534311761005e-05
2,strong_coherent,combined_int18,7353,10,1,1,1,1,0,0,1,0.999999995532658,NaN,459.186864600837,459.811923128465,0.00115180714071182,0.0011533761075466,0.625058527628426,0.00136122911131567,reliable,0,0,1,1,1,6.17862719089317,1.62732881557895,7.3758138983472e-06,1,1,1,1,1,NaN,NaN,0,0,2.55811311933242e-07,0.000307913774244636,0.000329444631835194,0.89019132981566,1.52255603684922,0,0,0,0,0,0,0,4.75555370558934e-06,7.77744768055423e-06,6.15732469261245e-06,1.19431113463439e-05,3.76589565325889e-06
2,strong_coherent,combined_int24,7353,10,1,1,1,1,0,0,1,0.999999999909446,NaN,459.186864600837,459.189630222972,0.00115180714071182,0.00115181414009091,0.00276562213548459,6.02286857201087e-06,reliable,0,0,1,1,1,0.140149843064137,0.0293778329069028,1.32877234420057e-07,1,1,1,1,1,NaN,NaN,0,0,3.99702173035428e-09,4.8111164869768e-06,5.14753383977077e-06,0.0139091338645293,0.0237897435614439,0,0,0,0,0,0,0,7.42029538126525e-08,1.2062533238579e-07,9.73211504913677e-08,2.06313309630119e-07,5.95015956193618e-08
2,strong_coherent,mixed_Z16_G24_score_float,7353,10,1,1,1,1,0,0,1,0.999999999788707,NaN,459.186864600837,459.15625,0.00115180714071182,0.00115172894165571,0.0306146008369979,6.66713340409042e-05,reliable,0,0,1,1,1,0.38049645521096,0.325782990927109,1.64586803413079e-06,1,1,1,1,1,NaN,NaN,0,0,NaN,4.81111649577584e-06,0.00131780872167937,NaN,NaN,0,0,0,0,0,0,0,0,1.20552980091729e-07,2.51084006461186e-05,0,2.685624252562e-08
2,strong_coherent,mixed_Z16_G24_Rz24,7353,10,1,1,1,1,0,0,1,0.999999999788707,NaN,459.186864600837,459.142589116265,0.00115180714071182,0.00115169465602938,0.0442754845716991,9.64214963121538e-05,reliable,0,0,1,1,1,0.382775071280776,0.321482550003566,1.63889053446218e-06,1,1,1,1,1,NaN,NaN,0,0,NaN,4.81111649577584e-06,0.00131780872167937,0.0139091673567456,0.0237897714568013,0,0,0,0,0,0,0,0,1.20552980091729e-07,2.51084006461186e-05,1.73260565494584e-07,5.94694600512915e-08
2,strong_coherent,combined_int14,7353,10,1,1,1,1,0,0,1,0.999999864832698,NaN,459.186864600837,462.922162832576,0.00115180714071182,0.0011611562671882,3.73529823173885,0.00813459295048843,reliable,0,0,1,1,1,131.857770668241,27.3259637248993,0.00012547893597286,1,1,1,1,1,NaN,NaN,0,0,4.09344945261897e-06,0.00492718452979009,0.00527171729467055,14.2447954015434,24.3643243596087,0,0,0,0,0,0,0,7.59786814574564e-05,0.000125043022251653,0.000103013071334695,0.000208685578121163,6.09880874418411e-05
2,strong_coherent,Gcache_int24_only,7353,10,1,1,1,1,0,0,1,0.999999999969815,NaN,459.186864600837,459.187315584277,0.00115180714071182,0.00115180827147438,0.000450983439804986,9.82134887932864e-07,reliable,0,0,1,1,1,0.128393045262783,0.0200922586227534,9.03953507442223e-08,1,1,1,1,1,NaN,NaN,0,0,NaN,4.81111649577584e-06,NaN,NaN,NaN,0,0,0,0,0,0,0,0,1.20552980091729e-07,0,0,0
2,strong_coherent,W_int18_G24_Z16,7353,10,1,1,1,1,0,0,1,0.999999999788707,NaN,459.186864600837,459.142571726348,0.00115180714071182,0.00115169465602936,0.0442928744887467,9.64593674238695e-05,reliable,0,0,1,1,1,0.385833857464604,0.329720617999556,1.66109865350877e-06,1,1,1,1,1,NaN,NaN,0,0,2.55811311933242e-07,4.81111658991996e-06,0.00131780868981813,NaN,0.0237897705557698,0,0,0,0,0,0,0,4.75555370558934e-06,1.21162671873752e-07,2.51168404741451e-05,0,5.92484251837943e-08
