route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_theta_search_4b_deg,mean_routeB_beam_span_4b_deg,mean_theta_search_4e_deg,mean_routeB_beam_span_4e_deg,mean_raw_search_ratio_4e,mean_piecewise_search_ratio_4e,mean_piecewise_span_ratio_4e
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.014278,200,2.000000,18.000000,0.009282,0.089437,1.939993,0.070890,2.232699,3.349048,1.767598,2.563018,1.662851,1.262570,1.220485
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.010207,200,2.000000,18.000000,0.000453,0.074739,1.940750,0.056316,2.236646,3.354968,1.767780,2.563281,1.663500,1.262700,1.220610
fft_guided_centerT_proto4,9,0.311111,12.844444,13.155556,14,0,0,0.000000,0.000000,NaN,0,0.760000,22.000000,-0.921252,23.466475,2.370272,1.577942,1.983633,2.975450,1.659448,2.406200,2.285620,1.333485,1.289036
fft_guided_centerT_proto4,9,0.311111,12.844444,13.155556,16,9,9,0.045000,0.045000,0.056539,9,0.990000,22.000000,-2.118001,11.323601,2.062178,0.350726,1.990455,2.985682,1.645267,2.385637,1.988529,1.322090,1.278020
fft_guided_centerT_proto4,9,0.311111,12.844444,13.155556,18,86,85,0.430000,0.425000,0.052510,86,1.410000,22.000000,-0.165413,2.460893,1.990108,0.190527,1.991111,2.986667,1.634698,2.370312,1.919033,1.313596,1.269810
fft_guided_centerT_proto4,9,0.311111,12.844444,13.155556,20,168,168,0.840000,0.840000,0.042664,168,1.840000,22.000000,0.010678,0.164646,1.953529,0.141989,1.990694,2.986041,1.626180,2.357961,1.883760,1.306752,1.263194
fft_guided_centerT_proto4,9,0.311111,12.844444,13.155556,22,199,199,0.995000,0.995000,0.031557,199,1.995000,22.000000,0.010828,0.131209,1.937564,0.107201,1.991111,2.986667,1.622349,2.352405,1.868365,1.303673,1.260217
fft_guided_centerT_proto4,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.022343,200,2.000000,22.000000,0.003862,0.116139,1.939797,0.079013,1.991111,2.986667,1.622885,2.353183,1.870519,1.304104,1.260634
fft_guided_centerT_proto4,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.017259,200,2.000000,22.000000,0.005378,0.088123,1.937417,0.069265,1.991111,2.986667,1.622313,2.352355,1.868224,1.303645,1.260190
fft_guided_centerT_proto4,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.013807,200,2.000000,22.000000,-0.003622,0.068461,1.933387,0.053391,1.991111,2.986667,1.621346,2.350952,1.864337,1.302867,1.259439
fft_guided_centerT_proto4,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,0.770000,24.000000,-1.697974,20.704989,2.185629,0.819295,1.785280,2.677920,1.528226,2.215928,2.341746,1.364488,1.319005
fft_guided_centerT_proto4,10,0.280000,12.860000,13.140000,16,0,0,0.000000,0.000000,NaN,0,0.915000,24.000000,-0.131639,12.692351,2.140938,0.772372,1.792000,2.688000,1.524496,2.210519,2.293862,1.361157,1.315785
fft_guided_centerT_proto4,10,0.280000,12.860000,13.140000,18,6,6,0.030000,0.030000,0.053874,6,1.015000,24.000000,-0.000331,0.361419,1.984590,0.191659,1.792000,2.688000,1.516918,2.199531,2.126346,1.354391,1.309244
fft_guided_centerT_proto4,10,0.280000,12.860000,13.140000,20,61,61,0.305000,0.305000,0.046029,61,1.300000,24.000000,0.004915,0.174936,1.954238,0.125841,1.792000,2.688000,1.510570,2.190326,2.093826,1.348723,1.303766
fft_guided_centerT_proto4,10,0.280000,12.860000,13.140000,22,149,149,0.745000,0.745000,0.037839,149,1.740000,24.000000,-0.001887,0.153228,1.934458,0.104163,1.792000,2.688000,1.505870,2.183511,2.072634,1.344527,1.299709
fft_guided_centerT_proto4,10,0.280000,12.860000,13.140000,24,192,192,0.960000,0.960000,0.030957,192,1.960000,24.000000,-0.008865,0.115394,1.942031,0.087165,1.792000,2.688000,1.507688,2.186147,2.080748,1.346150,1.301278
fft_guided_centerT_proto4,10,0.280000,12.860000,13.140000,26,200,200,1.000000,1.000000,0.022732,200,2.000000,24.000000,0.008092,0.085122,1.942225,0.068899,1.792000,2.688000,1.507734,2.186214,2.080955,1.346191,1.301318
fft_guided_centerT_proto4,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.016274,200,2.000000,24.000000,-0.002264,0.069603,1.931170,0.055832,1.792000,2.688000,1.505081,2.182367,2.069111,1.343822,1.299028
fft_guided_centerT_adaptive_window_proto4b,7,0.400000,12.800000,13.200000,14,118,114,0.590000,0.570000,0.052307,118,1.495000,18.000000,-2.846632,24.348469,2.301489,0.733454,2.396064,3.594096,2.019324,2.928019,1.726117,1.262077,1.220008
fft_guided_centerT_adaptive_window_proto4b,7,0.400000,12.800000,13.200000,16,177,176,0.885000,0.880000,0.037218,177,1.850000,18.000000,-2.201287,14.715738,2.139051,0.519862,2.375720,3.563580,1.988511,2.883341,1.604288,1.242819,1.201392
fft_guided_centerT_adaptive_window_proto4b,7,0.400000,12.800000,13.200000,18,197,197,0.985000,0.985000,0.027992,197,1.980000,18.000000,-0.348264,4.358890,1.980374,0.209656,2.334708,3.502062,1.959065,2.840644,1.485281,1.224415,1.183602
fft_guided_centerT_adaptive_window_proto4b,7,0.400000,12.800000,13.200000,20,200,200,1.000000,1.000000,0.020643,200,2.000000,18.000000,-0.005088,0.187513,1.978600,0.162909,2.350706,3.526058,1.960857,2.843243,1.483950,1.225536,1.184685
fft_guided_centerT_adaptive_window_proto4b,7,0.400000,12.800000,13.200000,22,200,200,1.000000,1.000000,0.016184,200,2.000000,18.000000,0.007099,0.140603,1.960504,0.118424,2.346924,3.520386,1.956962,2.837594,1.470378,1.223101,1.182331
fft_guided_centerT_adaptive_window_proto4b,7,0.400000,12.800000,13.200000,24,200,200,1.000000,1.000000,0.012739,200,2.000000,18.000000,-0.014469,0.106565,1.957452,0.080853,2.347978,3.521966,1.957673,2.838627,1.468089,1.223546,1.182761
fft_guided_centerT_adaptive_window_proto4b,7,0.400000,12.800000,13.200000,26,200,200,1.000000,1.000000,0.009989,200,2.000000,18.000000,-0.001918,0.090764,1.937267,0.069280,2.324070,3.486105,1.952887,2.831686,1.452950,1.220555,1.179869
fft_guided_centerT_adaptive_window_proto4b,7,0.400000,12.800000,13.200000,28,200,200,1.000000,1.000000,0.008128,200,2.000000,18.000000,0.000960,0.070227,1.939892,0.053415,2.327871,3.491806,1.953574,2.832682,1.454919,1.220984,1.180284
fft_guided_centerT_adaptive_window_proto4b,8,0.350000,12.825000,13.175000,14,30,27,0.150000,0.135000,0.062059,30,1.065000,18.000000,-3.321395,19.312429,2.266691,0.686847,2.206816,3.310224,1.823316,2.643808,1.942878,1.302368,1.258956
