config_name,scenario_name,adaptive_policy_name,adaptive_confidence,adaptive_boundary_flag,failure_reason,row_id,config_id,seed_group_id,base_seed,trial_id,seed,az_center_bias_deg,el_center_bias_deg,truth_az1,truth_az2,truth_el1,truth_el2,true_orientation,fixed_success,adaptive_success,full_success,fixed_rmse,adaptive_rmse,full_rmse,fixed_num_pairs,adaptive_num_pairs,full_num_pairs,adaptive_vs_fixed_pair_count_ratio,fixed_full_grid_match,adaptive_full_grid_match,fixed_topK_miss,adaptive_topK_miss,fixed_boundary_hit,adaptive_boundary_hit,H_norm,gap_13,gap_17,boundary_risk,cond_risk,U_search,U_confidence,adaptive_topK,az_window_scale,el_window_scale
C05_easy_very_aggressive,easy_noncoherent,EASY,high,,,326,5,3,20260611,26,20261637,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390646,0.0282488937836506,0.0595818764390635,17154,9729,131461,0.567156348373557,1,1,0,0,0,0,0.993952468614832,0.00286862184386557,0.00933308690337948,0,0.0166354136958332,0.053465267162459,0.362990397117018,1,0.6,0.6
C05_easy_very_aggressive,easy_noncoherent,EASY,high,,,327,5,3,20260611,27,20261638,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390646,0.0282488937836506,0.0595818764390635,18612,9729,131461,0.522727272727273,1,1,0,0,0,0,0.997335003094359,0.00282054490693684,0.00747371840476791,0,0.014161674087216,0.0638819368303518,0.367562260693427,1,0.6,0.6
C05_easy_very_aggressive,easy_noncoherent,EASY,high,,,328,5,3,20260611,28,20261639,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390646,0.0282488937836506,0.0595818764390635,17154,9729,131461,0.567156348373557,1,1,0,0,0,0,0.995727544160375,0.00284998940519065,0.00773953228091583,0,0.0166354136958332,0.0575022955420269,0.365164376780869,1,0.6,0.6
C05_easy_very_aggressive,easy_noncoherent,EASY,high,,,329,5,3,20260611,29,20261640,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390646,0.0282488937836506,0.0595818764390635,18612,9729,131461,0.522727272727273,1,1,0,0,0,0,0.997876681018346,0.00275568370974228,0.00668280796587267,0,0.014161674087216,0.0779351962225052,0.373156947733035,1,0.6,0.6
C05_easy_very_aggressive,easy_noncoherent,EASY,high,,,330,5,3,20260611,30,20261641,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390646,0.0282488937836506,0.0595818764390635,17154,9729,131461,0.567156348373557,1,1,0,0,0,0,0.994967920596367,0.00284884117753554,0.00859149436120227,0,0.0166354136958332,0.057751078200634,0.364994194171392,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,331,5,3,20260611,1,20262612,0,0,7.365,8.635,10.125,10.495,1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.994554042895361,0.00404216922536838,0.00859821647716436,0,0.0148363999557136,0.025,0.351803015002305,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,332,5,3,20260611,2,20262613,0,0,7.365,8.635,10.495,10.125,-1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.995431196117857,0.00237339543365667,0.00794980649056543,0,0.0161804396345576,0.160764322707722,0.404663075745167,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,333,5,3,20260611,3,20262614,0,0,7.365,8.635,10.125,10.495,1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.994561015382694,0.0040180414996541,0.00861300605078273,0,0.0148363999557136,0.025,0.351805455372871,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,334,5,3,20260611,4,20262615,0,0,7.365,8.635,10.495,10.125,-1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.995433861505458,0.00235965978968174,0.00793156689559751,0,0.0161804396345576,0.163740378902291,0.405808645628739,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,335,5,3,20260611,5,20262616,0,0,7.365,8.635,10.125,10.495,1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.994580140643906,0.004027798432308,0.00857969147713787,0,0.0148363999557136,0.025,0.351812149214295,1,0.6,0.6
