route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_peak_ratio,std_peak_ratio,adaptive_use_rate,mean_theta_search_adapt_deg,mean_routeB_beam_span_adapt_deg,mean_theta_search_selected_deg,mean_routeB_beam_span_selected_deg
fft_guided_centerT,6,0.466667,12.766667,13.233333,16,180,180,0.900000,0.900000,0.023412,180,1.870000,16.000000,-0.758354,9.690754,2.069671,0.367349,2.252380,0.956700,0.370000,2.432690,3.649035,2.004711,3.007066
fft_guided_centerT,6,0.466667,12.766667,13.233333,18,199,199,0.995000,0.995000,0.020003,199,1.995000,16.000000,-0.005547,0.244973,2.000424,0.205184,3.228183,1.403065,0.600000,2.393480,3.590220,2.116444,3.174666
fft_guided_centerT,6,0.466667,12.766667,13.233333,20,200,200,1.000000,1.000000,0.014580,200,2.000000,16.000000,-0.004581,0.185036,1.982102,0.146880,4.986722,1.625979,0.720000,2.378522,3.567784,2.174919,3.262378
fft_guided_centerT,6,0.466667,12.766667,13.233333,22,200,200,1.000000,1.000000,0.011939,200,2.000000,16.000000,-0.014282,0.140987,1.956794,0.108044,7.099513,2.151652,0.830000,2.348153,3.522229,2.232013,3.348019
fft_guided_centerT,6,0.466667,12.766667,13.233333,24,200,200,1.000000,1.000000,0.008801,200,2.000000,16.000000,-0.005128,0.123495,1.953778,0.092037,9.922976,2.767899,0.855000,2.344534,3.516801,2.248557,3.372835
fft_guided_centerT,6,0.466667,12.766667,13.233333,26,200,200,1.000000,1.000000,0.007329,200,2.000000,16.000000,-0.000390,0.092529,1.961736,0.070857,13.956901,3.964754,0.885000,2.354083,3.531125,2.279808,3.419712
fft_guided_centerT,6,0.466667,12.766667,13.233333,28,200,200,1.000000,1.000000,0.006408,200,2.000000,16.000000,0.000960,0.070720,1.947495,0.058096,16.247934,4.903964,0.955000,2.336995,3.505492,2.308377,3.462566
fft_guided_centerT,7,0.400000,12.800000,13.200000,14,104,99,0.520000,0.495000,0.056019,104,1.370000,18.000000,-3.959281,24.380142,2.300352,1.145461,1.742979,0.772049,0.225000,2.361035,3.541552,1.747855,2.621782
fft_guided_centerT,7,0.400000,12.800000,13.200000,16,176,176,0.880000,0.880000,0.037561,176,1.835000,18.000000,-2.533107,13.630015,2.121250,0.565706,2.211001,0.945777,0.400000,2.373146,3.559720,1.862047,2.793071
fft_guided_centerT,7,0.400000,12.800000,13.200000,18,195,195,0.975000,0.975000,0.026259,195,1.965000,18.000000,-0.587770,6.312961,2.009786,0.307366,3.258401,1.395736,0.620000,2.355875,3.533812,2.017859,3.026789
