Step 08 Route B FFT confidence-gated adaptive window prototype 4c
Prototype scope: add a conservative FFT-confidence gate on top of prototype4b adaptive window.
Route comparison: baseline_true_centerT vs fft_guided_centerT vs fft_guided_centerT_adaptive_window vs fft_confidence_gated_adaptive_window.
Common experiment settings:
snr_list=[14 16 18 20 22 24 26 28], Metkl=200, T_snap=260, tol_deg=0.100
sep_factor_list=[6 7 8 9 10]
Route B internal settings: K_fbss=56, M_full=48, center_beam_count=37, search_scale_B=4.00
FFT settings: Nfft_spatial=4096, gamma_search=1.20, gamma_span=1.50.
Adaptive bounds: search in [0.60, 1.60] x fixed, span in [0.80, 1.60] x fixed.
Confidence gate: fwhm_fft_deg <= 2.050 and peak_ratio >= 1.800.

=== sep_factor = 6, theta_sep = 0.4667 deg ===
SNR=14 dB | gated-window raw=104 tol=97 raw_rate=0.520 tol_rate=0.485 RMSE=0.0562 mean_num_peaks=1.37 adaptive_use=0.225 mean_peak_ratio=1.7430 mean_search_selected=1.7479 mean_span_selected=2.6218
sample metkl=1 | center_true=13.0000 center_fft=13.1442 err_fft=0.1442 fwhm=1.6639 p1=0.2991 p2=0.1793 peak_ratio=1.6679 use_adapt=0 search_fixed=1.6000 search_adapt=1.9967 search_selected=1.6000 span_fixed=2.4000 span_adapt=2.9951 span_selected=2.4000 doa_true=[NaN NaN] doa_fft=[NaN NaN] doa_adapt=[NaN NaN] doa_gated=[NaN NaN]
SNR=16 dB | baseline raw=199 tol=199 raw_rate=0.995 tol_rate=0.995 RMSE=0.0374 mean_num_peaks=2.00
SNR=16 dB | fft-guided raw=176 tol=176 raw_rate=0.880 tol_rate=0.880 RMSE=0.0376 mean_num_peaks=1.83 mean_fft_err=-2.5331 std_fft_err=13.6300
SNR=16 dB | adaptive-window raw=180 tol=180 raw_rate=0.900 tol_rate=0.900 RMSE=0.0376 mean_num_peaks=1.86 mean_fwhm=2.1212 mean_search_adapt=2.3731 mean_span_adapt=3.5597
SNR=16 dB | gated-window raw=178 tol=178 raw_rate=0.890 tol_rate=0.890 RMSE=0.0376 mean_num_peaks=1.84 adaptive_use=0.400 mean_peak_ratio=2.2110 mean_search_selected=1.8620 mean_span_selected=2.7931
sample metkl=1 | center_true=13.0000 center_fft=13.1103 err_fft=0.1103 fwhm=1.8511 p1=0.2652 p2=0.1478 peak_ratio=1.7947 use_adapt=0 search_fixed=1.6000 search_adapt=2.2213 search_selected=1.6000 span_fixed=2.4000 span_adapt=3.3320 span_selected=2.4000 doa_true=[12.86 13.18] doa_fft=[12.86 13.18] doa_adapt=[12.86 13.18] doa_gated=[12.86 13.18]
SNR=18 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0267 mean_num_peaks=2.00
SNR=18 dB | fft-guided raw=195 tol=195 raw_rate=0.975 tol_rate=0.975 RMSE=0.0263 mean_num_peaks=1.97 mean_fft_err=-0.5878 std_fft_err=6.3130
SNR=18 dB | adaptive-window raw=198 tol=198 raw_rate=0.990 tol_rate=0.990 RMSE=0.0264 mean_num_peaks=1.99 mean_fwhm=2.0098 mean_search_adapt=2.3559 mean_span_adapt=3.5338
SNR=18 dB | gated-window raw=196 tol=196 raw_rate=0.980 tol_rate=0.980 RMSE=0.0264 mean_num_peaks=1.97 adaptive_use=0.620 mean_peak_ratio=3.2584 mean_search_selected=2.0179 mean_span_selected=3.0268
sample metkl=1 | center_true=13.0000 center_fft=13.5180 err_fft=0.5180 fwhm=1.7834 p1=0.2022 p2=0.06918 peak_ratio=2.9225 use_adapt=1 search_fixed=1.6000 search_adapt=2.1400 search_selected=2.1400 span_fixed=2.4000 span_adapt=3.2100 span_selected=3.2100 doa_true=[12.79 13.16] doa_fft=[12.8 13.17] doa_adapt=[12.8 13.17] doa_gated=[12.8 13.17]
SNR=20 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0208 mean_num_peaks=2.00
SNR=20 dB | fft-guided raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0209 mean_num_peaks=2.00 mean_fft_err=-0.0160 std_fft_err=0.1763
SNR=20 dB | adaptive-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0210 mean_num_peaks=2.00 mean_fwhm=2.0041 mean_search_adapt=2.3749 mean_span_adapt=3.5624
SNR=20 dB | gated-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0209 mean_num_peaks=2.00 adaptive_use=0.635 mean_peak_ratio=4.8930 mean_search_selected=2.0330 mean_span_selected=3.0496
sample metkl=1 | center_true=13.0000 center_fft=12.7031 err_fft=-0.2969 fwhm=2.0696 p1=0.2803 p2=0.05743 peak_ratio=4.8809 use_adapt=0 search_fixed=1.6000 search_adapt=2.4835 search_selected=1.6000 span_fixed=2.4000 span_adapt=3.7253 span_selected=2.4000 doa_true=[12.81 13.17] doa_fft=[12.81 13.17] doa_adapt=[12.81 13.17] doa_gated=[12.81 13.17]
SNR=22 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0177 mean_num_peaks=2.00
SNR=22 dB | fft-guided raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0171 mean_num_peaks=2.00 mean_fft_err=0.0040 std_fft_err=0.1466
SNR=22 dB | adaptive-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0174 mean_num_peaks=2.00 mean_fwhm=1.9676 mean_search_adapt=2.3544 mean_span_adapt=3.5315
SNR=22 dB | gated-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0174 mean_num_peaks=2.00 adaptive_use=0.810 mean_peak_ratio=6.8513 mean_search_selected=2.1786 mean_span_selected=3.2679
sample metkl=1 | center_true=13.0000 center_fft=13.1442 err_fft=0.1442 fwhm=1.9902 p1=0.2786 p2=0.02812 peak_ratio=9.9092 use_adapt=1 search_fixed=1.6000 search_adapt=2.3883 search_selected=2.3883 span_fixed=2.4000 span_adapt=3.5824 span_selected=3.5824 doa_true=[12.78 13.2] doa_fft=[12.78 13.19] doa_adapt=[12.78 13.2] doa_gated=[12.78 13.2]
SNR=24 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0121 mean_num_peaks=2.00
SNR=24 dB | fft-guided raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0125 mean_num_peaks=2.00 mean_fft_err=0.0054 std_fft_err=0.1163
SNR=24 dB | adaptive-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0124 mean_num_peaks=2.00 mean_fwhm=1.9615 mean_search_adapt=2.3499 mean_span_adapt=3.5249
SNR=24 dB | gated-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0123 mean_num_peaks=2.00 adaptive_use=0.815 mean_peak_ratio=10.2492 mean_search_selected=2.1777 mean_span_selected=3.2665
sample metkl=1 | center_true=13.0000 center_fft=12.6692 err_fft=-0.3308 fwhm=2.0538 p1=0.1766 p2=0.02204 peak_ratio=8.0127 use_adapt=0 search_fixed=1.6000 search_adapt=2.4645 search_selected=1.6000 span_fixed=2.4000 span_adapt=3.6968 span_selected=2.4000 doa_true=[12.77 13.18] doa_fft=[12.77 13.18] doa_adapt=[12.78 13.18] doa_gated=[12.77 13.18]
SNR=26 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0100 mean_num_peaks=2.00
SNR=26 dB | fft-guided raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0099 mean_num_peaks=2.00 mean_fft_err=-0.0004 std_fft_err=0.0873
SNR=26 dB | adaptive-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0101 mean_num_peaks=2.00 mean_fwhm=1.9505 mean_search_adapt=2.3404 mean_span_adapt=3.5106
SNR=26 dB | gated-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0100 mean_num_peaks=2.00 adaptive_use=0.925 mean_peak_ratio=12.9868 mean_search_selected=2.2724 mean_span_selected=3.4086
sample metkl=1 | center_true=13.0000 center_fft=13.0084 err_fft=0.0084 fwhm=1.8771 p1=0.1408 p2=0.01053 peak_ratio=13.3734 use_adapt=1 search_fixed=1.6000 search_adapt=2.2525 search_selected=2.2525 span_fixed=2.4000 span_adapt=3.3788 span_selected=3.3788 doa_true=[12.79 13.18] doa_fft=[12.79 13.19] doa_adapt=[12.79 13.18] doa_gated=[12.79 13.18]
SNR=28 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0082 mean_num_peaks=2.00
SNR=28 dB | fft-guided raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0080 mean_num_peaks=2.00 mean_fft_err=0.0038 std_fft_err=0.0645
SNR=28 dB | adaptive-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0079 mean_num_peaks=2.00 mean_fwhm=1.9415 mean_search_adapt=2.3297 mean_span_adapt=3.4946
SNR=28 dB | gated-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0078 mean_num_peaks=2.00 adaptive_use=0.985 mean_peak_ratio=15.9043 mean_search_selected=2.3167 mean_span_selected=3.4750
sample metkl=1 | center_true=13.0000 center_fft=13.1442 err_fft=0.1442 fwhm=2.0003 p1=0.1921 p2=0.007177 peak_ratio=26.7692 use_adapt=1 search_fixed=1.6000 search_adapt=2.4003 search_selected=2.4003 span_fixed=2.4000 span_adapt=3.6005 span_selected=3.6005 doa_true=[12.8 13.19] doa_fft=[12.8 13.19] doa_adapt=[12.8 13.19] doa_gated=[12.8 13.19]

=== sep_factor = 8, theta_sep = 0.3500 deg ===
SNR=14 dB | baseline raw=31 tol=31 raw_rate=0.155 tol_rate=0.155 RMSE=0.0610 mean_num_peaks=1.16
SNR=14 dB | fft-guided raw=16 tol=16 raw_rate=0.080 tol_rate=0.080 RMSE=0.0631 mean_num_peaks=0.82 mean_fft_err=-5.3313 std_fft_err=23.0698
