obs_id,chunk_id,total_chunks,run_tag,scenario_name,center_az,trial_id,quant_mode,stage_name,elapsed_sec,num_candidates,num_topK,score_lanes_assumed,comment
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,double_baseline,score_recompute,0.2977354,7353,10,NaN,Step12 quantized score recompute
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,double_baseline,ranking_compare,0.1555583,7353,10,NaN,ranking and topK comparison
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,float32_all,score_recompute,0.3339022,7353,10,NaN,Step12 quantized score recompute
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,float32_all,ranking_compare,0.1522432,7353,10,NaN,ranking and topK comparison
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,combined_int16,score_recompute,0.3034939,7353,10,NaN,Step12 quantized score recompute
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,combined_int16,ranking_compare,0.1521776,7353,10,NaN,ranking and topK comparison
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,combined_int18,score_recompute,0.296271,7353,10,NaN,Step12 quantized score recompute
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,combined_int18,ranking_compare,0.1518273,7353,10,NaN,ranking and topK comparison
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,combined_int24,score_recompute,0.2919999,7353,10,NaN,Step12 quantized score recompute
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,combined_int24,ranking_compare,0.1605469,7353,10,NaN,ranking and topK comparison
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,mixed_Z16_G24_Rz24,score_recompute,0.3054319,7353,10,NaN,Step12 quantized score recompute
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,mixed_Z16_G24_Rz24,ranking_compare,0.1504272,7353,10,NaN,ranking and topK comparison
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,combined_int14,score_recompute,0.2974069,7353,10,NaN,Step12 quantized score recompute
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,combined_int14,ranking_compare,0.1539895,7353,10,NaN,ranking and topK comparison
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,W_int18_G24_Z16,score_recompute,0.3003442,7353,10,NaN,Step12 quantized score recompute
cp00p00_low_snr_hard_t0001,1,120,formal_tps30,low_snr_hard,0,1,W_int18_G24_Z16,ranking_compare,0.1489962,7353,10,NaN,ranking and topK comparison
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,double_baseline,score_recompute,0.2932994,7353,10,NaN,Step12 quantized score recompute
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,double_baseline,ranking_compare,0.1516858,7353,10,NaN,ranking and topK comparison
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,float32_all,score_recompute,0.2947718,7353,10,NaN,Step12 quantized score recompute
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,float32_all,ranking_compare,0.1472743,7353,10,NaN,ranking and topK comparison
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,combined_int16,score_recompute,0.2967855,7353,10,NaN,Step12 quantized score recompute
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,combined_int16,ranking_compare,0.1582606,7353,10,NaN,ranking and topK comparison
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,combined_int18,score_recompute,0.2913542,7353,10,NaN,Step12 quantized score recompute
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,combined_int18,ranking_compare,0.1541882,7353,10,NaN,ranking and topK comparison
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,combined_int24,score_recompute,0.2972508,7353,10,NaN,Step12 quantized score recompute
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,combined_int24,ranking_compare,0.1472884,7353,10,NaN,ranking and topK comparison
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,mixed_Z16_G24_Rz24,score_recompute,0.2900457,7353,10,NaN,Step12 quantized score recompute
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,mixed_Z16_G24_Rz24,ranking_compare,0.1476943,7353,10,NaN,ranking and topK comparison
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,combined_int14,score_recompute,0.2976684,7353,10,NaN,Step12 quantized score recompute
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,combined_int14,ranking_compare,0.1498215,7353,10,NaN,ranking and topK comparison
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,W_int18_G24_Z16,score_recompute,0.3026829,7353,10,NaN,Step12 quantized score recompute
cp00p00_cache_boundary_center_t0001,1,120,formal_tps30,cache_boundary_center,0,1,W_int18_G24_Z16,ranking_compare,0.1557494,7353,10,NaN,ranking and topK comparison
