obs_global_index,obs_id,chunk_id_assigned,total_chunks,run_tag,center_index,center_az,scenario_name,scenario_index,trial_id,planned_flag,completed_flag
101,cp00p00_weak_secondary_t0011,101,120,formal_tps30,1,0,weak_secondary,4,11,1,1
102,cp00p00_weak_secondary_t0012,102,120,formal_tps30,1,0,weak_secondary,4,12,1,1
103,cp00p00_weak_secondary_t0013,103,120,formal_tps30,1,0,weak_secondary,4,13,1,1
104,cp00p00_weak_secondary_t0014,104,120,formal_tps30,1,0,weak_secondary,4,14,1,1
105,cp00p00_weak_secondary_t0015,105,120,formal_tps30,1,0,weak_secondary,4,15,1,1
106,cp00p00_weak_secondary_t0016,106,120,formal_tps30,1,0,weak_secondary,4,16,1,1
107,cp00p00_weak_secondary_t0017,107,120,formal_tps30,1,0,weak_secondary,4,17,1,1
108,cp00p00_weak_secondary_t0018,108,120,formal_tps30,1,0,weak_secondary,4,18,1,1
109,cp00p00_weak_secondary_t0019,109,120,formal_tps30,1,0,weak_secondary,4,19,1,1
110,cp00p00_weak_secondary_t0020,110,120,formal_tps30,1,0,weak_secondary,4,20,1,1
111,cp00p00_weak_secondary_t0021,111,120,formal_tps30,1,0,weak_secondary,4,21,1,1
112,cp00p00_weak_secondary_t0022,112,120,formal_tps30,1,0,weak_secondary,4,22,1,1
113,cp00p00_weak_secondary_t0023,113,120,formal_tps30,1,0,weak_secondary,4,23,1,1
114,cp00p00_weak_secondary_t0024,114,120,formal_tps30,1,0,weak_secondary,4,24,1,1
115,cp00p00_weak_secondary_t0025,115,120,formal_tps30,1,0,weak_secondary,4,25,1,1
116,cp00p00_weak_secondary_t0026,116,120,formal_tps30,1,0,weak_secondary,4,26,1,1
117,cp00p00_weak_secondary_t0027,117,120,formal_tps30,1,0,weak_secondary,4,27,1,1
118,cp00p00_weak_secondary_t0028,118,120,formal_tps30,1,0,weak_secondary,4,28,1,1
119,cp00p00_weak_secondary_t0029,119,120,formal_tps30,1,0,weak_secondary,4,29,1,1
120,cp00p00_weak_secondary_t0030,120,120,formal_tps30,1,0,weak_secondary,4,30,1,1
121,cp00p00_low_snr_hard_t0001,1,120,formal_tps30,1,0,low_snr_hard,5,1,1,1
122,cp00p00_low_snr_hard_t0002,2,120,formal_tps30,1,0,low_snr_hard,5,2,1,1
123,cp00p00_low_snr_hard_t0003,3,120,formal_tps30,1,0,low_snr_hard,5,3,1,1
124,cp00p00_low_snr_hard_t0004,4,120,formal_tps30,1,0,low_snr_hard,5,4,1,1
125,cp00p00_low_snr_hard_t0005,5,120,formal_tps30,1,0,low_snr_hard,5,5,1,1
126,cp00p00_low_snr_hard_t0006,6,120,formal_tps30,1,0,low_snr_hard,5,6,1,1
127,cp00p00_low_snr_hard_t0007,7,120,formal_tps30,1,0,low_snr_hard,5,7,1,1
128,cp00p00_low_snr_hard_t0008,8,120,formal_tps30,1,0,low_snr_hard,5,8,1,1
129,cp00p00_low_snr_hard_t0009,9,120,formal_tps30,1,0,low_snr_hard,5,9,1,1
130,cp00p00_low_snr_hard_t0010,10,120,formal_tps30,1,0,low_snr_hard,5,10,1,1
131,cp00p00_low_snr_hard_t0011,11,120,formal_tps30,1,0,low_snr_hard,5,11,1,1
132,cp00p00_low_snr_hard_t0012,12,120,formal_tps30,1,0,low_snr_hard,5,12,1,1
