gate_mode,scenario_name,az_sep_deg,SNR_dB,trials,success_rate,safe_rate,false_high_rate,false_split_rate,boundary_missed_rate,low_confidence_rate,boundary_unreliable_rate,out_of_scope_reject_rate,common_el_proxy_pass_rate,selected_gate_pass_rate,rank1_without_common_el_gate_pass_rate,rank1_refocus_consensus_gate_pass_rate,rank1_route_reliable_rate,refocus_route_reliable_rate,truth_rank1_top3_rate,truth_refocus_top3_rate,mean_az_error_success,mean_el_error_success,median_runtime_sec,route_distribution,confidence_distribution
rank1_reliable_without_common_el_proxy,medium_beta_pair,0.6,16,90,0.977777777777778,1,0,0,0,0.0222222222222222,0,0,0,0.977777777777778,0.977777777777778,0.977777777777778,0.977777777777778,0.977777777777778,0.322222222222222,0.322222222222222,0.100795454545456,0,0.0376456,common_el_rank1_refocus:88;low_confidence:2,medium:88;low:2
rank1_reliable_without_common_el_proxy,weak_target_boundary,0.25,8,30,0,1,0,0,0,0.433333333333333,0.333333333333333,0,0,0.566666666666667,0.566666666666667,0.566666666666667,0.866666666666667,0.866666666666667,0,0,NaN,NaN,0.0403698,common_el_rank1_refocus:17;low_confidence:3;boundary_unreliable:10,medium:17;low:13
rank1_reliable_without_common_el_proxy,weak_target_boundary,0.25,16,30,0,1,0,0,0,0.3,0,0,0,0.7,0.7,0.7,0.7,0.7,0,0,NaN,NaN,0.0399388,common_el_rank1_refocus:21;low_confidence:9,medium:21;low:9
rank1_reliable_without_common_el_proxy,near_antiphase_boundary,0.25,8,60,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN,0.0013484,boundary_unreliable:60,low:60
rank1_reliable_without_common_el_proxy,near_antiphase_boundary,0.25,16,60,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN,0.00114605,boundary_unreliable:60,low:60
rank1_reliable_without_common_el_proxy,single_target_sanity,NaN,8,30,0,0.266666666666667,0.733333333333333,0.733333333333333,0,0.266666666666667,0.266666666666667,0,0,0.733333333333333,0.733333333333333,0.733333333333333,1,1,0,0,NaN,NaN,0.03704985,common_el_rank1_refocus:22;boundary_unreliable:8,medium:22;low:8
rank1_reliable_without_common_el_proxy,single_target_sanity,NaN,16,30,0,0.0666666666666667,0.933333333333333,0.933333333333333,0,0.0666666666666667,0,0,0,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333,0,0,NaN,NaN,0.03717945,common_el_rank1_refocus:28;low_confidence:2,medium:28;low:2
rank1_reliable_without_common_el_proxy,two_separated_coarse_peaks,4,8,30,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,NaN,NaN,6.925e-05,frontend_reject:30,low:30
rank1_reliable_without_common_el_proxy,two_separated_coarse_peaks,4,16,30,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,NaN,NaN,6.515e-05,frontend_reject:30,low:30
rank1_refocus_consensus_gate,overall,NaN,NaN,1440,0.717361111111111,0.965277777777778,0.0347222222222222,0.0347222222222222,0,0.263194444444444,0.158333333333333,0.0416666666666667,0,0.736805555555556,0.736805555555556,0.736805555555556,0.809722222222222,0.809722222222222,0.555555555555556,0.547916666666667,0.0458273381294962,0,0.0361474,common_el_rank1_refocus:1061;boundary_unreliable:228;low_confidence:91;frontend_reject:60,medium:1061;low:379
rank1_refocus_consensus_gate,close_coherent_pair,0.15,8,60,0.8,1,0,0,0,0.2,0.2,0,0,0.8,0.8,0.8,1,1,1,0.983333333333333,0.03125,0,0.03804545,common_el_rank1_refocus:48;boundary_unreliable:12,medium:48;low:12
rank1_refocus_consensus_gate,close_coherent_pair,0.25,8,60,0.866666666666667,1,0,0,0,0.133333333333333,0.1,0,0,0.866666666666667,0.866666666666667,0.866666666666667,0.966666666666667,0.966666666666667,1,0.966666666666667,0.029423076923072,0,0.0347194,common_el_rank1_refocus:52;boundary_unreliable:6;low_confidence:2,medium:52;low:8
rank1_refocus_consensus_gate,close_coherent_pair,0.4,8,60,0.833333333333333,1,0,0,0,0.166666666666667,0.116666666666667,0,0,0.833333333333333,0.833333333333333,0.833333333333333,0.95,0.95,1,0.966666666666667,0.0240000000000032,0,0.03642005,common_el_rank1_refocus:50;low_confidence:3;boundary_unreliable:7,medium:50;low:10
rank1_refocus_consensus_gate,close_coherent_pair,0.6,8,60,0.85,1,0,0,0,0.15,0.116666666666667,0,0,0.85,0.85,0.85,0.966666666666667,0.966666666666667,1,1,0.020784313725493,0,0.0365892,common_el_rank1_refocus:51;boundary_unreliable:7;low_confidence:2,medium:51;low:9
rank1_refocus_consensus_gate,close_coherent_pair,0.8,8,60,0.966666666666667,1,0,0,0,0.0333333333333333,0,0,0,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,1,0.966666666666667,0.0241379310344824,0,0.0369406,common_el_rank1_refocus:58;low_confidence:2,medium:58;low:2
