route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,lambda2_over_noise_array,lambda2_over_noise_beam,root_dist_array,root_dist_beam,mean_outer_iter,init_failed_rate,guard_applied_rate,mean_final_residual_power
proto6_array_root_music,10,0.280000,12.860000,13.140000,28,200,200,200,1.000000,1.000000,1.000000,0.015363,200,2.000000,22.000000,22.000000,13.612047,14.276072,0.001570,0.001507,1.000000,0.000000,0.000000,5.826468e-03
proto6_beamspace_root_music,7,0.400000,12.800000,13.200000,14,200,198,198,1.000000,0.990000,0.990000,0.045904,200,2.000000,14.000000,14.000000,3.023100,3.171257,0.004268,0.004066,4.185000,0.000000,0.000000,1.386448e-01
proto6_beamspace_root_music,7,0.400000,12.800000,13.200000,16,200,200,200,1.000000,1.000000,1.000000,0.032793,200,2.000000,14.000000,14.000000,4.318398,4.527073,0.003177,0.003026,3.550000,0.000000,0.000000,8.733366e-02
proto6_beamspace_root_music,7,0.400000,12.800000,13.200000,18,200,200,200,1.000000,1.000000,1.000000,0.026542,200,2.000000,14.000000,14.000000,6.347865,6.656608,0.002427,0.002321,2.745000,0.000000,0.000000,5.515926e-02
proto6_beamspace_root_music,7,0.400000,12.800000,13.200000,20,200,200,200,1.000000,1.000000,1.000000,0.019205,200,2.000000,14.000000,14.000000,9.599292,10.064481,0.001909,0.001829,1.835000,0.000000,0.000000,3.478032e-02
proto6_beamspace_root_music,7,0.400000,12.800000,13.200000,22,200,200,200,1.000000,1.000000,1.000000,0.014904,200,2.000000,14.000000,14.000000,14.689307,15.395916,0.001438,0.001376,1.280000,0.000000,0.000000,2.196835e-02
proto6_beamspace_root_music,7,0.400000,12.800000,13.200000,24,200,200,200,1.000000,1.000000,1.000000,0.012392,200,2.000000,14.000000,14.000000,22.774676,23.890662,0.001179,0.001132,1.065000,0.000000,0.000000,1.385658e-02
proto6_beamspace_root_music,7,0.400000,12.800000,13.200000,26,200,200,200,1.000000,1.000000,1.000000,0.009361,200,2.000000,14.000000,14.000000,35.591054,37.337826,0.000935,0.000898,1.025000,0.000000,0.000000,8.745676e-03
proto6_beamspace_root_music,7,0.400000,12.800000,13.200000,28,200,200,200,1.000000,1.000000,1.000000,0.007482,200,2.000000,14.000000,14.000000,56.036505,58.773759,0.000738,0.000710,1.000000,0.000000,0.000000,5.513847e-03
proto6_beamspace_root_music,8,0.350000,12.825000,13.175000,14,200,126,107,1.000000,0.630000,0.535000,0.083094,200,2.000000,16.000000,18.000000,2.117137,2.220259,0.006061,0.005755,4.690000,0.000000,0.005000,1.421075e-01
proto6_beamspace_root_music,8,0.350000,12.825000,13.175000,16,200,189,173,1.000000,0.945000,0.865000,0.052453,200,2.000000,16.000000,18.000000,2.838278,2.973603,0.004448,0.004231,3.830000,0.000000,0.000000,8.962504e-02
proto6_beamspace_root_music,8,0.350000,12.825000,13.175000,18,200,198,196,1.000000,0.990000,0.980000,0.035669,200,2.000000,16.000000,18.000000,4.013533,4.206629,0.003365,0.003223,2.930000,0.000000,0.000000,5.654481e-02
proto6_beamspace_root_music,8,0.350000,12.825000,13.175000,20,200,200,199,1.000000,1.000000,0.995000,0.025970,200,2.000000,16.000000,18.000000,5.890001,6.177992,0.002524,0.002413,2.125000,0.000000,0.000000,3.567385e-02
proto6_beamspace_root_music,8,0.350000,12.825000,13.175000,22,200,200,200,1.000000,1.000000,1.000000,0.019612,200,2.000000,16.000000,18.000000,8.848403,9.273388,0.002006,0.001923,1.500000,0.000000,0.000000,2.251369e-02
proto6_beamspace_root_music,8,0.350000,12.825000,13.175000,24,200,200,200,1.000000,1.000000,1.000000,0.016131,200,2.000000,16.000000,18.000000,13.523446,14.167943,0.001577,0.001513,1.305000,0.000000,0.000000,1.420577e-02
proto6_beamspace_root_music,8,0.350000,12.825000,13.175000,26,200,200,200,1.000000,1.000000,1.000000,0.013512,200,2.000000,16.000000,18.000000,20.912273,21.915454,0.001227,0.001176,1.000000,0.000000,0.000000,8.963899e-03
proto6_beamspace_root_music,8,0.350000,12.825000,13.175000,28,200,200,200,1.000000,1.000000,1.000000,0.009615,200,2.000000,16.000000,18.000000,32.582813,34.134160,0.000945,0.000907,1.025000,0.000000,0.000000,5.662796e-03
proto6_beamspace_root_music,9,0.311111,12.844444,13.155556,14,200,30,12,1.000000,0.150000,0.060000,0.119105,200,2.000000,20.000000,20.000000,1.636652,1.714812,0.009022,0.008565,4.305000,0.000000,0.115000,1.445371e-01
proto6_beamspace_root_music,9,0.311111,12.844444,13.155556,16,200,115,72,1.000000,0.575000,0.360000,0.081271,200,2.000000,20.000000,20.000000,2.099700,2.200746,0.006354,0.006063,4.060000,0.000000,0.045000,9.124985e-02
proto6_beamspace_root_music,9,0.311111,12.844444,13.155556,18,200,179,146,1.000000,0.895000,0.730000,0.055426,200,2.000000,20.000000,20.000000,2.812181,2.946617,0.004503,0.004285,3.295000,0.000000,0.000000,5.750827e-02
proto6_beamspace_root_music,9,0.311111,12.844444,13.155556,20,200,198,192,1.000000,0.990000,0.960000,0.037015,200,2.000000,20.000000,20.000000,3.964135,4.153508,0.003331,0.003173,2.310000,0.000000,0.000000,3.631040e-02
proto6_beamspace_root_music,9,0.311111,12.844444,13.155556,22,200,200,200,1.000000,1.000000,1.000000,0.026922,200,2.000000,20.000000,20.000000,5.776849,6.060694,0.002608,0.002500,1.725000,0.000000,0.000000,2.290324e-02
proto6_beamspace_root_music,9,0.311111,12.844444,13.155556,24,200,200,199,1.000000,1.000000,0.995000,0.020897,200,2.000000,20.000000,20.000000,8.645377,9.058150,0.001987,0.001899,1.115000,0.000000,0.000000,1.445786e-02
proto6_beamspace_root_music,9,0.311111,12.844444,13.155556,26,200,200,200,1.000000,1.000000,1.000000,0.015878,200,2.000000,20.000000,20.000000,13.250005,13.881385,0.001549,0.001484,1.015000,0.000000,0.000000,9.119472e-03
proto6_beamspace_root_music,9,0.311111,12.844444,13.155556,28,200,200,200,1.000000,1.000000,1.000000,0.013496,200,2.000000,20.000000,20.000000,20.456781,21.442886,0.001221,0.001171,1.000000,0.000000,0.000000,5.756149e-03
proto6_beamspace_root_music,10,0.280000,12.860000,13.140000,14,200,1,1,1.000000,0.005000,0.005000,0.152101,200,2.000000,22.000000,22.000000,1.367338,1.431674,0.012608,0.011836,4.475000,0.000000,0.160000,1.464005e-01
proto6_beamspace_root_music,10,0.280000,12.860000,13.140000,16,200,37,10,1.000000,0.185000,0.050000,0.110907,200,2.000000,22.000000,22.000000,1.662907,1.743560,0.008583,0.008107,3.985000,0.000000,0.150000,9.241668e-02
proto6_beamspace_root_music,10,0.280000,12.860000,13.140000,18,200,123,50,1.000000,0.615000,0.250000,0.081477,200,2.000000,22.000000,22.000000,2.128929,2.230174,0.006000,0.005675,3.460000,0.000000,0.045000,5.831250e-02
proto6_beamspace_root_music,10,0.280000,12.860000,13.140000,20,200,178,129,1.000000,0.890000,0.645000,0.055871,200,2.000000,22.000000,22.000000,2.876340,3.013286,0.004516,0.004311,2.335000,0.000000,0.010000,3.679374e-02
proto6_beamspace_root_music,10,0.280000,12.860000,13.140000,22,200,200,190,1.000000,1.000000,0.950000,0.034416,200,2.000000,22.000000,22.000000,4.076493,4.272354,0.003234,0.003080,1.705000,0.000000,0.000000,2.318664e-02
proto6_beamspace_root_music,10,0.280000,12.860000,13.140000,24,200,200,200,1.000000,1.000000,1.000000,0.027144,200,2.000000,22.000000,22.000000,5.952674,6.238498,0.002541,0.002430,1.300000,0.000000,0.000000,1.463894e-02
proto6_beamspace_root_music,10,0.280000,12.860000,13.140000,26,200,200,200,1.000000,1.000000,1.000000,0.019468,200,2.000000,22.000000,22.000000,8.904393,9.338428,0.001958,0.001873,1.000000,0.000000,0.000000,9.241542e-03
proto6_beamspace_root_music,10,0.280000,12.860000,13.140000,28,200,200,200,1.000000,1.000000,1.000000,0.015300,200,2.000000,22.000000,22.000000,13.612047,14.276072,0.001570,0.001507,1.000000,0.000000,0.000000,5.826468e-03
proto9_subspace_relax_root_music,7,0.400000,12.800000,13.200000,14,200,199,199,1.000000,0.995000,0.995000,0.045822,200,2.000000,14.000000,14.000000,3.023100,3.171257,0.004268,0.004066,4.185000,0.000000,0.000000,1.386448e-01
proto9_subspace_relax_root_music,7,0.400000,12.800000,13.200000,16,200,199,199,1.000000,0.995000,0.995000,0.032678,200,2.000000,14.000000,14.000000,4.318398,4.527073,0.003177,0.003026,3.550000,0.000000,0.000000,8.733366e-02
proto9_subspace_relax_root_music,7,0.400000,12.800000,13.200000,18,200,200,200,1.000000,1.000000,1.000000,0.026800,200,2.000000,14.000000,14.000000,6.347865,6.656608,0.002427,0.002321,2.745000,0.000000,0.000000,5.515926e-02
proto9_subspace_relax_root_music,7,0.400000,12.800000,13.200000,20,200,200,200,1.000000,1.000000,1.000000,0.019321,200,2.000000,14.000000,14.000000,9.599292,10.064481,0.001909,0.001829,1.835000,0.000000,0.000000,3.478032e-02
proto9_subspace_relax_root_music,7,0.400000,12.800000,13.200000,22,200,200,200,1.000000,1.000000,1.000000,0.014925,200,2.000000,14.000000,14.000000,14.689307,15.395916,0.001438,0.001376,1.280000,0.000000,0.000000,2.196835e-02
proto9_subspace_relax_root_music,7,0.400000,12.800000,13.200000,24,200,200,200,1.000000,1.000000,1.000000,0.012399,200,2.000000,14.000000,14.000000,22.774676,23.890662,0.001179,0.001132,1.065000,0.000000,0.000000,1.385658e-02
proto9_subspace_relax_root_music,7,0.400000,12.800000,13.200000,26,200,200,200,1.000000,1.000000,1.000000,0.009318,200,2.000000,14.000000,14.000000,35.591054,37.337826,0.000935,0.000898,1.025000,0.000000,0.000000,8.745676e-03
proto9_subspace_relax_root_music,7,0.400000,12.800000,13.200000,28,200,200,200,1.000000,1.000000,1.000000,0.007459,200,2.000000,14.000000,14.000000,56.036505,58.773759,0.000738,0.000710,1.000000,0.000000,0.000000,5.513847e-03
proto9_subspace_relax_root_music,8,0.350000,12.825000,13.175000,14,200,122,102,1.000000,0.610000,0.510000,0.085255,200,2.000000,16.000000,18.000000,2.117137,2.220259,0.006061,0.005755,4.690000,0.000000,0.005000,1.421075e-01
proto9_subspace_relax_root_music,8,0.350000,12.825000,13.175000,16,200,185,173,1.000000,0.925000,0.865000,0.053186,200,2.000000,16.000000,18.000000,2.838278,2.973603,0.004448,0.004231,3.830000,0.000000,0.000000,8.962504e-02
proto9_subspace_relax_root_music,8,0.350000,12.825000,13.175000,18,200,199,196,1.000000,0.995000,0.980000,0.035625,200,2.000000,16.000000,18.000000,4.013533,4.206629,0.003365,0.003223,2.930000,0.000000,0.000000,5.654481e-02
proto9_subspace_relax_root_music,8,0.350000,12.825000,13.175000,20,200,200,199,1.000000,1.000000,0.995000,0.026152,200,2.000000,16.000000,18.000000,5.890001,6.177992,0.002524,0.002413,2.125000,0.000000,0.000000,3.567385e-02
proto9_subspace_relax_root_music,8,0.350000,12.825000,13.175000,22,200,200,200,1.000000,1.000000,1.000000,0.019833,200,2.000000,16.000000,18.000000,8.848403,9.273388,0.002006,0.001923,1.500000,0.000000,0.000000,2.251369e-02
proto9_subspace_relax_root_music,8,0.350000,12.825000,13.175000,24,200,200,200,1.000000,1.000000,1.000000,0.016146,200,2.000000,16.000000,18.000000,13.523446,14.167943,0.001577,0.001513,1.305000,0.000000,0.000000,1.420577e-02
proto9_subspace_relax_root_music,8,0.350000,12.825000,13.175000,26,200,200,200,1.000000,1.000000,1.000000,0.013493,200,2.000000,16.000000,18.000000,20.912273,21.915454,0.001227,0.001176,1.000000,0.000000,0.000000,8.963899e-03
proto9_subspace_relax_root_music,8,0.350000,12.825000,13.175000,28,200,200,200,1.000000,1.000000,1.000000,0.009602,200,2.000000,16.000000,18.000000,32.582813,34.134160,0.000945,0.000907,1.025000,0.000000,0.000000,5.662796e-03
