route_name,K_phi,P_phi,center_window_size,sigma_phi,sep_factor,theta_sep_deg,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks,degraded_rate,oracle_best_subarray_tol_rate,center_window_two_peak_rate,best_route_minus_center_real,best_route_minus_min_den
min_den_fb,28,38,0,NaN,10,0.263775445,30,0.070000000,0.070000000,0.040000000,0.067164549,1.070000000,0.930000000,0.070000000,0.008421053,0.000000000,0.000000000
min_den_fb,32,34,0,NaN,7,0.376822064,24,0.370000000,0.210000000,0.190000000,0.093551098,1.370000000,0.630000000,0.210000000,0.068235294,0.000000000,0.000000000
min_den_fb,32,34,0,NaN,7,0.376822064,28,0.650000000,0.360000000,0.290000000,0.096601506,1.650000000,0.350000000,0.360000000,0.130000000,0.000000000,0.000000000
min_den_fb,32,34,0,NaN,7,0.376822064,30,0.760000000,0.290000000,0.220000000,0.100485364,1.760000000,0.240000000,0.290000000,0.146470588,0.000000000,0.000000000
min_den_fb,32,34,0,NaN,10,0.263775445,24,0.030000000,0.030000000,0.020000000,0.066207585,1.030000000,0.970000000,0.030000000,0.004705882,0.000000000,0.000000000
min_den_fb,32,34,0,NaN,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
min_den_fb,32,34,0,NaN,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
center_window_3_avg_spectrum,20,46,3,NaN,7,0.376822064,24,0.960000000,0.900000000,0.870000000,0.067397927,1.960000000,0.040000000,0.900000000,0.966666667,0.000000000,0.000000000
center_window_3_avg_spectrum,20,46,3,NaN,7,0.376822064,28,1.000000000,1.000000000,1.000000000,0.061538598,2.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000
center_window_3_avg_spectrum,20,46,3,NaN,7,0.376822064,30,1.000000000,1.000000000,1.000000000,0.060720185,2.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000
center_window_3_avg_spectrum,20,46,3,NaN,10,0.263775445,24,0.050000000,0.010000000,0.000000000,0.121238770,1.050000000,0.950000000,0.020000000,0.046666667,0.000000000,0.000000000
center_window_3_avg_spectrum,20,46,3,NaN,10,0.263775445,28,0.300000000,0.290000000,0.150000000,0.060467682,1.300000000,0.700000000,0.320000000,0.293333333,0.000000000,0.000000000
center_window_3_avg_spectrum,20,46,3,NaN,10,0.263775445,30,0.380000000,0.380000000,0.260000000,0.056568629,1.380000000,0.620000000,0.420000000,0.400000000,0.000000000,0.000000000
center_window_3_avg_spectrum,24,42,3,NaN,7,0.376822064,24,0.930000000,0.900000000,0.820000000,0.070870821,1.930000000,0.070000000,0.900000000,0.926666667,0.000000000,0.000000000
center_window_3_avg_spectrum,24,42,3,NaN,7,0.376822064,28,1.000000000,0.990000000,0.990000000,0.068556179,2.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000
center_window_3_avg_spectrum,24,42,3,NaN,7,0.376822064,30,1.000000000,1.000000000,1.000000000,0.067249565,2.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000
center_window_3_avg_spectrum,24,42,3,NaN,10,0.263775445,24,0.150000000,0.130000000,0.060000000,0.094737745,1.150000000,0.850000000,0.140000000,0.150000000,0.000000000,0.000000000
center_window_3_avg_spectrum,24,42,3,NaN,10,0.263775445,28,0.220000000,0.220000000,0.150000000,0.058156573,1.220000000,0.780000000,0.220000000,0.210000000,0.000000000,0.000000000
center_window_3_avg_spectrum,24,42,3,NaN,10,0.263775445,30,0.250000000,0.240000000,0.080000000,0.070472941,1.250000000,0.750000000,0.250000000,0.230000000,0.000000000,0.000000000
