candidate_index,az1,az2,el1,el2,el_center,el_sep,orientation,iAz1,iAz2,iEl1,iEl2,candidate_id
5571,3.21,4.17,10.12,10.84,10.48,0.72,1,7,13,22,34,p_+3.210000_+10.120000__+4.170000_+10.840000__sep_+0.720000
4394,3.53,4.01,10.06,10.42,10.24,0.36,1,9,12,21,27,p_+3.530000_+10.060000__+4.010000_+10.420000__sep_+0.360000
4395,3.53,4.17,10.06,10.42,10.24,0.36,1,9,13,21,27,p_+3.530000_+10.060000__+4.170000_+10.420000__sep_+0.360000
5584,3.37,4.49,10.12,10.84,10.48,0.72,1,8,15,22,34,p_+3.370000_+10.120000__+4.490000_+10.840000__sep_+0.720000
5242,3.37,4.49,10.3,10.66,10.48,0.36,1,8,15,25,31,p_+3.370000_+10.300000__+4.490000_+10.660000__sep_+0.360000
4726,3.37,4.01,9.88,10.6,10.24,0.72,1,8,12,18,30,p_+3.370000_+9.880000__+4.010000_+10.600000__sep_+0.720000
5069,3.37,4.17,10.48,10.48,10.48,0,1,8,13,28,28,p_+3.370000_+10.480000__+4.170000_+10.480000__sep_+0.000000
5070,3.37,4.33,10.48,10.48,10.48,0,1,8,14,28,28,p_+3.370000_+10.480000__+4.330000_+10.480000__sep_+0.000000
6437,3.37,4.17,10.36,11.08,10.72,0.72,1,8,13,26,37,p_+3.370000_+10.360000__+4.170000_+11.080000__sep_+0.720000
5249,3.53,4.01,10.3,10.66,10.48,0.36,1,9,12,25,31,p_+3.530000_+10.300000__+4.010000_+10.660000__sep_+0.360000
7155,4.01,4.17,11.14,10.78,10.96,0.36,-1,12,13,38,33,p_+4.010000_+11.140000__+4.170000_+10.780000__sep_+0.360000
7147,3.85,4.01,11.14,10.78,10.96,0.36,-1,11,12,38,33,p_+3.850000_+11.140000__+4.010000_+10.780000__sep_+0.360000
5445,4.01,4.17,10.66,10.3,10.48,0.36,-1,12,13,31,25,p_+4.010000_+10.660000__+4.170000_+10.300000__sep_+0.360000
4582,3.85,4.01,10.42,10.06,10.24,0.36,-1,11,12,27,21,p_+3.850000_+10.420000__+4.010000_+10.060000__sep_+0.360000
5780,3.85,4.17,10.84,10.12,10.48,0.72,-1,11,13,34,22,p_+3.850000_+10.840000__+4.170000_+10.120000__sep_+0.720000
5772,3.69,4.17,10.84,10.12,10.48,0.72,-1,10,13,34,22,p_+3.690000_+10.840000__+4.170000_+10.120000__sep_+0.720000
5781,3.85,4.33,10.84,10.12,10.48,0.72,-1,11,14,34,22,p_+3.850000_+10.840000__+4.330000_+10.120000__sep_+0.720000
4917,3.69,4.17,10.6,9.88,10.24,0.72,-1,10,13,30,18,p_+3.690000_+10.600000__+4.170000_+9.880000__sep_+0.720000
172,2.25,2.41,9.04,9.04,9.04,0,1,1,2,4,4,p_+2.250000_+9.040000__+2.410000_+9.040000__sep_+0.000000
3729,3.85,4.33,10.18,9.82,10,0.36,-1,11,14,23,17,p_+3.850000_+10.180000__+4.330000_+9.820000__sep_+0.360000
5771,3.69,4.01,10.84,10.12,10.48,0.72,-1,10,12,34,22,p_+3.690000_+10.840000__+4.010000_+10.120000__sep_+0.720000
4573,3.69,3.85,10.42,10.06,10.24,0.36,-1,10,11,27,21,p_+3.690000_+10.420000__+3.850000_+10.060000__sep_+0.360000
5773,3.69,4.33,10.84,10.12,10.48,0.72,-1,10,14,34,22,p_+3.690000_+10.840000__+4.330000_+10.120000__sep_+0.720000
4574,3.69,4.01,10.42,10.06,10.24,0.36,-1,10,12,27,21,p_+3.690000_+10.420000__+4.010000_+10.060000__sep_+0.360000
4062,3.69,4.17,10.36,9.64,10,0.72,-1,10,13,26,14,p_+3.690000_+10.360000__+4.170000_+9.640000__sep_+0.720000
4053,3.53,4.17,10.36,9.64,10,0.72,-1,9,13,26,14,p_+3.530000_+10.360000__+4.170000_+9.640000__sep_+0.720000
4064,3.69,4.49,10.36,9.64,10,0.72,-1,10,15,26,14,p_+3.690000_+10.360000__+4.490000_+9.640000__sep_+0.720000
4583,3.85,4.17,10.42,10.06,10.24,0.36,-1,11,13,27,21,p_+3.850000_+10.420000__+4.170000_+10.060000__sep_+0.360000
5437,3.85,4.01,10.66,10.3,10.48,0.36,-1,11,12,31,25,p_+3.850000_+10.660000__+4.010000_+10.300000__sep_+0.360000
6626,3.69,4.01,11.08,10.36,10.72,0.72,-1,10,12,37,26,p_+3.690000_+11.080000__+4.010000_+10.360000__sep_+0.720000
5446,4.01,4.33,10.66,10.3,10.48,0.36,-1,12,14,31,25,p_+4.010000_+10.660000__+4.330000_+10.300000__sep_+0.360000
5774,3.69,4.49,10.84,10.12,10.48,0.72,-1,10,15,34,22,p_+3.690000_+10.840000__+4.490000_+10.120000__sep_+0.720000
4063,3.69,4.33,10.36,9.64,10,0.72,-1,10,14,26,14,p_+3.690000_+10.360000__+4.330000_+9.640000__sep_+0.720000
4916,3.69,4.01,10.6,9.88,10.24,0.72,-1,10,12,30,18,p_+3.690000_+10.600000__+4.010000_+9.880000__sep_+0.720000
4908,3.53,4.17,10.6,9.88,10.24,0.72,-1,9,13,30,18,p_+3.530000_+10.600000__+4.170000_+9.880000__sep_+0.720000
3720,3.69,4.17,10.18,9.82,10,0.36,-1,10,13,23,17,p_+3.690000_+10.180000__+4.170000_+9.820000__sep_+0.360000
4909,3.53,4.33,10.6,9.88,10.24,0.72,-1,9,14,30,18,p_+3.530000_+10.600000__+4.330000_+9.880000__sep_+0.720000
3736,4.01,4.33,10.18,9.82,10,0.36,-1,12,14,23,17,p_+4.010000_+10.180000__+4.330000_+9.820000__sep_+0.360000
4919,3.69,4.49,10.6,9.88,10.24,0.72,-1,10,15,30,18,p_+3.690000_+10.600000__+4.490000_+9.880000__sep_+0.720000
3728,3.85,4.17,10.18,9.82,10,0.36,-1,11,13,23,17,p_+3.850000_+10.180000__+4.170000_+9.820000__sep_+0.360000
4926,3.85,4.33,10.6,9.88,10.24,0.72,-1,11,14,30,18,p_+3.850000_+10.600000__+4.330000_+9.880000__sep_+0.720000
3199,3.53,4.33,10.12,9.4,9.76,0.72,-1,9,14,22,10,p_+3.530000_+10.120000__+4.330000_+9.400000__sep_+0.720000
