requested_center_az,actual_center_az,selected_center_column,delta_az,el,max_abs_a_error,rel_a_error,max_abs_G_error,rel_G_error,phase_aligned_rel_a_error,phase_aligned_rel_G_error,cache_miss_count,pass_flag
0,0,1,-1.42,10.49,0,0,3.5527136788005e-14,8.9320933865318e-16,0,5.27480534851808e-16,0,1
0,0,1,-1.42,10.55,0,0,1.06817995361815e-13,2.50804817100625e-15,0,1.15078850789326e-15,0,1
0,0,1,-1.42,10.61,0,0,7.97780031294537e-14,2.16810421906215e-15,0,1.8444547012964e-15,0,1
0,0,1,-1.42,10.67,0,0,5.14913730876136e-14,1.30623666424452e-15,0,6.56240056168695e-16,0,1
0,0,1,-1.42,10.73,0,0,5.72857867687912e-14,1.89987296013835e-15,0,1.03704646466025e-15,0,1
0,0,1,-1.42,10.79,0,0,4.26327087056506e-14,1.18746681617152e-15,0,8.20278940753437e-16,0,1
0,0,1,-1.42,10.85,0,0,5.00226627775956e-14,1.36262744560906e-15,0,4.35862771827785e-16,0,1
0,0,1,-1.42,10.91,0,0,4.97459210355815e-14,1.48659800445414e-15,0,1.10413198690146e-15,0,1
0,0,1,-1.42,10.97,0,0,3.26095768178295e-14,1.1056524968177e-15,0,5.65158546078513e-16,0,1
0,0,1,-1.42,11.03,0,0,7.1253833482855e-14,1.93488484897812e-15,0,6.42181372590225e-16,0,1
0,0,1,-1.42,11.09,0,0,5.28148857885871e-14,1.57400541068321e-15,0,1.08825279741748e-15,0,1
0,0,1,-1.42,11.15,0,0,2.8421709430404e-14,8.81796447391866e-16,0,5.39129494033649e-16,0,1
0,0,1,-1.42,11.21,0,0,8.20207644424556e-14,2.28666301612023e-15,0,6.58460520855719e-16,0,1
0,0,1,-1.42,11.27,0,0,4.76646557423476e-14,1.40827499449869e-15,0,7.8575475212439e-16,0,1
0,0,1,-1.42,11.33,0,0,5.34089976809075e-14,1.5019906622029e-15,0,4.10553581499144e-16,0,1
0,0,1,-1.42,11.39,0,0,7.52806531793378e-14,2.16819739428549e-15,0,4.86770819731013e-16,0,1
0,0,1,-1.42,11.45,0,0,2.99653287211707e-14,1.13885769356334e-15,0,8.66702998080355e-16,0,1
0,0,1,-1.42,11.51,0,0,3.5527136788005e-14,1.16379334478559e-15,0,4.73817566509423e-16,0,1
0,0,1,-1.42,11.57,0,0,4.90029855773376e-14,1.60347685826676e-15,0,5.67204786146566e-16,0,1
0,0,1,-1.42,11.63,0,0,4.10103822212278e-14,1.37499862778432e-15,0,3.86792994422306e-16,0,1
0,0,1,-1.42,11.69,0,0,9.75541796161819e-14,3.33011952729052e-15,0,4.25101200484063e-16,0,1
0,0,1,-1.42,11.75,0,0,5.08671187421198e-14,1.81504371978096e-15,0,2.98971195063829e-16,0,1
0,0,1,-1.42,11.81,0,0,3.30928413961852e-14,1.3595949995347e-15,0,6.66304249934479e-16,0,1
0,0,1,-1.42,11.87,0,0,2.98069554719224e-14,1.343578650449e-15,0,7.07158353793856e-16,0,1
0,0,1,-1.34,8.75,0,0,6.05005338838055e-14,1.97751456675309e-15,0,1.46362052986482e-15,0,1
0,0,1,-1.34,8.81,0,0,4.39446412658135e-14,1.3628775083806e-15,0,8.10014992423673e-16,0,1
0,0,1,-1.34,8.87,0,0,9.29834153019897e-14,2.60851622500847e-15,0,1.82524037190415e-15,0,1
0,0,1,-1.34,8.93,0,0,4.14314051144892e-14,1.20224703189614e-15,0,6.3980856064968e-16,0,1
0,0,1,-1.34,8.99,0,0,6.86142979440801e-14,1.80054402434312e-15,0,1.16868162149925e-15,0,1
0,0,1,-1.34,9.05,0,0,4.61852778244065e-14,1.35786670655611e-15,0,9.64710206146454e-16,0,1
0,0,1,-1.34,9.11,0,0,4.22235200545796e-14,1.11474904092167e-15,0,1.07601161018568e-15,0,1
0,0,1,-1.34,9.17,0,0,1.4924635250165e-13,3.54401402296341e-15,0,1.53819820659219e-15,0,1
0,0,1,-1.34,9.23,0,0,1.13718058457257e-13,2.73340793508486e-15,0,1.61875291277712e-15,0,1
0,0,1,-1.34,9.29,0,0,5.71824138362582e-14,1.3877512724057e-15,0,9.83456361148992e-16,0,1
0,0,1,-1.34,9.35,0,0,1.35294968290577e-13,3.18508250902285e-15,0,1.64848823534937e-15,0,1
0,0,1,-1.34,9.41,0,0,6.99803436660041e-14,2.246691401188e-15,0,1.76617029479103e-15,0,1
0,0,1,-1.34,9.47,0,0,4.77968741814781e-14,1.5366496363843e-15,0,1.23573522312116e-15,0,1
0,0,1,-1.34,9.53,0,0,1.35844849574193e-13,3.21131512587465e-15,0,3.10351659459421e-15,0,1
0,0,1,-1.34,9.59,0,0,3.62307127488235e-14,1.11604689234298e-15,0,5.50144443455578e-16,0,1
0,0,1,-1.34,9.65,0,0,6.07087979554246e-14,1.40369466167992e-15,0,9.70853449495333e-16,0,1
0,0,1,-1.34,9.71,0,0,3.55715613020066e-14,1.10336895713242e-15,0,8.07318016834985e-16,0,1
0,0,1,-1.34,9.77,0,0,4.67286527266918e-14,1.18939066114127e-15,0,7.46735517499047e-16,0,1
0,0,1,-1.34,9.83,0,0,7.39271827636572e-14,1.76598354061637e-15,0,1.37343550203919e-15,0,1
0,0,1,-1.34,9.89,0,0,3.74722885782734e-14,9.69084050428444e-16,0,9.17836827754191e-16,0,1
0,0,1,-1.34,9.95,0,0,3.62307127488235e-14,1.15623628575909e-15,0,1.10991767500712e-15,0,1
0,0,1,-1.34,10.01,0,0,8.17896110534472e-14,2.57116810492609e-15,0,1.19792309146335e-15,0,1
0,0,1,-1.34,10.07,0,0,3.17764371615651e-14,1.04453228336892e-15,0,8.5564689037187e-16,0,1
0,0,1,-1.34,10.13,0,0,6.979974892967e-14,1.78660098106291e-15,0,1.46482112962582e-15,0,1
0,0,1,-1.34,10.19,0,0,1.08692138246471e-13,3.35709702118464e-15,0,1.17181960172161e-15,0,1
0,0,1,-1.34,10.25,0,0,8.55606755492907e-14,2.06081197007929e-15,0,1.05266093938998e-15,0,1
0,0,1,-1.34,10.31,0,0,7.53644380168212e-14,1.77941906364609e-15,0,1.14698259690216e-15,0,1
0,0,1,-1.34,10.37,0,0,9.01621407704061e-14,2.12948467330491e-15,0,1.72879895849179e-15,0,1
0,0,1,-1.34,10.43,0,0,6.48309409388569e-14,2.17670708956159e-15,0,1.95696124967736e-15,0,1
0,0,1,-1.34,10.49,0,0,2.86428933843956e-14,9.02956922182974e-16,0,9.56556700641576e-16,0,1
0,0,1,-1.34,10.55,0,0,6.92779167366098e-14,1.7756451754594e-15,0,1.42846834123519e-15,0,1
0,0,1,-1.34,10.61,0,0,4.32206272925713e-14,1.20832538450182e-15,0,1.06809153505749e-15,0,1
0,0,1,-1.34,10.67,0,0,1.49237763106745e-13,3.59264235133601e-15,0,1.66852711645665e-15,0,1
0,0,1,-1.34,10.73,0,0,5.99240756338055e-14,1.52592189734191e-15,0,1.27501667140225e-15,0,1
0,0,1,-1.34,10.79,0,0,3.55277466464926e-14,1.00671664736075e-15,0,3.22921581095663e-16,0,1
0,0,1,-1.34,10.85,0,0,7.10889595793335e-14,2.09714231856132e-15,0,8.980627446994e-16,0,1
0,0,1,-1.34,10.91,0,0,9.23876344241552e-14,2.48916613033393e-15,0,7.20026473038681e-16,0,1
0,0,1,-1.34,10.97,0,0,4.29643400765934e-14,1.43145898504906e-15,0,7.44583897108304e-16,0,1
0,0,1,-1.34,11.03,0,0,2.58641459868177e-14,9.81318731193506e-16,0,7.26967213946314e-16,0,1
0,0,1,-1.34,11.09,0,0,6.59169618987202e-14,1.90953134693975e-15,0,1.06690931837113e-15,0,1
0,0,1,-1.34,11.15,0,0,3.14551870185738e-14,1.20042418548402e-15,0,9.69748380928067e-16,0,1
0,0,1,-1.34,11.21,0,0,2.07157025572446e-14,8.5659861816611e-16,0,6.99851156966012e-16,0,1
0,0,1,-1.34,11.27,0,0,3.17764371615651e-14,1.0512062663571e-15,0,6.8095059117258e-16,0,1
0,0,1,-1.34,11.33,0,0,5.61733354972272e-14,1.69853931193062e-15,0,4.64057181248177e-16,0,1
0,0,1,-1.34,11.39,0,0,8.70958464256778e-14,2.65893241479103e-15,0,7.89974726247599e-16,0,1
0,0,1,-1.34,11.45,0,0,2.8421709430404e-14,1.02351661519311e-15,0,7.295037578931e-16,0,1
0,0,1,-1.34,11.51,0,0,2.51214793389404e-14,9.84988145103923e-16,0,6.60688688477334e-16,0,1
0,0,1,-1.34,11.57,0,0,5.72857867687912e-14,1.90637072107852e-15,0,5.71912500588598e-16,0,1
0,0,1,-1.34,11.63,0,0,2.80570294534019e-14,1.03704790652784e-15,0,9.77661644155998e-16,0,1
0,0,1,-1.34,11.69,0,0,7.59483438856703e-14,2.70333142987237e-15,0,6.72772876172265e-16,0,1
0,0,1,-1.34,11.75,0,0,3.05615986457135e-14,1.28206425958591e-15,0,6.09098991140202e-16,0,1
0,0,1,-1.34,11.81,0,0,3.39372497651574e-14,1.55250339388761e-15,0,8.50424424051178e-16,0,1
0,0,1,-1.34,11.87,0,0,2.1357874857861e-14,9.58603647063513e-16,0,4.51727760939879e-16,0,1
0,0,1,-1.26,8.75,0,0,1.81153563744118e-14,6.95755152225797e-16,0,6.08894780890678e-16,0,1
0,0,1,-1.26,8.81,0,0,3.37040012983363e-14,1.07386712857561e-15,0,8.09549142826546e-16,0,1
0,0,1,-1.26,8.87,0,0,3.77658644365463e-14,1.31190240730909e-15,0,9.28517893684223e-16,0,1
0,0,1,-1.26,8.93,0,0,2.30926389122033e-14,6.29560503426395e-16,0,3.78684425524682e-16,0,1
0,0,1,-1.26,8.99,0,0,4.49737630289781e-14,1.35116563055399e-15,0,1.36905012101864e-15,0,1
0,0,1,-1.26,9.05,0,0,4.30010460551607e-14,1.5304458106661e-15,0,1.49580813430288e-15,0,1
0,0,1,-1.26,9.11,0,0,6.4170506661968e-14,1.57701374795365e-15,0,9.0335814628887e-16,0,1
