summary_level,group,case_name,SNR,num_trials,full_success_rate,lazy_success_rate,lazy_vs_full_success_gap,route_agreement_full_vs_lazy,lazy_false_high_confidence_rate,lazy_false_medium_high_confidence_rate,lazy_boundary_missed_rate,lazy_low_confidence_rate,lazy_boundary_unreliable_rate,mean_full_runtime_sec,median_full_runtime_sec,p90_full_runtime_sec,p95_full_runtime_sec,mean_lazy_runtime_sec,median_lazy_runtime_sec,p90_lazy_runtime_sec,p95_lazy_runtime_sec,mean_runtime_speedup,median_runtime_speedup,p90_runtime_speedup,mean_runtime_reduction,mean_executed_stage_count,execution_rate_level2_music,execution_rate_refocus,execution_rate_level2_rank1,execution_rate_2dmusic,execution_rate_pair_local,early_stop_rate,heavy_route_trigger_rate,pair_local_trigger_rate,early_stop_stage1_rate,early_stop_stage2_rate,early_stop_stage3_rate,early_stop_stage4_rate,early_stop_stage5_rate,early_stop_stage6_rate,main_lazy_route,main_failure_reason
scenario_snr,rho_scan,rho_0.7,16,30,1,1,0,1,0,0,0,0.166666666666667,0,0.638594763333333,0.6440997,0.66030918,0.676974165,0.175571426666667,0.0881615,0.6053161,0.60845187,6.17142860676724,7.26269934892512,7.48308638743803,0.723620703225887,2.33333333333333,1,1,0.166666666666667,0.166666666666667,0,0.833333333333333,0.166666666666667,0,0.733333333333333,0.1,0,0,0,0.166666666666667,level2_music_or_center_real,ok
scenario_snr,rho_scan,rho_0.5,0,30,1,1,0,0,0,0,0,0,0,0.616094326666667,0.61068375,0.64925429,0.652500885,0.09286955,0.0915141,0.09617306,0.10150732,6.64423493787821,6.65200469860961,6.93218878598624,0.849192586970858,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,rho_scan,rho_0.5,8,30,0.966666666666667,0.966666666666667,0,0.733333333333333,0,0,0,0.1,0,0.62184254,0.61909675,0.6403688,0.64420046,0.14239783,0.08900555,0.155386580000001,0.608751435,6.31564432760608,6.96546705092902,7.17527850535588,0.771116270262973,2.46666666666667,1,1,0.366666666666667,0.1,0,0.9,0.1,0,0.3,0.333333333333333,0.266666666666667,0,0,0.1,common_el_refocus_power_rank1,ok
scenario_snr,rho_scan,rho_0.5,16,30,1,1,0,1,0,0,0,0.0333333333333333,0,0.649969596666667,0.64592105,0.67312512,0.68151276,0.10698656,0.0883062,0.09663639,0.097825895,7.10109492197295,7.36924690297608,7.61074341346673,0.835190861754629,2.06666666666667,1,1,0.0333333333333333,0.0333333333333333,0,0.966666666666667,0.0333333333333333,0,0.766666666666667,0.2,0,0,0,0.0333333333333333,level2_music_or_center_real,ok
scenario_snr,beta_scan,beta_1,0,30,0.933333333333333,0.933333333333333,0,0.0666666666666667,0,0,0,0.0666666666666667,0,0.609639796666667,0.6069971,0.62353835,0.63026778,0.12590366,0.0902469,0.09554448,0.38097393,6.3210715916129,6.71697890952782,6.83082160996054,0.795680814474381,3.06666666666667,1,1,1,0.0666666666666667,0,0.933333333333333,0.0666666666666667,0,0,0,0.933333333333333,0,0,0.0666666666666667,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,beta_scan,beta_1,8,30,0.233333333333333,0.233333333333333,0,0.766666666666667,0,0,0,0.766666666666667,0,0.608127106666667,0.6059893,0.61998478,0.62581484,0.485906853333333,0.6000726,0.61623168,0.622831445,2.33488412257551,1.01487083552739,6.75936481935875,0.2020694289587,3.76666666666667,1,1,1,0.766666666666667,0,0.233333333333333,0.766666666666667,0,0,0,0.233333333333333,0,0,0.766666666666667,low_confidence,no_reliable_observable_route
scenario_snr,beta_scan,beta_1,16,30,0.333333333333333,0.333333333333333,0,0.666666666666667,0,0,0,0.666666666666667,0,0.612236543333333,0.6076328,0.63041126,0.63336995,0.434520496666667,0.59902205,0.61160755,0.613333105,2.87908583421893,1.01458548340834,6.82950813834826,0.288259219971683,3.66666666666667,1,1,1,0.666666666666667,0,0.333333333333333,0.666666666666667,0,0,0,0.333333333333333,0,0,0.666666666666667,low_confidence,no_reliable_observable_route
scenario_snr,beta_scan,beta_0.5,0,30,0.766666666666667,0.766666666666667,0,0,0,0.233333333333333,0,0,0,0.612862456666667,0.60868925,0.62709869,0.641063485,0.09287112,0.091639,0.09921567,0.10049185,6.60906738225291,6.63845624306525,6.89151566550354,0.848458784300517,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,beta_scan,beta_0.5,8,30,0.766666666666667,0.766666666666667,0,0,0,0.233333333333333,0,0,0,0.616155056666667,0.61219245,0.64196978,0.645986375,0.0932018066666667,0.09196625,0.09973473,0.100549385,6.62250217697244,6.68385348351059,6.97382797988659,0.848679147466929,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,beta_scan,beta_0.5,16,30,0.9,0.9,0,0.0333333333333333,0,0.0666666666666667,0,0.0333333333333333,0,0.615971413333333,0.6126839,0.62926782,0.637231305,0.109447213333333,0.09076465,0.10091535,0.10324773,6.49772392754522,6.74693777327954,6.93162991103813,0.822111412406533,3.03333333333333,1,1,1,0.0333333333333333,0,0.966666666666667,0.0333333333333333,0,0,0,0.966666666666667,0,0,0.0333333333333333,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,beta_scan,beta_0.3,0,30,0.1,0.1,0,0.466666666666667,0,0.433333333333333,0,0.466666666666667,0,0.614464936666667,0.61341645,0.62172035,0.640892545,0.33455317,0.09283585,0.61928944,0.628774145,4.11736150655921,6.59033928483995,6.92921846100302,0.456037601406413,3.46666666666667,1,1,1,0.466666666666667,0,0.533333333333333,0.466666666666667,0,0,0,0.533333333333333,0,0,0.466666666666667,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,beta_scan,beta_0.3,8,30,0.366666666666667,0.366666666666667,0,0.233333333333333,0,0.4,0,0.233333333333333,0,0.618759723333334,0.61293635,0.64498004,0.650671685,0.213558493333333,0.0926111,0.61397156,0.61932519,5.34654046689578,6.69292330087891,6.89497564047563,0.656511305165962,3.23333333333333,1,1,1,0.233333333333333,0,0.766666666666667,0.233333333333333,0,0,0,0.766666666666667,0,0,0.233333333333333,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,beta_scan,beta_0.3,16,30,0.366666666666667,0.366666666666667,0,0.133333333333333,0,0.5,0,0.133333333333333,0,0.61481752,0.6153255,0.62528446,0.63517007,0.161726663333333,0.09100675,0.61119854,0.62003964,5.9871523901296,6.71857436033512,6.94561103521781,0.736610078666272,3.13333333333333,1,1,1,0.133333333333333,0,0.866666666666667,0.133333333333333,0,0,0,0.866666666666667,0,0,0.133333333333333,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,beta_scan,beta_0.1,0,30,0,0,0,0.566666666666667,0,0.433333333333333,0,0.566666666666667,0,0.614031533333333,0.6104638,0.63196475,0.640802645,0.384960873333333,0.59877265,0.62078427,0.625973745,3.47481101432199,1.03575706229564,6.82136437226897,0.373830391895924,3.56666666666667,1,1,1,0.566666666666667,0,0.433333333333333,0.566666666666667,0,0,0,0.433333333333333,0,0,0.566666666666667,low_confidence,no_reliable_observable_route
scenario_snr,beta_scan,beta_0.1,8,30,0,0,0,0.7,0,0.3,0,0.7,0,0.61334419,0.6106619,0.62888865,0.632664955,0.458084833333333,0.6089701,0.62620308,0.63564119,2.71322843951214,1.00264960300904,6.76579232002834,0.25156363882204,3.7,1,1,1,0.7,0,0.3,0.7,0,0,0,0.3,0,0,0.7,low_confidence,no_reliable_observable_route
scenario_snr,beta_scan,beta_0.1,16,30,0,0,0,0.633333333333333,0,0.366666666666667,0,0.633333333333333,0,0.61457079,0.6116789,0.62781188,0.63673914,0.423142636666667,0.6031699,0.62385386,0.63517712,3.07087405791506,1.02115204378459,6.82161446957554,0.312222769975389,3.63333333333333,1,1,1,0.633333333333333,0,0.366666666666667,0.633333333333333,0,0,0,0.366666666666667,0,0,0.633333333333333,low_confidence,no_reliable_observable_route
