route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,lambda2_over_noise_array
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,0,162,82,149,0.810000,0.410000,0.745000,0.096520,162,1.810000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,2,200,145,199,1.000000,0.725000,0.995000,0.068648,200,2.000000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,4,200,193,200,1.000000,0.965000,1.000000,0.043442,200,2.000000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,6,200,200,200,1.000000,1.000000,1.000000,0.033967,200,2.000000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,8,200,200,200,1.000000,1.000000,1.000000,0.025283,200,2.000000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,10,200,200,200,1.000000,1.000000,1.000000,0.019072,200,2.000000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,12,200,200,200,1.000000,1.000000,1.000000,0.015708,200,2.000000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,14,200,200,200,1.000000,1.000000,1.000000,0.012460,200,2.000000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,16,200,200,200,1.000000,1.000000,1.000000,0.010161,200,2.000000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,18,200,200,200,1.000000,1.000000,1.000000,0.008307,200,2.000000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,20,200,200,200,1.000000,1.000000,1.000000,0.006946,200,2.000000,4.000000,2.000000,NaN
